company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Smart Plus AMT,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Smart Plus AMT,Displacement,1199 cc
TATA,NEXON,Nexon Smart Plus AMT,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Smart Plus AMT,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Smart Plus AMT,No. of Cylinders,3
TATA,NEXON,Nexon Smart Plus AMT,Valves Per Cylinder,4
TATA,NEXON,Nexon Smart Plus AMT,Turbo Charger,YES
TATA,NEXON,Nexon Smart Plus AMT,Transmission Type,Automatic
TATA,NEXON,Nexon Smart Plus AMT,Gearbox,6-Speed AMT
TATA,NEXON,Nexon Smart Plus AMT,Drive Type,FWD
TATA,NEXON,Nexon Smart Plus AMT,Fuel Type,Petrol
TATA,NEXON,Nexon Smart Plus AMT,Petrol Mileage ARAI,17.18 kmpl
TATA,NEXON,Nexon Smart Plus AMT,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Smart Plus AMT,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Smart Plus AMT,Top Speed,180 kmph
TATA,NEXON,Nexon Smart Plus AMT,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Smart Plus AMT,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Smart Plus AMT,Steering Type,Electric
TATA,NEXON,Nexon Smart Plus AMT,Steering Column,Tilt
TATA,NEXON,Nexon Smart Plus AMT,Front Brake Type,Disc
TATA,NEXON,Nexon Smart Plus AMT,Rear Brake Type,Drum
TATA,NEXON,Nexon Smart Plus AMT,Length,3995 mm
TATA,NEXON,Nexon Smart Plus AMT,Width,1804 mm
TATA,NEXON,Nexon Smart Plus AMT,Height,1620 mm
TATA,NEXON,Nexon Smart Plus AMT,Boot Space,382 Litres
TATA,NEXON,Nexon Smart Plus AMT,Seating Capacity,5
TATA,NEXON,Nexon Smart Plus AMT,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Smart Plus AMT,Wheel Base,2498 mm
TATA,NEXON,Nexon Smart Plus AMT,No. of Doors,5
TATA,NEXON,Nexon Smart Plus AMT,Power Steering,YES
TATA,NEXON,Nexon Smart Plus AMT,Air Conditioner,YES
TATA,NEXON,Nexon Smart Plus AMT,Heater,YES
TATA,NEXON,Nexon Smart Plus AMT,Adjustable Steering,Height only
TATA,NEXON,Nexon Smart Plus AMT,Height Adjustable Driver Seat,NO
TATA,NEXON,Nexon Smart Plus AMT,Ventilated Seats,NO
TATA,NEXON,Nexon Smart Plus AMT,Automatic Climate Control,NO
TATA,NEXON,Nexon Smart Plus AMT,Air Quality Control,NO
TATA,NEXON,Nexon Smart Plus AMT,Accessory Power Outlet,YES
TATA,NEXON,Nexon Smart Plus AMT,Trunk Light,NO
TATA,NEXON,Nexon Smart Plus AMT,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Smart Plus AMT,Adjustable Headrest,YES
TATA,NEXON,Nexon Smart Plus AMT,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Smart Plus AMT,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Smart Plus AMT,Rear AC Vents,NO
TATA,NEXON,Nexon Smart Plus AMT,Cruise Control,NO
TATA,NEXON,Nexon Smart Plus AMT,Parking Sensors,Rear
TATA,NEXON,Nexon Smart Plus AMT,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Smart Plus AMT,KeyLess Entry,YES
TATA,NEXON,Nexon Smart Plus AMT,Engine Start/Stop Button,NO
TATA,NEXON,Nexon Smart Plus AMT,Cooled Glovebox,NO
TATA,NEXON,Nexon Smart Plus AMT,Voice Commands,NO
TATA,NEXON,Nexon Smart Plus AMT,Paddle Shifters,YES
TATA,NEXON,Nexon Smart Plus AMT,USB Charger,Front
TATA,NEXON,Nexon Smart Plus AMT,Central Console Armrest,NO
TATA,NEXON,Nexon Smart Plus AMT,Drive Modes,3
TATA,NEXON,Nexon Smart Plus AMT,Rear Window Sunblind,NO
TATA,NEXON,Nexon Smart Plus AMT,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart Plus AMT,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Smart Plus AMT,Voice assisted sunroof,NO
TATA,NEXON,Nexon Smart Plus AMT,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Smart Plus AMT,Power Windows,Front & Rear
TATA,NEXON,Nexon Smart Plus AMT,Tachometer,YES
TATA,NEXON,Nexon Smart Plus AMT,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Smart Plus AMT,Glove Box,YES
TATA,NEXON,Nexon Smart Plus AMT,Digital Cluster,YES
TATA,NEXON,Nexon Smart Plus AMT,Upholstery,Fabric
TATA,NEXON,Nexon Smart Plus AMT,Adjustable Headlamps,YES
TATA,NEXON,Nexon Smart Plus AMT,Rain Sensing Wiper,NO
TATA,NEXON,Nexon Smart Plus AMT,Rear Window Wiper,NO
TATA,NEXON,Nexon Smart Plus AMT,Rear Window Washer,NO
TATA,NEXON,Nexon Smart Plus AMT,Rear Window Defogger,NO
TATA,NEXON,Nexon Smart Plus AMT,Wheel Covers,YES
TATA,NEXON,Nexon Smart Plus AMT,Alloy Wheels,NO
TATA,NEXON,Nexon Smart Plus AMT,Rear Spoiler,YES
TATA,NEXON,Nexon Smart Plus AMT,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Smart Plus AMT,Integrated Antenna,YES
TATA,NEXON,Nexon Smart Plus AMT,Cornering Foglamps,NO
TATA,NEXON,Nexon Smart Plus AMT,Roof Rails,NO
TATA,NEXON,Nexon Smart Plus AMT,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart Plus AMT,Fog Lights,NO
TATA,NEXON,Nexon Smart Plus AMT,Antenna,Pole Type
TATA,NEXON,Nexon Smart Plus AMT,Sunroof,NO
TATA,NEXON,Nexon Smart Plus AMT,Outside Rear View Mirror (ORVM),Powered
TATA,NEXON,Nexon Smart Plus AMT,Tyre Size,195/60 R16
