company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Smart Plus CNG,Engine Type,1.2L Turbocharged Revotorq
TATA,NEXON,Nexon Smart Plus CNG,Displacement,1199 cc
TATA,NEXON,Nexon Smart Plus CNG,Max Power,99bhp@5000rpm
TATA,NEXON,Nexon Smart Plus CNG,Max Torque,170Nm@2000rpm
TATA,NEXON,Nexon Smart Plus CNG,No. of Cylinders,3
TATA,NEXON,Nexon Smart Plus CNG,Valves Per Cylinder,4
TATA,NEXON,Nexon Smart Plus CNG,Turbo Charger,YES
TATA,NEXON,Nexon Smart Plus CNG,Transmission Type,Manual
TATA,NEXON,Nexon Smart Plus CNG,Gearbox,6-Speed
TATA,NEXON,Nexon Smart Plus CNG,Drive Type,FWD
TATA,NEXON,Nexon Smart Plus CNG,Fuel Type,CNG
TATA,NEXON,Nexon Smart Plus CNG,CNG Mileage ARAI,17.44 km/kg
TATA,NEXON,Nexon Smart Plus CNG,CNG Fuel Tank Capacity,60 Litres
TATA,NEXON,Nexon Smart Plus CNG,Secondary Fuel Type,Petrol
TATA,NEXON,Nexon Smart Plus CNG,Petrol Fuel Tank Capacity (Litres),44.0
TATA,NEXON,Nexon Smart Plus CNG,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Smart Plus CNG,Top Speed,180 kmph
TATA,NEXON,Nexon Smart Plus CNG,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Smart Plus CNG,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Smart Plus CNG,Steering Type,Electric
TATA,NEXON,Nexon Smart Plus CNG,Steering Column,Tilt
TATA,NEXON,Nexon Smart Plus CNG,Front Brake Type,Disc
TATA,NEXON,Nexon Smart Plus CNG,Rear Brake Type,Drum
TATA,NEXON,Nexon Smart Plus CNG,Length,3995 mm
TATA,NEXON,Nexon Smart Plus CNG,Width,1804 mm
TATA,NEXON,Nexon Smart Plus CNG,Height,1620 mm
TATA,NEXON,Nexon Smart Plus CNG,Boot Space,321 Litres
TATA,NEXON,Nexon Smart Plus CNG,Seating Capacity,5
TATA,NEXON,Nexon Smart Plus CNG,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Smart Plus CNG,Wheel Base,2498 mm
TATA,NEXON,Nexon Smart Plus CNG,No. of Doors,5
TATA,NEXON,Nexon Smart Plus CNG,Power Steering,YES
TATA,NEXON,Nexon Smart Plus CNG,Air Conditioner,YES
TATA,NEXON,Nexon Smart Plus CNG,Heater,YES
TATA,NEXON,Nexon Smart Plus CNG,Adjustable Steering,Height only
TATA,NEXON,Nexon Smart Plus CNG,Height Adjustable Driver Seat,NO
TATA,NEXON,Nexon Smart Plus CNG,Ventilated Seats,NO
TATA,NEXON,Nexon Smart Plus CNG,Automatic Climate Control,NO
TATA,NEXON,Nexon Smart Plus CNG,Air Quality Control,NO
TATA,NEXON,Nexon Smart Plus CNG,Accessory Power Outlet,YES
TATA,NEXON,Nexon Smart Plus CNG,Trunk Light,NO
TATA,NEXON,Nexon Smart Plus CNG,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Smart Plus CNG,Adjustable Headrest,YES
TATA,NEXON,Nexon Smart Plus CNG,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Smart Plus CNG,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Smart Plus CNG,Rear AC Vents,NO
TATA,NEXON,Nexon Smart Plus CNG,Cruise Control,NO
TATA,NEXON,Nexon Smart Plus CNG,Parking Sensors,Rear
TATA,NEXON,Nexon Smart Plus CNG,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Smart Plus CNG,KeyLess Entry,YES
TATA,NEXON,Nexon Smart Plus CNG,Engine Start/Stop Button,NO
TATA,NEXON,Nexon Smart Plus CNG,Cooled Glovebox,NO
TATA,NEXON,Nexon Smart Plus CNG,Voice Commands,NO
TATA,NEXON,Nexon Smart Plus CNG,Paddle Shifters,NO
TATA,NEXON,Nexon Smart Plus CNG,USB Charger,Front
TATA,NEXON,Nexon Smart Plus CNG,Central Console Armrest,NO
TATA,NEXON,Nexon Smart Plus CNG,Drive Modes,3
TATA,NEXON,Nexon Smart Plus CNG,Rear Window Sunblind,NO
TATA,NEXON,Nexon Smart Plus CNG,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart Plus CNG,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Smart Plus CNG,Voice assisted sunroof,NO
TATA,NEXON,Nexon Smart Plus CNG,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Smart Plus CNG,Power Windows,Front & Rear
TATA,NEXON,Nexon Smart Plus CNG,Tachometer,YES
TATA,NEXON,Nexon Smart Plus CNG,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Smart Plus CNG,Glove Box,YES
TATA,NEXON,Nexon Smart Plus CNG,Digital Cluster,YES
TATA,NEXON,Nexon Smart Plus CNG,Upholstery,Fabric
TATA,NEXON,Nexon Smart Plus CNG,Adjustable Headlamps,YES
TATA,NEXON,Nexon Smart Plus CNG,Rain Sensing Wiper,NO
TATA,NEXON,Nexon Smart Plus CNG,Rear Window Wiper,NO
TATA,NEXON,Nexon Smart Plus CNG,Rear Window Washer,NO
TATA,NEXON,Nexon Smart Plus CNG,Rear Window Defogger,NO
TATA,NEXON,Nexon Smart Plus CNG,Wheel Covers,YES
TATA,NEXON,Nexon Smart Plus CNG,Alloy Wheels,NO
TATA,NEXON,Nexon Smart Plus CNG,Rear Spoiler,YES
TATA,NEXON,Nexon Smart Plus CNG,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Smart Plus CNG,Integrated Antenna,YES
TATA,NEXON,Nexon Smart Plus CNG,Cornering Foglamps,NO
TATA,NEXON,Nexon Smart Plus CNG,Roof Rails,NO
TATA,NEXON,Nexon Smart Plus CNG,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart Plus CNG,Fog Lights,NO
TATA,NEXON,Nexon Smart Plus CNG,Antenna,Pole Type
TATA,NEXON,Nexon Smart Plus CNG,Sunroof,NO
TATA,NEXON,Nexon Smart Plus CNG,Outside Rear View Mirror (ORVM),Powered
TATA,NEXON,Nexon Smart Plus CNG,Tyre Size,195/60 R16
TATA,NEXON,Nexon Smart Plus CNG,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Smart Plus CNG,Wheel Size,16 Inch
TATA,NEXON,Nexon Smart Plus CNG,LED DRLs,YES
TATA,NEXON,Nexon Smart Plus CNG,LED Headlamps,YES
TATA,NEXON,Nexon Smart Plus CNG,LED Taillights,YES
TATA,NEXON,Nexon Smart Plus CNG,LED Fog Lamps,NO
TATA,NEXON,Nexon Smart Plus CNG,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Smart Plus CNG,Central Locking,YES
TATA,NEXON,Nexon Smart Plus CNG,Child Safety Locks,YES
TATA,NEXON,Nexon Smart Plus CNG,No. of Airbags,6
TATA,NEXON,Nexon Smart Plus CNG,Driver Airbag,YES
TATA,NEXON,Nexon Smart Plus CNG,Passenger Airbag,YES
TATA,NEXON,Nexon Smart Plus CNG,Side Airbag,YES
TATA,NEXON,Nexon Smart Plus CNG,Side Airbag-Rear,NO
TATA,NEXON,Nexon Smart Plus CNG,Day & Night Rear View Mirror,YES
TATA,NEXON,Nexon Smart Plus CNG,Curtain Airbag,YES
TATA,NEXON,Nexon Smart Plus CNG,Electronic Brakeforce Distribution (EBD),YES
TATA,NEXON,Nexon Smart Plus CNG,Seat Belt Warning,YES
TATA,NEXON,Nexon Smart Plus CNG,Door Ajar Warning,YES
