company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Smart Plus Diesel,Engine Type,1.5L Turbocharged Revotorq
TATA,NEXON,Nexon Smart Plus Diesel,Displacement,1497 cc
TATA,NEXON,Nexon Smart Plus Diesel,Max Power,113.31bhp@3750rpm
TATA,NEXON,Nexon Smart Plus Diesel,Max Torque,260Nm@1500-2750rpm
TATA,NEXON,Nexon Smart Plus Diesel,No. of Cylinders,4
TATA,NEXON,Nexon Smart Plus Diesel,Valves Per Cylinder,4
TATA,NEXON,Nexon Smart Plus Diesel,Turbo Charger,YES
TATA,NEXON,Nexon Smart Plus Diesel,Transmission Type,Manual
TATA,NEXON,Nexon Smart Plus Diesel,Gearbox,6-Speed
TATA,NEXON,Nexon Smart Plus Diesel,Drive Type,FWD
TATA,NEXON,Nexon Smart Plus Diesel,Fuel Type,Diesel
TATA,NEXON,Nexon Smart Plus Diesel,Diesel Mileage ARAI,23.23 kmpl
TATA,NEXON,Nexon Smart Plus Diesel,Diesel Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Smart Plus Diesel,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Smart Plus Diesel,Top Speed,180 kmph
TATA,NEXON,Nexon Smart Plus Diesel,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Smart Plus Diesel,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Smart Plus Diesel,Steering Type,Electric
TATA,NEXON,Nexon Smart Plus Diesel,Steering Column,Tilt
TATA,NEXON,Nexon Smart Plus Diesel,Front Brake Type,Disc
TATA,NEXON,Nexon Smart Plus Diesel,Rear Brake Type,Drum
TATA,NEXON,Nexon Smart Plus Diesel,Length,3995 mm
TATA,NEXON,Nexon Smart Plus Diesel,Width,1804 mm
TATA,NEXON,Nexon Smart Plus Diesel,Height,1620 mm
TATA,NEXON,Nexon Smart Plus Diesel,Boot Space,382 Litres
TATA,NEXON,Nexon Smart Plus Diesel,Seating Capacity,5
TATA,NEXON,Nexon Smart Plus Diesel,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Smart Plus Diesel,Wheel Base,2498 mm
TATA,NEXON,Nexon Smart Plus Diesel,No. of Doors,5
TATA,NEXON,Nexon Smart Plus Diesel,Power Steering,YES
TATA,NEXON,Nexon Smart Plus Diesel,Air Conditioner,YES
TATA,NEXON,Nexon Smart Plus Diesel,Heater,YES
TATA,NEXON,Nexon Smart Plus Diesel,Adjustable Steering,Height only
TATA,NEXON,Nexon Smart Plus Diesel,Height Adjustable Driver Seat,NO
TATA,NEXON,Nexon Smart Plus Diesel,Ventilated Seats,NO
TATA,NEXON,Nexon Smart Plus Diesel,Automatic Climate Control,NO
TATA,NEXON,Nexon Smart Plus Diesel,Air Quality Control,NO
TATA,NEXON,Nexon Smart Plus Diesel,Accessory Power Outlet,YES
TATA,NEXON,Nexon Smart Plus Diesel,Trunk Light,NO
TATA,NEXON,Nexon Smart Plus Diesel,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Smart Plus Diesel,Adjustable Headrest,YES
TATA,NEXON,Nexon Smart Plus Diesel,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Smart Plus Diesel,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Smart Plus Diesel,Rear AC Vents,NO
TATA,NEXON,Nexon Smart Plus Diesel,Cruise Control,NO
TATA,NEXON,Nexon Smart Plus Diesel,Parking Sensors,Rear
TATA,NEXON,Nexon Smart Plus Diesel,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Smart Plus Diesel,KeyLess Entry,YES
TATA,NEXON,Nexon Smart Plus Diesel,Engine Start/Stop Button,NO
TATA,NEXON,Nexon Smart Plus Diesel,Cooled Glovebox,NO
TATA,NEXON,Nexon Smart Plus Diesel,Voice Commands,NO
TATA,NEXON,Nexon Smart Plus Diesel,Paddle Shifters,NO
TATA,NEXON,Nexon Smart Plus Diesel,USB Charger,Front
TATA,NEXON,Nexon Smart Plus Diesel,Central Console Armrest,NO
TATA,NEXON,Nexon Smart Plus Diesel,Drive Modes,3
TATA,NEXON,Nexon Smart Plus Diesel,Rear Window Sunblind,NO
TATA,NEXON,Nexon Smart Plus Diesel,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart Plus Diesel,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Smart Plus Diesel,Voice assisted sunroof,NO
TATA,NEXON,Nexon Smart Plus Diesel,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Smart Plus Diesel,Power Windows,Front & Rear
TATA,NEXON,Nexon Smart Plus Diesel,Tachometer,YES
