company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Smart Plus,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Smart Plus,Displacement,1199 cc
TATA,NEXON,Nexon Smart Plus,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Smart Plus,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Smart Plus,No. of Cylinders,3
TATA,NEXON,Nexon Smart Plus,Valves Per Cylinder,4
TATA,NEXON,Nexon Smart Plus,Turbo Charger,YES
TATA,NEXON,Nexon Smart Plus,Transmission Type,Manual
TATA,NEXON,Nexon Smart Plus,Gearbox,5-Speed
TATA,NEXON,Nexon Smart Plus,Drive Type,FWD
TATA,NEXON,Nexon Smart Plus,Fuel Type,Petrol
TATA,NEXON,Nexon Smart Plus,Petrol Mileage ARAI,17.44 kmpl
TATA,NEXON,Nexon Smart Plus,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Smart Plus,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Smart Plus,Top Speed,180 kmph
TATA,NEXON,Nexon Smart Plus,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Smart Plus,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Smart Plus,Steering Type,Electric
TATA,NEXON,Nexon Smart Plus,Steering Column,Tilt
TATA,NEXON,Nexon Smart Plus,Front Brake Type,Disc
TATA,NEXON,Nexon Smart Plus,Rear Brake Type,Drum
TATA,NEXON,Nexon Smart Plus,Length,3995 mm
TATA,NEXON,Nexon Smart Plus,Width,1804 mm
TATA,NEXON,Nexon Smart Plus,Height,1620 mm
TATA,NEXON,Nexon Smart Plus,Boot Space,382 Litres
TATA,NEXON,Nexon Smart Plus,Seating Capacity,5
TATA,NEXON,Nexon Smart Plus,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Smart Plus,Wheel Base,2498 mm
TATA,NEXON,Nexon Smart Plus,No. of Doors,5
TATA,NEXON,Nexon Smart Plus,Power Steering,YES
TATA,NEXON,Nexon Smart Plus,Air Conditioner,YES
TATA,NEXON,Nexon Smart Plus,Heater,YES
TATA,NEXON,Nexon Smart Plus,Adjustable Steering,Height only
TATA,NEXON,Nexon Smart Plus,Height Adjustable Driver Seat,NO
TATA,NEXON,Nexon Smart Plus,Ventilated Seats,NO
TATA,NEXON,Nexon Smart Plus,Automatic Climate Control,NO
TATA,NEXON,Nexon Smart Plus,Air Quality Control,NO
TATA,NEXON,Nexon Smart Plus,Accessory Power Outlet,YES
TATA,NEXON,Nexon Smart Plus,Trunk Light,NO
TATA,NEXON,Nexon Smart Plus,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Smart Plus,Adjustable Headrest,YES
TATA,NEXON,Nexon Smart Plus,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Smart Plus,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Smart Plus,Rear AC Vents,NO
TATA,NEXON,Nexon Smart Plus,Cruise Control,NO
TATA,NEXON,Nexon Smart Plus,Parking Sensors,Rear
TATA,NEXON,Nexon Smart Plus,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Smart Plus,KeyLess Entry,YES
TATA,NEXON,Nexon Smart Plus,Engine Start/Stop Button,NO
TATA,NEXON,Nexon Smart Plus,Cooled Glovebox,NO
TATA,NEXON,Nexon Smart Plus,Voice Commands,NO
TATA,NEXON,Nexon Smart Plus,Paddle Shifters,NO
TATA,NEXON,Nexon Smart Plus,USB Charger,Front
TATA,NEXON,Nexon Smart Plus,Central Console Armrest,NO
TATA,NEXON,Nexon Smart Plus,Drive Modes,3
TATA,NEXON,Nexon Smart Plus,Rear Window Sunblind,NO
TATA,NEXON,Nexon Smart Plus,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart Plus,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Smart Plus,Voice assisted sunroof,NO
TATA,NEXON,Nexon Smart Plus,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Smart Plus,Power Windows,Front & Rear
TATA,NEXON,Nexon Smart Plus,Tachometer,YES
TATA,NEXON,Nexon Smart Plus,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Smart Plus,Glove Box,YES
TATA,NEXON,Nexon Smart Plus,Digital Cluster,YES
TATA,NEXON,Nexon Smart Plus,Upholstery,Fabric
TATA,NEXON,Nexon Smart Plus,Adjustable Headlamps,YES
TATA,NEXON,Nexon Smart Plus,Rain Sensing Wiper,NO
TATA,NEXON,Nexon Smart Plus,Rear Window Wiper,NO
TATA,NEXON,Nexon Smart Plus,Rear Window Washer,NO
TATA,NEXON,Nexon Smart Plus,Rear Window Defogger,NO
TATA,NEXON,Nexon Smart Plus,Wheel Covers,YES
TATA,NEXON,Nexon Smart Plus,Alloy Wheels,NO
TATA,NEXON,Nexon Smart Plus,Rear Spoiler,YES
TATA,NEXON,Nexon Smart Plus,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Smart Plus,Integrated Antenna,YES
TATA,NEXON,Nexon Smart Plus,Cornering Foglamps,NO
TATA,NEXON,Nexon Smart Plus,Roof Rails,NO
TATA,NEXON,Nexon Smart Plus,Automatic Headlamps,NO
TATA,NEXON,Nexon Smart Plus,Fog Lights,NO
TATA,NEXON,Nexon Smart Plus,Antenna,Pole Type
TATA,NEXON,Nexon Smart Plus,Sunroof,NO
TATA,NEXON,Nexon Smart Plus,Outside Rear View Mirror (ORVM),Powered
TATA,NEXON,Nexon Smart Plus,Tyre Size,195/60 R16
TATA,NEXON,Nexon Smart Plus,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Smart Plus,Wheel Size,16 Inch
TATA,NEXON,Nexon Smart Plus,LED DRLs,YES
TATA,NEXON,Nexon Smart Plus,LED Headlamps,YES
TATA,NEXON,Nexon Smart Plus,LED Taillights,YES
TATA,NEXON,Nexon Smart Plus,LED Fog Lamps,NO
TATA,NEXON,Nexon Smart Plus,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Smart Plus,Central Locking,YES
TATA,NEXON,Nexon Smart Plus,Child Safety Locks,YES
TATA,NEXON,Nexon Smart Plus,No. of Airbags,6
TATA,NEXON,Nexon Smart Plus,Driver Airbag,YES
TATA,NEXON,Nexon Smart Plus,Passenger Airbag,YES
TATA,NEXON,Nexon Smart Plus,Side Airbag,YES
TATA,NEXON,Nexon Smart Plus,Side Airbag-Rear,NO
TATA,NEXON,Nexon Smart Plus,Day & Night Rear View Mirror,YES
TATA,NEXON,Nexon Smart Plus,Curtain Airbag,YES
TATA,NEXON,Nexon Smart Plus,Electronic Brakeforce Distribution (EBD),YES
TATA,NEXON,Nexon Smart Plus,Seat Belt Warning,YES
TATA,NEXON,Nexon Smart Plus,Door Ajar Warning,YES
TATA,NEXON,Nexon Smart Plus,Tyre Pressure Monitoring System (TPMS),NO
TATA,NEXON,Nexon Smart Plus,Engine Immobilizer,YES
TATA,NEXON,Nexon Smart Plus,Electronic Stability Control (ESC),YES
TATA,NEXON,Nexon Smart Plus,Rear Camera,NO
TATA,NEXON,Nexon Smart Plus,Speed Alert,YES
TATA,NEXON,Nexon Smart Plus,Speed Sensing Auto Door Lock,YES
TATA,NEXON,Nexon Smart Plus,ISOFIX Child Seat Mounts,YES
TATA,NEXON,Nexon Smart Plus,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,NEXON,Nexon Smart Plus,Impact Sensing Auto Door Unlock,YES
TATA,NEXON,Nexon Smart Plus,360 View Camera,NO
TATA,NEXON,Nexon Smart Plus,Global NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Smart Plus,Global NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Smart Plus,Bharat NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Smart Plus,Bharat NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Smart Plus,Radio,YES
TATA,NEXON,Nexon Smart Plus,Wireless Phone Charging,NO
TATA,NEXON,Nexon Smart Plus,Bluetooth Connectivity,YES
TATA,NEXON,Nexon Smart Plus,Touchscreen,YES
TATA,NEXON,Nexon Smart Plus,Touchscreen Size,7 inch
TATA,NEXON,Nexon Smart Plus,Connectivity,"Android Auto, Apple CarPlay"
TATA,NEXON,Nexon Smart Plus,Android Auto,YES
TATA,NEXON,Nexon Smart Plus,Apple CarPlay,YES
TATA,NEXON,Nexon Smart Plus,No. of Speakers,2
TATA,NEXON,Nexon Smart Plus,Usb Ports,YES
TATA,NEXON,Nexon Smart Plus,Speakers,Front Only
