company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Accomplished Plus S AMT,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Accomplished Plus S AMT,Displacement,1199 cc
TATA,PUNCH,Punch Accomplished Plus S AMT,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Accomplished Plus S AMT,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Accomplished Plus S AMT,No. of Cylinders,3
TATA,PUNCH,Punch Accomplished Plus S AMT,Valves Per Cylinder,4
TATA,PUNCH,Punch Accomplished Plus S AMT,Turbo Charger,NO
TATA,PUNCH,Punch Accomplished Plus S AMT,Transmission Type,Automatic
TATA,PUNCH,Punch Accomplished Plus S AMT,Gearbox,5-Speed
TATA,PUNCH,Punch Accomplished Plus S AMT,Drive Type,FWD
TATA,PUNCH,Punch Accomplished Plus S AMT,Fuel Type,Petrol
TATA,PUNCH,Punch Accomplished Plus S AMT,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Accomplished Plus S AMT,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Accomplished Plus S AMT,Top Speed,150 kmph
TATA,PUNCH,Punch Accomplished Plus S AMT,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Accomplished Plus S AMT,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Accomplished Plus S AMT,Steering Type,Electric
TATA,PUNCH,Punch Accomplished Plus S AMT,Steering Column,Tilt
TATA,PUNCH,Punch Accomplished Plus S AMT,Front Brake Type,Disc
TATA,PUNCH,Punch Accomplished Plus S AMT,Rear Brake Type,Drum
TATA,PUNCH,Punch Accomplished Plus S AMT,Alloy Wheel Size Front,16 Inch
TATA,PUNCH,Punch Accomplished Plus S AMT,Alloy Wheel Size Rear,16 Inch
TATA,PUNCH,Punch Accomplished Plus S AMT,Length,3876 mm
TATA,PUNCH,Punch Accomplished Plus S AMT,Width,1742 mm
TATA,PUNCH,Punch Accomplished Plus S AMT,Height,1615 mm
TATA,PUNCH,Punch Accomplished Plus S AMT,Boot Space,366 Litres
TATA,PUNCH,Punch Accomplished Plus S AMT,Seating Capacity,5
TATA,PUNCH,Punch Accomplished Plus S AMT,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Accomplished Plus S AMT,Wheel Base,2445 mm
TATA,PUNCH,Punch Accomplished Plus S AMT,No. of Doors,5
TATA,PUNCH,Punch Accomplished Plus S AMT,Power Steering,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Air Conditioner,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Heater,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Adjustable Steering,Height only
TATA,PUNCH,Punch Accomplished Plus S AMT,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Automatic Climate Control,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Air Quality Control,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Accessory Power Outlet,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Vanity Mirror,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Rear Seat Headrest,Adjustable
TATA,PUNCH,Punch Accomplished Plus S AMT,Adjustable Headrest,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Rear Seat Centre Arm Rest,YES
TATA,PUNCH,Punch Accomplished Plus S AMT,Rear AC Vents,YES
