company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Accomplished Plus S,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Accomplished Plus S,Displacement,1199 cc
TATA,PUNCH,Punch Accomplished Plus S,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Accomplished Plus S,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Accomplished Plus S,No. of Cylinders,3
TATA,PUNCH,Punch Accomplished Plus S,Valves Per Cylinder,4
TATA,PUNCH,Punch Accomplished Plus S,Turbo Charger,NO
TATA,PUNCH,Punch Accomplished Plus S,Transmission Type,Manual
TATA,PUNCH,Punch Accomplished Plus S,Gearbox,5-Speed
TATA,PUNCH,Punch Accomplished Plus S,Drive Type,FWD
TATA,PUNCH,Punch Accomplished Plus S,Fuel Type,Petrol
TATA,PUNCH,Punch Accomplished Plus S,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Accomplished Plus S,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Accomplished Plus S,Top Speed,150 kmph
TATA,PUNCH,Punch Accomplished Plus S,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Accomplished Plus S,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Accomplished Plus S,Steering Type,Electric
TATA,PUNCH,Punch Accomplished Plus S,Steering Column,Tilt
TATA,PUNCH,Punch Accomplished Plus S,Front Brake Type,Disc
TATA,PUNCH,Punch Accomplished Plus S,Rear Brake Type,Drum
TATA,PUNCH,Punch Accomplished Plus S,Alloy Wheel Size Front,16 Inch
TATA,PUNCH,Punch Accomplished Plus S,Alloy Wheel Size Rear,16 Inch
TATA,PUNCH,Punch Accomplished Plus S,Length,3876 mm
TATA,PUNCH,Punch Accomplished Plus S,Width,1742 mm
TATA,PUNCH,Punch Accomplished Plus S,Height,1615 mm
TATA,PUNCH,Punch Accomplished Plus S,Boot Space,366 Litres
TATA,PUNCH,Punch Accomplished Plus S,Seating Capacity,5
TATA,PUNCH,Punch Accomplished Plus S,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Accomplished Plus S,Wheel Base,2445 mm
TATA,PUNCH,Punch Accomplished Plus S,No. of Doors,5
TATA,PUNCH,Punch Accomplished Plus S,Power Steering,YES
TATA,PUNCH,Punch Accomplished Plus S,Air Conditioner,YES
TATA,PUNCH,Punch Accomplished Plus S,Heater,YES
TATA,PUNCH,Punch Accomplished Plus S,Adjustable Steering,Height only
TATA,PUNCH,Punch Accomplished Plus S,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Accomplished Plus S,Automatic Climate Control,YES
TATA,PUNCH,Punch Accomplished Plus S,Air Quality Control,YES
TATA,PUNCH,Punch Accomplished Plus S,Accessory Power Outlet,YES
TATA,PUNCH,Punch Accomplished Plus S,Vanity Mirror,YES
TATA,PUNCH,Punch Accomplished Plus S,Rear Seat Headrest,Adjustable
TATA,PUNCH,Punch Accomplished Plus S,Adjustable Headrest,YES
TATA,PUNCH,Punch Accomplished Plus S,Rear Seat Centre Arm Rest,YES
TATA,PUNCH,Punch Accomplished Plus S,Rear AC Vents,YES
TATA,PUNCH,Punch Accomplished Plus S,Cruise Control,YES
TATA,PUNCH,Punch Accomplished Plus S,Parking Sensors,Rear
TATA,PUNCH,Punch Accomplished Plus S,KeyLess Entry,YES
TATA,PUNCH,Punch Accomplished Plus S,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Accomplished Plus S,Cooled Glovebox,YES
TATA,PUNCH,Punch Accomplished Plus S,Paddle Shifters,NO
TATA,PUNCH,Punch Accomplished Plus S,USB Charger,Front & Rear
TATA,PUNCH,Punch Accomplished Plus S,Central Console Armrest,YES
TATA,PUNCH,Punch Accomplished Plus S,Drive Modes,2
TATA,PUNCH,Punch Accomplished Plus S,Idle Start-Stop System,YES
TATA,PUNCH,Punch Accomplished Plus S,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Accomplished Plus S,Voice assisted sunroof,YES
TATA,PUNCH,Punch Accomplished Plus S,Power Windows,Front & Rear
TATA,PUNCH,Punch Accomplished Plus S,Tachometer,YES
TATA,PUNCH,Punch Accomplished Plus S,Leather Wrapped Steering Wheel,YES
TATA,PUNCH,Punch Accomplished Plus S,Leather wrap gear-shift selector,YES
TATA,PUNCH,Punch Accomplished Plus S,Glove Box,YES
TATA,PUNCH,Punch Accomplished Plus S,Lighting,Ambient light
TATA,PUNCH,Punch Accomplished Plus S,Additional Features,Parcel Tray
TATA,PUNCH,Punch Accomplished Plus S,Digital Cluster,YES
TATA,PUNCH,Punch Accomplished Plus S,Digital Cluster Size,7
TATA,PUNCH,Punch Accomplished Plus S,Rain Sensing Wiper,YES
TATA,PUNCH,Punch Accomplished Plus S,Rear Window Wiper,YES
TATA,PUNCH,Punch Accomplished Plus S,Rear Window Washer,YES
TATA,PUNCH,Punch Accomplished Plus S,Rear Window Defogger,YES
TATA,PUNCH,Punch Accomplished Plus S,Wheel Covers,NO
TATA,PUNCH,Punch Accomplished Plus S,Alloy Wheels,YES
TATA,PUNCH,Punch Accomplished Plus S,Rear Spoiler,YES
TATA,PUNCH,Punch Accomplished Plus S,Outside Rear View Mirror Turn Indicators,YES
TATA,PUNCH,Punch Accomplished Plus S,Integrated Antenna,YES
TATA,PUNCH,Punch Accomplished Plus S,Cornering Foglamps,YES
TATA,PUNCH,Punch Accomplished Plus S,Roof Rails,YES
TATA,PUNCH,Punch Accomplished Plus S,Automatic Headlamps,YES
TATA,PUNCH,Punch Accomplished Plus S,Antenna,Shark Fin
TATA,PUNCH,Punch Accomplished Plus S,Sunroof,Single Pane
TATA,PUNCH,Punch Accomplished Plus S,Puddle Lamps,YES
TATA,PUNCH,Punch Accomplished Plus S,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,PUNCH,Punch Accomplished Plus S,Tyre Size,195/60 R16
TATA,PUNCH,Punch Accomplished Plus S,Tyre Type,Radial Tubeless
TATA,PUNCH,Punch Accomplished Plus S,LED DRLs,YES
TATA,PUNCH,Punch Accomplished Plus S,LED Headlamps,YES
TATA,PUNCH,Punch Accomplished Plus S,LED Taillights,YES
TATA,PUNCH,Punch Accomplished Plus S,LED Fog Lamps,YES
TATA,PUNCH,Punch Accomplished Plus S,Anti-lock Braking System (ABS),YES
TATA,PUNCH,Punch Accomplished Plus S,Central Locking,YES
TATA,PUNCH,Punch Accomplished Plus S,Child Safety Locks,YES
TATA,PUNCH,Punch Accomplished Plus S,No. of Airbags,6
TATA,PUNCH,Punch Accomplished Plus S,Driver Airbag,YES
TATA,PUNCH,Punch Accomplished Plus S,Passenger Airbag,YES
TATA,PUNCH,Punch Accomplished Plus S,Side Airbag,YES
TATA,PUNCH,Punch Accomplished Plus S,Day & Night Rear View Mirror,YES
TATA,PUNCH,Punch Accomplished Plus S,Curtain Airbag,YES
TATA,PUNCH,Punch Accomplished Plus S,Electronic Brakeforce Distribution (EBD),YES
TATA,PUNCH,Punch Accomplished Plus S,Seat Belt Warning,YES
TATA,PUNCH,Punch Accomplished Plus S,Door Ajar Warning,YES
TATA,PUNCH,Punch Accomplished Plus S,Tyre Pressure Monitoring System (TPMS),YES
TATA,PUNCH,Punch Accomplished Plus S,Engine Immobilizer,YES
TATA,PUNCH,Punch Accomplished Plus S,Electronic Stability Control (ESC),YES
TATA,PUNCH,Punch Accomplished Plus S,Rear Camera,With Guidedlines
TATA,PUNCH,Punch Accomplished Plus S,Speed Alert,YES
TATA,PUNCH,Punch Accomplished Plus S,Speed Sensing Auto Door Lock,YES
TATA,PUNCH,Punch Accomplished Plus S,ISOFIX Child Seat Mounts,YES
TATA,PUNCH,Punch Accomplished Plus S,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,PUNCH,Punch Accomplished Plus S,Hill Descent Control,YES
TATA,PUNCH,Punch Accomplished Plus S,Hill Assist,YES
TATA,PUNCH,Punch Accomplished Plus S,360 View Camera,YES
TATA,PUNCH,Punch Accomplished Plus S,Radio,YES
TATA,PUNCH,Punch Accomplished Plus S,Wireless Phone Charging,YES
TATA,PUNCH,Punch Accomplished Plus S,Bluetooth Connectivity,YES
TATA,PUNCH,Punch Accomplished Plus S,Touchscreen,YES
TATA,PUNCH,Punch Accomplished Plus S,Touchscreen Size,10.24 inch
TATA,PUNCH,Punch Accomplished Plus S,Android Auto,YES
TATA,PUNCH,Punch Accomplished Plus S,Apple CarPlay,YES
TATA,PUNCH,Punch Accomplished Plus S,No. of Speakers,4
TATA,PUNCH,Punch Accomplished Plus S,Usb Ports,YES
TATA,PUNCH,Punch Accomplished Plus S,Tweeters,4
TATA,PUNCH,Punch Accomplished Plus S,Additional Features,Wireless Android Auto and Apple Carplay
TATA,PUNCH,Punch Accomplished Plus S,Speakers,Front & Rear
