company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Accomplished,Engine Type,1.2 l Revotron Engine
TATA,PUNCH,Punch Accomplished,Displacement,1199 cc
TATA,PUNCH,Punch Accomplished,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Accomplished,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Accomplished,No. of Cylinders,3
TATA,PUNCH,Punch Accomplished,Valves Per Cylinder,4
TATA,PUNCH,Punch Accomplished,Turbo Charger,NO
TATA,PUNCH,Punch Accomplished,Transmission Type,Manual
TATA,PUNCH,Punch Accomplished,Gearbox,5-Speed
TATA,PUNCH,Punch Accomplished,Drive Type,FWD
TATA,PUNCH,Punch Accomplished,Fuel Type,Petrol
TATA,PUNCH,Punch Accomplished,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Accomplished,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Accomplished,Top Speed,150 kmph
TATA,PUNCH,Punch Accomplished,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Accomplished,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Accomplished,Steering Type,Electric
TATA,PUNCH,Punch Accomplished,Steering Column,Tilt
TATA,PUNCH,Punch Accomplished,Front Brake Type,Disc
TATA,PUNCH,Punch Accomplished,Rear Brake Type,Drum
TATA,PUNCH,Punch Accomplished,Alloy Wheel Size Front,16 Inch
TATA,PUNCH,Punch Accomplished,Alloy Wheel Size Rear,16 Inch
TATA,PUNCH,Punch Accomplished,Length,3876 mm
TATA,PUNCH,Punch Accomplished,Width,1742 mm
TATA,PUNCH,Punch Accomplished,Height,1615 mm
TATA,PUNCH,Punch Accomplished,Boot Space,366 Litres
TATA,PUNCH,Punch Accomplished,Seating Capacity,5
TATA,PUNCH,Punch Accomplished,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Accomplished,Wheel Base,2445 mm
TATA,PUNCH,Punch Accomplished,No. of Doors,5
TATA,PUNCH,Punch Accomplished,Power Steering,YES
TATA,PUNCH,Punch Accomplished,Air Conditioner,YES
TATA,PUNCH,Punch Accomplished,Heater,YES
TATA,PUNCH,Punch Accomplished,Adjustable Steering,Height only
TATA,PUNCH,Punch Accomplished,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Accomplished,Automatic Climate Control,YES
TATA,PUNCH,Punch Accomplished,Air Quality Control,YES
TATA,PUNCH,Punch Accomplished,Accessory Power Outlet,YES
TATA,PUNCH,Punch Accomplished,Vanity Mirror,YES
TATA,PUNCH,Punch Accomplished,Rear Seat Headrest,Adjustable
TATA,PUNCH,Punch Accomplished,Adjustable Headrest,YES
TATA,PUNCH,Punch Accomplished,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Accomplished,Rear AC Vents,YES
TATA,PUNCH,Punch Accomplished,Cruise Control,YES
TATA,PUNCH,Punch Accomplished,Parking Sensors,Rear
TATA,PUNCH,Punch Accomplished,KeyLess Entry,YES
TATA,PUNCH,Punch Accomplished,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Accomplished,Cooled Glovebox,YES
TATA,PUNCH,Punch Accomplished,Paddle Shifters,NO
TATA,PUNCH,Punch Accomplished,USB Charger,Front & Rear
TATA,PUNCH,Punch Accomplished,Central Console Armrest,YES
TATA,PUNCH,Punch Accomplished,Drive Modes,2
TATA,PUNCH,Punch Accomplished,Idle Start-Stop System,YES
TATA,PUNCH,Punch Accomplished,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Accomplished,Voice assisted sunroof,NO
TATA,PUNCH,Punch Accomplished,Drive Mode Types,ECO | CITY
TATA,PUNCH,Punch Accomplished,Power Windows,Front & Rear
TATA,PUNCH,Punch Accomplished,Tachometer,YES
TATA,PUNCH,Punch Accomplished,Leather Wrapped Steering Wheel,NO
TATA,PUNCH,Punch Accomplished,Leather wrap gear-shift selector,NO
TATA,PUNCH,Punch Accomplished,Glove Box,YES
TATA,PUNCH,Punch Accomplished,Lighting,Ambient light
TATA,PUNCH,Punch Accomplished,Additional Features,Parcel Tray
TATA,PUNCH,Punch Accomplished,Digital Cluster,YES
TATA,PUNCH,Punch Accomplished,Digital Cluster Size,4
TATA,PUNCH,Punch Accomplished,Rain Sensing Wiper,YES
TATA,PUNCH,Punch Accomplished,Rear Window Wiper,YES
TATA,PUNCH,Punch Accomplished,Rear Window Washer,YES
TATA,PUNCH,Punch Accomplished,Rear Window Defogger,YES
TATA,PUNCH,Punch Accomplished,Wheel Covers,NO
TATA,PUNCH,Punch Accomplished,Alloy Wheels,YES
TATA,PUNCH,Punch Accomplished,Rear Spoiler,YES
TATA,PUNCH,Punch Accomplished,Outside Rear View Mirror Turn Indicators,YES
TATA,PUNCH,Punch Accomplished,Integrated Antenna,YES
TATA,PUNCH,Punch Accomplished,Cornering Foglamps,NO
TATA,PUNCH,Punch Accomplished,Roof Rails,NO
TATA,PUNCH,Punch Accomplished,Automatic Headlamps,YES
TATA,PUNCH,Punch Accomplished,Antenna,Shark Fin
TATA,PUNCH,Punch Accomplished,Sunroof,NO
TATA,PUNCH,Punch Accomplished,Puddle Lamps,NO
TATA,PUNCH,Punch Accomplished,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,PUNCH,Punch Accomplished,Tyre Size,195/60 R16
TATA,PUNCH,Punch Accomplished,Tyre Type,Radial Tubeless
TATA,PUNCH,Punch Accomplished,LED DRLs,YES
TATA,PUNCH,Punch Accomplished,LED Headlamps,YES
TATA,PUNCH,Punch Accomplished,LED Taillights,YES
TATA,PUNCH,Punch Accomplished,LED Fog Lamps,NO
TATA,PUNCH,Punch Accomplished,Additional Features,R15 Hyper Style Wheels
TATA,PUNCH,Punch Accomplished,Anti-lock Braking System (ABS),YES
TATA,PUNCH,Punch Accomplished,Central Locking,YES
TATA,PUNCH,Punch Accomplished,Child Safety Locks,YES
TATA,PUNCH,Punch Accomplished,No. of Airbags,6
TATA,PUNCH,Punch Accomplished,Driver Airbag,YES
TATA,PUNCH,Punch Accomplished,Passenger Airbag,YES
TATA,PUNCH,Punch Accomplished,Side Airbag,YES
TATA,PUNCH,Punch Accomplished,Day & Night Rear View Mirror,YES
TATA,PUNCH,Punch Accomplished,Curtain Airbag,YES
TATA,PUNCH,Punch Accomplished,Electronic Brakeforce Distribution (EBD),YES
TATA,PUNCH,Punch Accomplished,Seat Belt Warning,YES
TATA,PUNCH,Punch Accomplished,Door Ajar Warning,YES
TATA,PUNCH,Punch Accomplished,Tyre Pressure Monitoring System (TPMS),YES
TATA,PUNCH,Punch Accomplished,Engine Immobilizer,YES
TATA,PUNCH,Punch Accomplished,Electronic Stability Control (ESC),YES
TATA,PUNCH,Punch Accomplished,Rear Camera,With Guidedlines
TATA,PUNCH,Punch Accomplished,Speed Alert,YES
TATA,PUNCH,Punch Accomplished,Speed Sensing Auto Door Lock,YES
TATA,PUNCH,Punch Accomplished,ISOFIX Child Seat Mounts,YES
TATA,PUNCH,Punch Accomplished,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,PUNCH,Punch Accomplished,Hill Descent Control,YES
TATA,PUNCH,Punch Accomplished,Hill Assist,YES
TATA,PUNCH,Punch Accomplished,360 View Camera,YES
TATA,PUNCH,Punch Accomplished,Bharat NCAP Safety Rating,5 Star
TATA,PUNCH,Punch Accomplished,Bharat NCAP Child Safety Rating,5 Star
TATA,PUNCH,Punch Accomplished,Radio,YES
TATA,PUNCH,Punch Accomplished,Wireless Phone Charging,NO
TATA,PUNCH,Punch Accomplished,Bluetooth Connectivity,YES
TATA,PUNCH,Punch Accomplished,Touchscreen,YES
TATA,PUNCH,Punch Accomplished,Touchscreen Size,10.24 inch
TATA,PUNCH,Punch Accomplished,Android Auto,YES
TATA,PUNCH,Punch Accomplished,Apple CarPlay,YES
TATA,PUNCH,Punch Accomplished,No. of Speakers,4
TATA,PUNCH,Punch Accomplished,Usb Ports,YES
TATA,PUNCH,Punch Accomplished,Additional Features,Wireless Android Auto & Apple CarPlay
TATA,PUNCH,Punch Accomplished,Speakers,Front & Rear
