company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Adventure AMT,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Adventure AMT,Displacement,1199 cc
TATA,PUNCH,Punch Adventure AMT,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Adventure AMT,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Adventure AMT,No. of Cylinders,3
TATA,PUNCH,Punch Adventure AMT,Valves Per Cylinder,4
TATA,PUNCH,Punch Adventure AMT,Turbo Charger,NO
TATA,PUNCH,Punch Adventure AMT,Transmission Type,Automatic
TATA,PUNCH,Punch Adventure AMT,Gearbox,5-Speed
TATA,PUNCH,Punch Adventure AMT,Drive Type,FWD
TATA,PUNCH,Punch Adventure AMT,Fuel Type,Petrol
TATA,PUNCH,Punch Adventure AMT,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Adventure AMT,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Adventure AMT,Top Speed,150 kmph
TATA,PUNCH,Punch Adventure AMT,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Adventure AMT,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Adventure AMT,Steering Type,Electric
TATA,PUNCH,Punch Adventure AMT,Steering Column,Tilt
TATA,PUNCH,Punch Adventure AMT,Front Brake Type,Disc
TATA,PUNCH,Punch Adventure AMT,Rear Brake Type,Drum
TATA,PUNCH,Punch Adventure AMT,Length,3876 mm
TATA,PUNCH,Punch Adventure AMT,Width,1742 mm
TATA,PUNCH,Punch Adventure AMT,Height,1615 mm
TATA,PUNCH,Punch Adventure AMT,Boot Space,366 Litres
TATA,PUNCH,Punch Adventure AMT,Seating Capacity,5
TATA,PUNCH,Punch Adventure AMT,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Adventure AMT,Wheel Base,2445 mm
TATA,PUNCH,Punch Adventure AMT,No. of Doors,5
TATA,PUNCH,Punch Adventure AMT,Power Steering,YES
TATA,PUNCH,Punch Adventure AMT,Air Conditioner,YES
TATA,PUNCH,Punch Adventure AMT,Heater,YES
TATA,PUNCH,Punch Adventure AMT,Adjustable Steering,Height only
TATA,PUNCH,Punch Adventure AMT,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Adventure AMT,Automatic Climate Control,YES
TATA,PUNCH,Punch Adventure AMT,Air Quality Control,YES
TATA,PUNCH,Punch Adventure AMT,Accessory Power Outlet,YES
TATA,PUNCH,Punch Adventure AMT,Vanity Mirror,YES
TATA,PUNCH,Punch Adventure AMT,Rear Seat Headrest,Integrated
TATA,PUNCH,Punch Adventure AMT,Adjustable Headrest,YES
TATA,PUNCH,Punch Adventure AMT,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Adventure AMT,Rear AC Vents,YES
TATA,PUNCH,Punch Adventure AMT,Cruise Control,YES
TATA,PUNCH,Punch Adventure AMT,Parking Sensors,Rear
TATA,PUNCH,Punch Adventure AMT,KeyLess Entry,YES
TATA,PUNCH,Punch Adventure AMT,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Adventure AMT,Cooled Glovebox,NO
TATA,PUNCH,Punch Adventure AMT,Paddle Shifters,NO
TATA,PUNCH,Punch Adventure AMT,USB Charger,Front & Rear
TATA,PUNCH,Punch Adventure AMT,Central Console Armrest,YES
TATA,PUNCH,Punch Adventure AMT,Drive Modes,2
TATA,PUNCH,Punch Adventure AMT,Idle Start-Stop System,YES
TATA,PUNCH,Punch Adventure AMT,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Adventure AMT,Voice assisted sunroof,NO
TATA,PUNCH,Punch Adventure AMT,Power Windows,Front & Rear
TATA,PUNCH,Punch Adventure AMT,Tachometer,YES
