company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Adventure CNG AMT,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Adventure CNG AMT,Displacement,1199 cc
TATA,PUNCH,Punch Adventure CNG AMT,Max Power,72bhp@6000rpm
TATA,PUNCH,Punch Adventure CNG AMT,Max Torque,103Nm@3500rpm
TATA,PUNCH,Punch Adventure CNG AMT,No. of Cylinders,3
TATA,PUNCH,Punch Adventure CNG AMT,Valves Per Cylinder,4
TATA,PUNCH,Punch Adventure CNG AMT,Turbo Charger,NO
TATA,PUNCH,Punch Adventure CNG AMT,Transmission Type,Automatic
TATA,PUNCH,Punch Adventure CNG AMT,Gearbox,5-Speed
TATA,PUNCH,Punch Adventure CNG AMT,Drive Type,FWD
TATA,PUNCH,Punch Adventure CNG AMT,Fuel Type,CNG
TATA,PUNCH,Punch Adventure CNG AMT,CNG Fuel Tank Capacity,60 Litres
TATA,PUNCH,Punch Adventure CNG AMT,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Adventure CNG AMT,Top Speed,150 kmph
TATA,PUNCH,Punch Adventure CNG AMT,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Adventure CNG AMT,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Adventure CNG AMT,Steering Type,Electric
TATA,PUNCH,Punch Adventure CNG AMT,Steering Column,Tilt
TATA,PUNCH,Punch Adventure CNG AMT,Front Brake Type,Disc
TATA,PUNCH,Punch Adventure CNG AMT,Rear Brake Type,Drum
TATA,PUNCH,Punch Adventure CNG AMT,Length,3876 mm
TATA,PUNCH,Punch Adventure CNG AMT,Width,1742 mm
TATA,PUNCH,Punch Adventure CNG AMT,Height,1615 mm
TATA,PUNCH,Punch Adventure CNG AMT,Boot Space,210 Litres
TATA,PUNCH,Punch Adventure CNG AMT,Seating Capacity,5
TATA,PUNCH,Punch Adventure CNG AMT,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Adventure CNG AMT,Wheel Base,2445 mm
TATA,PUNCH,Punch Adventure CNG AMT,No. of Doors,5
TATA,PUNCH,Punch Adventure CNG AMT,Power Steering,YES
TATA,PUNCH,Punch Adventure CNG AMT,Air Conditioner,YES
TATA,PUNCH,Punch Adventure CNG AMT,Heater,YES
TATA,PUNCH,Punch Adventure CNG AMT,Adjustable Steering,Height only
TATA,PUNCH,Punch Adventure CNG AMT,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Adventure CNG AMT,Automatic Climate Control,YES
TATA,PUNCH,Punch Adventure CNG AMT,Air Quality Control,YES
TATA,PUNCH,Punch Adventure CNG AMT,Accessory Power Outlet,YES
TATA,PUNCH,Punch Adventure CNG AMT,Vanity Mirror,YES
TATA,PUNCH,Punch Adventure CNG AMT,Rear Seat Headrest,Integrated
TATA,PUNCH,Punch Adventure CNG AMT,Adjustable Headrest,YES
TATA,PUNCH,Punch Adventure CNG AMT,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Adventure CNG AMT,Rear AC Vents,YES
TATA,PUNCH,Punch Adventure CNG AMT,Cruise Control,NO
TATA,PUNCH,Punch Adventure CNG AMT,Parking Sensors,Rear
TATA,PUNCH,Punch Adventure CNG AMT,KeyLess Entry,YES
TATA,PUNCH,Punch Adventure CNG AMT,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Adventure CNG AMT,Cooled Glovebox,NO
TATA,PUNCH,Punch Adventure CNG AMT,Paddle Shifters,NO
TATA,PUNCH,Punch Adventure CNG AMT,USB Charger,Front & Rear
TATA,PUNCH,Punch Adventure CNG AMT,Central Console Armrest,YES
TATA,PUNCH,Punch Adventure CNG AMT,Drive Modes,2
TATA,PUNCH,Punch Adventure CNG AMT,Idle Start-Stop System,YES
TATA,PUNCH,Punch Adventure CNG AMT,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Adventure CNG AMT,Voice assisted sunroof,NO
TATA,PUNCH,Punch Adventure CNG AMT,Drive Mode Types,ECO | CITY
TATA,PUNCH,Punch Adventure CNG AMT,Power Windows,Front & Rear
TATA,PUNCH,Punch Adventure CNG AMT,Tachometer,YES
TATA,PUNCH,Punch Adventure CNG AMT,Leather Wrapped Steering Wheel,NO
TATA,PUNCH,Punch Adventure CNG AMT,Leather wrap gear-shift selector,NO
TATA,PUNCH,Punch Adventure CNG AMT,Glove Box,YES
TATA,PUNCH,Punch Adventure CNG AMT,Digital Cluster,YES
TATA,PUNCH,Punch Adventure CNG AMT,Digital Cluster Size,4
TATA,PUNCH,Punch Adventure CNG AMT,Rain Sensing Wiper,YES
TATA,PUNCH,Punch Adventure CNG AMT,Rear Window Wiper,YES
TATA,PUNCH,Punch Adventure CNG AMT,Rear Window Washer,YES
TATA,PUNCH,Punch Adventure CNG AMT,Rear Window Defogger,YES
TATA,PUNCH,Punch Adventure CNG AMT,Wheel Covers,YES
TATA,PUNCH,Punch Adventure CNG AMT,Alloy Wheels,NO
TATA,PUNCH,Punch Adventure CNG AMT,Rear Spoiler,NO
TATA,PUNCH,Punch Adventure CNG AMT,Outside Rear View Mirror Turn Indicators,YES
TATA,PUNCH,Punch Adventure CNG AMT,Integrated Antenna,YES
TATA,PUNCH,Punch Adventure CNG AMT,Cornering Foglamps,NO
TATA,PUNCH,Punch Adventure CNG AMT,Roof Rails,NO
TATA,PUNCH,Punch Adventure CNG AMT,Automatic Headlamps,YES
TATA,PUNCH,Punch Adventure CNG AMT,Antenna,Shark Fin
TATA,PUNCH,Punch Adventure CNG AMT,Sunroof,NO
TATA,PUNCH,Punch Adventure CNG AMT,Puddle Lamps,NO
TATA,PUNCH,Punch Adventure CNG AMT,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,PUNCH,Punch Adventure CNG AMT,Tyre Size,185/70 R15
TATA,PUNCH,Punch Adventure CNG AMT,Tyre Type,Radial Tubeless
TATA,PUNCH,Punch Adventure CNG AMT,Wheel Size,15 Inch
TATA,PUNCH,Punch Adventure CNG AMT,LED DRLs,NO
TATA,PUNCH,Punch Adventure CNG AMT,LED Headlamps,YES
TATA,PUNCH,Punch Adventure CNG AMT,LED Taillights,NO
TATA,PUNCH,Punch Adventure CNG AMT,LED Fog Lamps,NO
TATA,PUNCH,Punch Adventure CNG AMT,Anti-lock Braking System (ABS),YES
TATA,PUNCH,Punch Adventure CNG AMT,Central Locking,YES
TATA,PUNCH,Punch Adventure CNG AMT,Child Safety Locks,YES
TATA,PUNCH,Punch Adventure CNG AMT,No. of Airbags,6
TATA,PUNCH,Punch Adventure CNG AMT,Driver Airbag,YES
TATA,PUNCH,Punch Adventure CNG AMT,Passenger Airbag,YES
TATA,PUNCH,Punch Adventure CNG AMT,Side Airbag,YES
TATA,PUNCH,Punch Adventure CNG AMT,Day & Night Rear View Mirror,YES
TATA,PUNCH,Punch Adventure CNG AMT,Curtain Airbag,YES
TATA,PUNCH,Punch Adventure CNG AMT,Electronic Brakeforce Distribution (EBD),YES
TATA,PUNCH,Punch Adventure CNG AMT,Seat Belt Warning,YES
TATA,PUNCH,Punch Adventure CNG AMT,Door Ajar Warning,YES
TATA,PUNCH,Punch Adventure CNG AMT,Tyre Pressure Monitoring System (TPMS),YES
TATA,PUNCH,Punch Adventure CNG AMT,Engine Immobilizer,YES
TATA,PUNCH,Punch Adventure CNG AMT,Electronic Stability Control (ESC),YES
TATA,PUNCH,Punch Adventure CNG AMT,Rear Camera,With Guidedlines
TATA,PUNCH,Punch Adventure CNG AMT,Speed Alert,YES
TATA,PUNCH,Punch Adventure CNG AMT,Speed Sensing Auto Door Lock,YES
TATA,PUNCH,Punch Adventure CNG AMT,ISOFIX Child Seat Mounts,YES
TATA,PUNCH,Punch Adventure CNG AMT,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,PUNCH,Punch Adventure CNG AMT,Hill Descent Control,NO
TATA,PUNCH,Punch Adventure CNG AMT,Hill Assist,YES
TATA,PUNCH,Punch Adventure CNG AMT,360 View Camera,YES
TATA,PUNCH,Punch Adventure CNG AMT,Bharat NCAP Safety Rating,5 Star
TATA,PUNCH,Punch Adventure CNG AMT,Bharat NCAP Child Safety Rating,5 Star
