company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Adventure S,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Adventure S,Displacement,1199 cc
TATA,PUNCH,Punch Adventure S,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Adventure S,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Adventure S,No. of Cylinders,3
TATA,PUNCH,Punch Adventure S,Valves Per Cylinder,4
TATA,PUNCH,Punch Adventure S,Turbo Charger,NO
TATA,PUNCH,Punch Adventure S,Transmission Type,Manual
TATA,PUNCH,Punch Adventure S,Gearbox,5-Speed
TATA,PUNCH,Punch Adventure S,Drive Type,FWD
TATA,PUNCH,Punch Adventure S,Fuel Type,Petrol
TATA,PUNCH,Punch Adventure S,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Adventure S,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Adventure S,Top Speed,150 kmph
TATA,PUNCH,Punch Adventure S,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Adventure S,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Adventure S,Steering Type,Electric
TATA,PUNCH,Punch Adventure S,Steering Column,Tilt
TATA,PUNCH,Punch Adventure S,Front Brake Type,Disc
TATA,PUNCH,Punch Adventure S,Rear Brake Type,Drum
TATA,PUNCH,Punch Adventure S,Length,3876 mm
TATA,PUNCH,Punch Adventure S,Width,1742 mm
TATA,PUNCH,Punch Adventure S,Height,1615 mm
TATA,PUNCH,Punch Adventure S,Boot Space,366 Litres
TATA,PUNCH,Punch Adventure S,Seating Capacity,5
TATA,PUNCH,Punch Adventure S,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Adventure S,Wheel Base,2445 mm
TATA,PUNCH,Punch Adventure S,No. of Doors,5
TATA,PUNCH,Punch Adventure S,Power Steering,YES
TATA,PUNCH,Punch Adventure S,Air Conditioner,YES
TATA,PUNCH,Punch Adventure S,Heater,YES
TATA,PUNCH,Punch Adventure S,Adjustable Steering,Height only
TATA,PUNCH,Punch Adventure S,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Adventure S,Automatic Climate Control,YES
TATA,PUNCH,Punch Adventure S,Air Quality Control,YES
TATA,PUNCH,Punch Adventure S,Accessory Power Outlet,YES
TATA,PUNCH,Punch Adventure S,Vanity Mirror,YES
TATA,PUNCH,Punch Adventure S,Rear Seat Headrest,Integrated
TATA,PUNCH,Punch Adventure S,Adjustable Headrest,YES
TATA,PUNCH,Punch Adventure S,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Adventure S,Rear AC Vents,YES
TATA,PUNCH,Punch Adventure S,Cruise Control,YES
TATA,PUNCH,Punch Adventure S,Parking Sensors,Rear
TATA,PUNCH,Punch Adventure S,KeyLess Entry,YES
TATA,PUNCH,Punch Adventure S,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Adventure S,Cooled Glovebox,NO
TATA,PUNCH,Punch Adventure S,Paddle Shifters,NO
TATA,PUNCH,Punch Adventure S,USB Charger,Front & Rear
TATA,PUNCH,Punch Adventure S,Central Console Armrest,YES
TATA,PUNCH,Punch Adventure S,Drive Modes,2
TATA,PUNCH,Punch Adventure S,Idle Start-Stop System,YES
TATA,PUNCH,Punch Adventure S,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Adventure S,Voice assisted sunroof,YES
TATA,PUNCH,Punch Adventure S,Drive Mode Types,ECO | CITY
TATA,PUNCH,Punch Adventure S,Power Windows,Front & Rear
TATA,PUNCH,Punch Adventure S,Tachometer,YES
TATA,PUNCH,Punch Adventure S,Leather Wrapped Steering Wheel,NO
TATA,PUNCH,Punch Adventure S,Leather wrap gear-shift selector,NO
TATA,PUNCH,Punch Adventure S,Glove Box,YES
TATA,PUNCH,Punch Adventure S,Digital Cluster,YES
TATA,PUNCH,Punch Adventure S,Digital Cluster Size,4
TATA,PUNCH,Punch Adventure S,Rain Sensing Wiper,YES
TATA,PUNCH,Punch Adventure S,Rear Window Wiper,YES
TATA,PUNCH,Punch Adventure S,Rear Window Washer,YES
TATA,PUNCH,Punch Adventure S,Rear Window Defogger,YES
TATA,PUNCH,Punch Adventure S,Wheel Covers,YES
TATA,PUNCH,Punch Adventure S,Alloy Wheels,NO
TATA,PUNCH,Punch Adventure S,Rear Spoiler,NO
TATA,PUNCH,Punch Adventure S,Outside Rear View Mirror Turn Indicators,YES
TATA,PUNCH,Punch Adventure S,Integrated Antenna,YES
TATA,PUNCH,Punch Adventure S,Cornering Foglamps,NO
TATA,PUNCH,Punch Adventure S,Roof Rails,YES
TATA,PUNCH,Punch Adventure S,Automatic Headlamps,YES
TATA,PUNCH,Punch Adventure S,Antenna,Shark Fin
TATA,PUNCH,Punch Adventure S,Sunroof,Single Pane
TATA,PUNCH,Punch Adventure S,Puddle Lamps,NO
TATA,PUNCH,Punch Adventure S,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,PUNCH,Punch Adventure S,Tyre Size,185/70 R15
TATA,PUNCH,Punch Adventure S,Tyre Type,Radial Tubeless
TATA,PUNCH,Punch Adventure S,Wheel Size,15 Inch
TATA,PUNCH,Punch Adventure S,LED DRLs,NO
TATA,PUNCH,Punch Adventure S,LED Headlamps,YES
TATA,PUNCH,Punch Adventure S,LED Taillights,NO
TATA,PUNCH,Punch Adventure S,LED Fog Lamps,NO
TATA,PUNCH,Punch Adventure S,Anti-lock Braking System (ABS),YES
TATA,PUNCH,Punch Adventure S,Central Locking,YES
TATA,PUNCH,Punch Adventure S,Child Safety Locks,YES
TATA,PUNCH,Punch Adventure S,No. of Airbags,6
TATA,PUNCH,Punch Adventure S,Driver Airbag,YES
TATA,PUNCH,Punch Adventure S,Passenger Airbag,YES
TATA,PUNCH,Punch Adventure S,Side Airbag,YES
TATA,PUNCH,Punch Adventure S,Day & Night Rear View Mirror,YES
TATA,PUNCH,Punch Adventure S,Curtain Airbag,YES
TATA,PUNCH,Punch Adventure S,Electronic Brakeforce Distribution (EBD),YES
TATA,PUNCH,Punch Adventure S,Seat Belt Warning,YES
TATA,PUNCH,Punch Adventure S,Door Ajar Warning,YES
TATA,PUNCH,Punch Adventure S,Tyre Pressure Monitoring System (TPMS),YES
TATA,PUNCH,Punch Adventure S,Engine Immobilizer,YES
TATA,PUNCH,Punch Adventure S,Electronic Stability Control (ESC),YES
TATA,PUNCH,Punch Adventure S,Rear Camera,With Guidedlines
TATA,PUNCH,Punch Adventure S,Speed Alert,YES
TATA,PUNCH,Punch Adventure S,Speed Sensing Auto Door Lock,YES
TATA,PUNCH,Punch Adventure S,ISOFIX Child Seat Mounts,YES
TATA,PUNCH,Punch Adventure S,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,PUNCH,Punch Adventure S,Hill Descent Control,NO
TATA,PUNCH,Punch Adventure S,Hill Assist,YES
TATA,PUNCH,Punch Adventure S,360 View Camera,YES
TATA,PUNCH,Punch Adventure S,Bharat NCAP Safety Rating,5 Star
TATA,PUNCH,Punch Adventure S,Bharat NCAP Child Safety Rating,5 Star
TATA,PUNCH,Punch Adventure S,Radio,YES
TATA,PUNCH,Punch Adventure S,Wireless Phone Charging,NO
TATA,PUNCH,Punch Adventure S,Bluetooth Connectivity,YES
TATA,PUNCH,Punch Adventure S,Touchscreen,YES
TATA,PUNCH,Punch Adventure S,Touchscreen Size,8 inch
TATA,PUNCH,Punch Adventure S,Android Auto,YES
TATA,PUNCH,Punch Adventure S,Apple CarPlay,YES
TATA,PUNCH,Punch Adventure S,No. of Speakers,4
TATA,PUNCH,Punch Adventure S,Usb Ports,YES
TATA,PUNCH,Punch Adventure S,Additional Features,Wireless Android Auto & Apple CarPlay
TATA,PUNCH,Punch Adventure S,Speakers,Front & Rear
