company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Adventure,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Adventure,Displacement,1199 cc
TATA,PUNCH,Punch Adventure,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Adventure,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Adventure,No. of Cylinders,3
TATA,PUNCH,Punch Adventure,Valves Per Cylinder,4
TATA,PUNCH,Punch Adventure,Turbo Charger,NO
TATA,PUNCH,Punch Adventure,Transmission Type,Manual
TATA,PUNCH,Punch Adventure,Gearbox,5-Speed
TATA,PUNCH,Punch Adventure,Drive Type,FWD
TATA,PUNCH,Punch Adventure,Fuel Type,Petrol
TATA,PUNCH,Punch Adventure,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Adventure,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Adventure,Top Speed,150 kmph
TATA,PUNCH,Punch Adventure,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Adventure,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Adventure,Steering Type,Electric
TATA,PUNCH,Punch Adventure,Steering Column,Tilt
TATA,PUNCH,Punch Adventure,Front Brake Type,Disc
TATA,PUNCH,Punch Adventure,Rear Brake Type,Drum
TATA,PUNCH,Punch Adventure,Length,3876 mm
TATA,PUNCH,Punch Adventure,Width,1742 mm
TATA,PUNCH,Punch Adventure,Height,1615 mm
TATA,PUNCH,Punch Adventure,Boot Space,366 Litres
TATA,PUNCH,Punch Adventure,Seating Capacity,5
TATA,PUNCH,Punch Adventure,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Adventure,Wheel Base,2445 mm
TATA,PUNCH,Punch Adventure,No. of Doors,5
TATA,PUNCH,Punch Adventure,Power Steering,YES
TATA,PUNCH,Punch Adventure,Air Conditioner,YES
TATA,PUNCH,Punch Adventure,Heater,YES
TATA,PUNCH,Punch Adventure,Adjustable Steering,Height only
TATA,PUNCH,Punch Adventure,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Adventure,Automatic Climate Control,YES
TATA,PUNCH,Punch Adventure,Air Quality Control,YES
TATA,PUNCH,Punch Adventure,Accessory Power Outlet,YES
TATA,PUNCH,Punch Adventure,Vanity Mirror,YES
TATA,PUNCH,Punch Adventure,Rear Seat Headrest,Integrated
TATA,PUNCH,Punch Adventure,Adjustable Headrest,YES
TATA,PUNCH,Punch Adventure,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Adventure,Rear AC Vents,YES
TATA,PUNCH,Punch Adventure,Cruise Control,YES
TATA,PUNCH,Punch Adventure,Parking Sensors,Rear
TATA,PUNCH,Punch Adventure,KeyLess Entry,YES
TATA,PUNCH,Punch Adventure,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Adventure,Cooled Glovebox,NO
TATA,PUNCH,Punch Adventure,Paddle Shifters,NO
TATA,PUNCH,Punch Adventure,USB Charger,Front & Rear
TATA,PUNCH,Punch Adventure,Central Console Armrest,YES
TATA,PUNCH,Punch Adventure,Drive Modes,2
TATA,PUNCH,Punch Adventure,Idle Start-Stop System,YES
TATA,PUNCH,Punch Adventure,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Adventure,Voice assisted sunroof,NO
TATA,PUNCH,Punch Adventure,Power Windows,Front & Rear
TATA,PUNCH,Punch Adventure,Tachometer,YES
TATA,PUNCH,Punch Adventure,Leather Wrapped Steering Wheel,NO
TATA,PUNCH,Punch Adventure,Leather wrap gear-shift selector,NO
TATA,PUNCH,Punch Adventure,Glove Box,YES
TATA,PUNCH,Punch Adventure,Digital Cluster,YES
TATA,PUNCH,Punch Adventure,Digital Cluster Size,4
TATA,PUNCH,Punch Adventure,Rain Sensing Wiper,YES
TATA,PUNCH,Punch Adventure,Rear Window Wiper,YES
TATA,PUNCH,Punch Adventure,Rear Window Washer,YES
TATA,PUNCH,Punch Adventure,Rear Window Defogger,YES
TATA,PUNCH,Punch Adventure,Wheel Covers,YES
TATA,PUNCH,Punch Adventure,Alloy Wheels,NO
TATA,PUNCH,Punch Adventure,Rear Spoiler,NO
TATA,PUNCH,Punch Adventure,Outside Rear View Mirror Turn Indicators,YES
TATA,PUNCH,Punch Adventure,Integrated Antenna,YES
TATA,PUNCH,Punch Adventure,Cornering Foglamps,NO
TATA,PUNCH,Punch Adventure,Roof Rails,NO
TATA,PUNCH,Punch Adventure,Automatic Headlamps,YES
TATA,PUNCH,Punch Adventure,Antenna,Shark Fin
TATA,PUNCH,Punch Adventure,Sunroof,NO
TATA,PUNCH,Punch Adventure,Puddle Lamps,NO
TATA,PUNCH,Punch Adventure,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,PUNCH,Punch Adventure,Tyre Size,185/70 R15
TATA,PUNCH,Punch Adventure,Tyre Type,Radial Tubeless
TATA,PUNCH,Punch Adventure,Wheel Size,15 Inch
TATA,PUNCH,Punch Adventure,LED DRLs,NO
TATA,PUNCH,Punch Adventure,LED Headlamps,YES
TATA,PUNCH,Punch Adventure,LED Taillights,NO
TATA,PUNCH,Punch Adventure,LED Fog Lamps,NO
TATA,PUNCH,Punch Adventure,Anti-lock Braking System (ABS),YES
TATA,PUNCH,Punch Adventure,Central Locking,YES
TATA,PUNCH,Punch Adventure,Child Safety Locks,YES
TATA,PUNCH,Punch Adventure,No. of Airbags,6
TATA,PUNCH,Punch Adventure,Driver Airbag,YES
TATA,PUNCH,Punch Adventure,Passenger Airbag,YES
TATA,PUNCH,Punch Adventure,Side Airbag,YES
TATA,PUNCH,Punch Adventure,Day & Night Rear View Mirror,YES
TATA,PUNCH,Punch Adventure,Curtain Airbag,YES
TATA,PUNCH,Punch Adventure,Electronic Brakeforce Distribution (EBD),YES
TATA,PUNCH,Punch Adventure,Seat Belt Warning,YES
TATA,PUNCH,Punch Adventure,Door Ajar Warning,YES
TATA,PUNCH,Punch Adventure,Tyre Pressure Monitoring System (TPMS),YES
TATA,PUNCH,Punch Adventure,Engine Immobilizer,YES
TATA,PUNCH,Punch Adventure,Electronic Stability Control (ESC),YES
TATA,PUNCH,Punch Adventure,Rear Camera,With Guidedlines
TATA,PUNCH,Punch Adventure,Speed Alert,YES
TATA,PUNCH,Punch Adventure,Speed Sensing Auto Door Lock,YES
TATA,PUNCH,Punch Adventure,ISOFIX Child Seat Mounts,YES
TATA,PUNCH,Punch Adventure,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,PUNCH,Punch Adventure,Hill Descent Control,NO
TATA,PUNCH,Punch Adventure,Hill Assist,YES
TATA,PUNCH,Punch Adventure,360 View Camera,YES
TATA,PUNCH,Punch Adventure,Radio,YES
TATA,PUNCH,Punch Adventure,Wireless Phone Charging,NO
TATA,PUNCH,Punch Adventure,Bluetooth Connectivity,YES
TATA,PUNCH,Punch Adventure,Touchscreen,YES
TATA,PUNCH,Punch Adventure,Touchscreen Size,8 inch
TATA,PUNCH,Punch Adventure,Android Auto,YES
TATA,PUNCH,Punch Adventure,Apple CarPlay,YES
TATA,PUNCH,Punch Adventure,No. of Speakers,4
TATA,PUNCH,Punch Adventure,Usb Ports,YES
TATA,PUNCH,Punch Adventure,Additional Features,Wireless Android Auto & Apple CarPlay
TATA,PUNCH,Punch Adventure,Speakers,Front & Rear
