company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Smart,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Smart,Displacement,1199 cc
TATA,PUNCH,Punch Smart,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Smart,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Smart,No. of Cylinders,3
TATA,PUNCH,Punch Smart,Valves Per Cylinder,4
TATA,PUNCH,Punch Smart,Turbo Charger,NO
TATA,PUNCH,Punch Smart,Transmission Type,Manual
TATA,PUNCH,Punch Smart,Gearbox,5-Speed
TATA,PUNCH,Punch Smart,Drive Type,FWD
TATA,PUNCH,Punch Smart,Fuel Type,Petrol
TATA,PUNCH,Punch Smart,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Smart,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Smart,Top Speed,150 kmph
TATA,PUNCH,Punch Smart,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Smart,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Smart,Steering Type,Electric
TATA,PUNCH,Punch Smart,Steering Column,Tilt
TATA,PUNCH,Punch Smart,Front Brake Type,Disc
TATA,PUNCH,Punch Smart,Rear Brake Type,Drum
TATA,PUNCH,Punch Smart,Length,3876 mm
TATA,PUNCH,Punch Smart,Width,1742 mm
TATA,PUNCH,Punch Smart,Height,1615 mm
TATA,PUNCH,Punch Smart,Boot Space,366 Litres
TATA,PUNCH,Punch Smart,Seating Capacity,5
TATA,PUNCH,Punch Smart,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Smart,Wheel Base,2445 mm
TATA,PUNCH,Punch Smart,No. of Doors,5
TATA,PUNCH,Punch Smart,Power Steering,YES
TATA,PUNCH,Punch Smart,Air Conditioner,YES
TATA,PUNCH,Punch Smart,Heater,YES
TATA,PUNCH,Punch Smart,Adjustable Steering,Height only
TATA,PUNCH,Punch Smart,Height Adjustable Driver Seat,NO
TATA,PUNCH,Punch Smart,Automatic Climate Control,NO
TATA,PUNCH,Punch Smart,Air Quality Control,NO
TATA,PUNCH,Punch Smart,Accessory Power Outlet,YES
TATA,PUNCH,Punch Smart,Vanity Mirror,NO
TATA,PUNCH,Punch Smart,Rear Seat Headrest,Integrated
TATA,PUNCH,Punch Smart,Adjustable Headrest,YES
TATA,PUNCH,Punch Smart,Rear Seat Centre Arm Rest,NO
