company,model,variant,feature_name,feature_details
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Engine Type,M15D-FXE
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Displacement,1490 cc
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Max Power,91.18bhp@5500rpm
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Max Torque,122Nm@4400-4800rpm
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,No. of Cylinders,3
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Valves Per Cylinder,4
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Transmission Type,Automatic
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Gearbox,5-Speed
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Drive Type,FWD
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Fuel Type,Petrol
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Petrol Mileage ARAI,27.97 kmpl
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Petrol Fuel Tank Capacity,45 Litres
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Emission Norm Compliance,BS VI 2.0
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Top Speed,180 kmph
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Front Suspension,MacPherson Strut suspension
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Rear Suspension,Rear twist beam
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Steering Type,Electric
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Steering Column,Tilt & Telescopic
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Turning Radius,5.4 m
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Front Brake Type,Ventilated Disc
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Rear Brake Type,Solid Disc
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Alloy Wheel Size Front,17 Inch
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Alloy Wheel Size Rear,17 Inch
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Length,4365 mm
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Width,1795 mm
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Height,1645 mm
TOYOTA,HYRYDER,Hyryder G Opt HYBRID,Boot Space,273 Litres
