company,model,variant,feature_name,feature_details
TOYOTA,HYRYDER,Hyryder G Opt,Engine Type,K15B
TOYOTA,HYRYDER,Hyryder G Opt,Displacement,1462 cc
TOYOTA,HYRYDER,Hyryder G Opt,Max Power,101.64bhp@6000rpm
TOYOTA,HYRYDER,Hyryder G Opt,Max Torque,136.8Nm@4400rpm
TOYOTA,HYRYDER,Hyryder G Opt,No. of Cylinders,4
TOYOTA,HYRYDER,Hyryder G Opt,Valves Per Cylinder,4
TOYOTA,HYRYDER,Hyryder G Opt,Transmission Type,Manual
TOYOTA,HYRYDER,Hyryder G Opt,Gearbox,5-Speed
TOYOTA,HYRYDER,Hyryder G Opt,Drive Type,FWD
TOYOTA,HYRYDER,Hyryder G Opt,Fuel Type,Petrol
TOYOTA,HYRYDER,Hyryder G Opt,Petrol Mileage ARAI,21.12 kmpl
TOYOTA,HYRYDER,Hyryder G Opt,Petrol Fuel Tank Capacity,45 Litres
TOYOTA,HYRYDER,Hyryder G Opt,Emission Norm Compliance,BS VI 2.0
TOYOTA,HYRYDER,Hyryder G Opt,Top Speed,180 kmph
TOYOTA,HYRYDER,Hyryder G Opt,Front Suspension,MacPherson Strut suspension
TOYOTA,HYRYDER,Hyryder G Opt,Rear Suspension,Rear twist beam
TOYOTA,HYRYDER,Hyryder G Opt,Steering Type,Electric
TOYOTA,HYRYDER,Hyryder G Opt,Steering Column,Tilt & Telescopic
TOYOTA,HYRYDER,Hyryder G Opt,Turning Radius,5.4 m
TOYOTA,HYRYDER,Hyryder G Opt,Front Brake Type,Ventilated Disc
TOYOTA,HYRYDER,Hyryder G Opt,Rear Brake Type,Solid Disc
TOYOTA,HYRYDER,Hyryder G Opt,Alloy Wheel Size Front,17 Inch
TOYOTA,HYRYDER,Hyryder G Opt,Alloy Wheel Size Rear,17 Inch
TOYOTA,HYRYDER,Hyryder G Opt,Length,4365 mm
TOYOTA,HYRYDER,Hyryder G Opt,Width,1795 mm
TOYOTA,HYRYDER,Hyryder G Opt,Height,1650 mm
TOYOTA,HYRYDER,Hyryder G Opt,Boot Space,373 Litres
TOYOTA,HYRYDER,Hyryder G Opt,Seating Capacity,5
TOYOTA,HYRYDER,Hyryder G Opt,Wheel Base,2600 mm
TOYOTA,HYRYDER,Hyryder G Opt,Kerb Weight,1145-1290 kg
TOYOTA,HYRYDER,Hyryder G Opt,Gross Weight,1645 kg
TOYOTA,HYRYDER,Hyryder G Opt,No. of Doors,5
TOYOTA,HYRYDER,Hyryder G Opt,Reported Boot Space,373 Litres
TOYOTA,HYRYDER,Hyryder G Opt,Power Steering,YES
TOYOTA,HYRYDER,Hyryder G Opt,Air Conditioner,YES
TOYOTA,HYRYDER,Hyryder G Opt,Heater,YES
TOYOTA,HYRYDER,Hyryder G Opt,Height Adjustable Driver Seat,YES
TOYOTA,HYRYDER,Hyryder G Opt,Ventilated Seats,YES
TOYOTA,HYRYDER,Hyryder G Opt,Automatic Climate Control,YES
TOYOTA,HYRYDER,Hyryder G Opt,Air Quality Control,YES
TOYOTA,HYRYDER,Hyryder G Opt,Accessory Power Outlet,YES
TOYOTA,HYRYDER,Hyryder G Opt,Trunk Light,YES
TOYOTA,HYRYDER,Hyryder G Opt,Vanity Mirror,YES
TOYOTA,HYRYDER,Hyryder G Opt,Rear Reading Lamp,YES
TOYOTA,HYRYDER,Hyryder G Opt,Adjustable Headrest,YES
TOYOTA,HYRYDER,Hyryder G Opt,Rear Seat Centre Arm Rest,YES
TOYOTA,HYRYDER,Hyryder G Opt,Height Adjustable Front Seat Belts,YES
TOYOTA,HYRYDER,Hyryder G Opt,Rear AC Vents,YES
TOYOTA,HYRYDER,Hyryder G Opt,Cruise Control,YES
TOYOTA,HYRYDER,Hyryder G Opt,Parking Sensors,Rear
TOYOTA,HYRYDER,Hyryder G Opt,Foldable Rear Seat,60:40 Split
TOYOTA,HYRYDER,Hyryder G Opt,KeyLess Entry,YES
TOYOTA,HYRYDER,Hyryder G Opt,Engine Start/Stop Button,YES
TOYOTA,HYRYDER,Hyryder G Opt,Paddle Shifters,NO
TOYOTA,HYRYDER,Hyryder G Opt,USB Charger,Front & Rear
