company,model,variant,feature_name,feature_details
TOYOTA,HYRYDER,Hyryder V AWD AT,Engine Type,K15B
TOYOTA,HYRYDER,Hyryder V AWD AT,Displacement,1462 cc
TOYOTA,HYRYDER,Hyryder V AWD AT,Max Power,101.64bhp@6000rpm
TOYOTA,HYRYDER,Hyryder V AWD AT,Max Torque,136.8Nm@4400rpm
TOYOTA,HYRYDER,Hyryder V AWD AT,No. of Cylinders,4
TOYOTA,HYRYDER,Hyryder V AWD AT,Valves Per Cylinder,4
TOYOTA,HYRYDER,Hyryder V AWD AT,Transmission Type,Automatic
TOYOTA,HYRYDER,Hyryder V AWD AT,Gearbox,5-Speed
TOYOTA,HYRYDER,Hyryder V AWD AT,Drive Type,AWD
TOYOTA,HYRYDER,Hyryder V AWD AT,Fuel Type,Petrol
TOYOTA,HYRYDER,Hyryder V AWD AT,Petrol Mileage ARAI,19.39 kmpl
TOYOTA,HYRYDER,Hyryder V AWD AT,Petrol Fuel Tank Capacity,45 Litres
TOYOTA,HYRYDER,Hyryder V AWD AT,Emission Norm Compliance,BS VI 2.0
TOYOTA,HYRYDER,Hyryder V AWD AT,Top Speed,180 kmph
TOYOTA,HYRYDER,Hyryder V AWD AT,Front Suspension,MacPherson Strut suspension
TOYOTA,HYRYDER,Hyryder V AWD AT,Rear Suspension,Rear twist beam
TOYOTA,HYRYDER,Hyryder V AWD AT,Steering Type,Electric
TOYOTA,HYRYDER,Hyryder V AWD AT,Steering Column,Tilt & Telescopic
TOYOTA,HYRYDER,Hyryder V AWD AT,Turning Radius,5.4 m
TOYOTA,HYRYDER,Hyryder V AWD AT,Front Brake Type,Ventilated Disc
TOYOTA,HYRYDER,Hyryder V AWD AT,Rear Brake Type,Solid Disc
TOYOTA,HYRYDER,Hyryder V AWD AT,Alloy Wheel Size Front,17 Inch
TOYOTA,HYRYDER,Hyryder V AWD AT,Alloy Wheel Size Rear,17 Inch
TOYOTA,HYRYDER,Hyryder V AWD AT,Length,4365 mm
TOYOTA,HYRYDER,Hyryder V AWD AT,Width,1795 mm
TOYOTA,HYRYDER,Hyryder V AWD AT,Height,1645 mm
TOYOTA,HYRYDER,Hyryder V AWD AT,Boot Space,373 Litres
TOYOTA,HYRYDER,Hyryder V AWD AT,Seating Capacity,5
TOYOTA,HYRYDER,Hyryder V AWD AT,Wheel Base,2600 mm
TOYOTA,HYRYDER,Hyryder V AWD AT,Kerb Weight,1255 kg
