company,model,variant,feature_name,feature_details
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Engine Type,K15C
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Displacement,1462 cc
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Max Power,86.63bhp@5500rpm
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Max Torque,121.5Nm@4200rpm
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,No. of Cylinders,4
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Valves Per Cylinder,4
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Transmission Type,Manual
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Gearbox,5-Speed
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Drive Type,FWD
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Fuel Type,CNG
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,CNG Mileage ARAI,26.6 km/kg
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,CNG Fuel Tank Capacity,55 Litres
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Emission Norm Compliance,BS VI 2.0
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Top Speed,180 kmph
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Front Suspension,MacPherson Strut suspension
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Rear Suspension,Rear twist beam
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Steering Type,Electric
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Steering Column,Tilt & Telescopic
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Turning Radius,5.4 m
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Front Brake Type,Ventilated Disc
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Rear Brake Type,Solid Disc
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Alloy Wheel Size Front,17 Inch
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Alloy Wheel Size Rear,17 Inch
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Length,4365 mm
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Width,1795 mm
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Height,1645 mm
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Boot Space,273 Litres
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Seating Capacity,5
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Wheel Base,2600 mm
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Kerb Weight,1245 kg
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Gross Weight,1705 kg
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,No. of Doors,5
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Reported Boot Space,373 Litres
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Power Steering,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Air Conditioner,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Heater,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Height Adjustable Driver Seat,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Ventilated Seats,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Automatic Climate Control,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Air Quality Control,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Accessory Power Outlet,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Trunk Light,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Vanity Mirror,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Rear Reading Lamp,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Adjustable Headrest,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Rear Seat Centre Arm Rest,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Height Adjustable Front Seat Belts,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Rear AC Vents,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Cruise Control,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Parking Sensors,Rear
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Foldable Rear Seat,60:40 Split
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,KeyLess Entry,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Engine Start/Stop Button,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Paddle Shifters,NO
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,USB Charger,Front & Rear
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Central Console Armrest,With Storage
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Tailgate Ajar Warning,YES
TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG,Gear Shift Indicator,NO
