company,model,variant,feature_name,feature_details
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Engine Type,K15B
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Displacement,1462 cc
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Max Power,101.64bhp@6000rpm
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Max Torque,136.8Nm@4400rpm
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,No. of Cylinders,4
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Valves Per Cylinder,4
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Transmission Type,Manual
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Gearbox,5-Speed
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Drive Type,FWD
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Fuel Type,Petrol
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Petrol Mileage ARAI,21.12 kmpl
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Petrol Fuel Tank Capacity,45 Litres
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Emission Norm Compliance,BS VI 2.0
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Top Speed,180 kmph
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Front Suspension,MacPherson Strut suspension
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Rear Suspension,Rear twist beam
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Steering Type,Electric
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Steering Column,Tilt & Telescopic
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Turning Radius,5.4 m
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Front Brake Type,Ventilated Disc
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Rear Brake Type,Solid Disc
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Length,4365 mm
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Width,1795 mm
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Height,1645 mm
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Boot Space,373 Litres
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Seating Capacity,5
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Wheel Base,2600 mm
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Kerb Weight,1155-1185 kg
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Gross Weight,1645 kg
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,No. of Doors,5
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Reported Boot Space,373 Litres
TOYOTA,HYRYDER,Urban Cruiser Hyryder S,Power Steering,YES
