,Ex-Showroom/ On-Road,Price,company,model,variant
0,Ex-Showroom Price,"Rs.9,14,890",TATA,NEXON,Nexon Smart Plus CNG
1,Bangalore,Rs.11.15 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
2,Mumbai,Rs.10.25 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
3,Pune,Rs.10.53 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
4,Hyderabad,Rs.10.91 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
5,Chennai,Rs.10.80 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
6,Ahmedabad,Rs.10.16 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
7,Lucknow,Rs.10.34 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
8,Jaipur,Rs.10.56 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
9,Patna,Rs.10.61 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
10,Chandigarh,Rs.10.52 Lakh*,TATA,NEXON,Nexon Smart Plus CNG
11,Ex-Showroom Price,"Rs.11,17,090",TATA,NEXON,Nexon Creative Diesel
12,Bangalore,Rs.14.03 Lakh*,TATA,NEXON,Nexon Creative Diesel
13,Mumbai,Rs.13.39 Lakh*,TATA,NEXON,Nexon Creative Diesel
14,Pune,Rs.13.59 Lakh*,TATA,NEXON,Nexon Creative Diesel
15,Hyderabad,Rs.13.82 Lakh*,TATA,NEXON,Nexon Creative Diesel
16,Chennai,Rs.13.83 Lakh*,TATA,NEXON,Nexon Creative Diesel
17,Ahmedabad,Rs.12.49 Lakh*,TATA,NEXON,Nexon Creative Diesel
18,Lucknow,Rs.12.93 Lakh*,TATA,NEXON,Nexon Creative Diesel
19,Jaipur,Rs.13.34 Lakh*,TATA,NEXON,Nexon Creative Diesel
20,Patna,Rs.13.04 Lakh*,TATA,NEXON,Nexon Creative Diesel
21,Chandigarh,Rs.12.93 Lakh*,TATA,NEXON,Nexon Creative Diesel
22,Ex-Showroom Price,"Rs.10,90,297",mahindra,xuv300,XUV300 W8 Diesel BSVI
23,Ex-Showroom Price,"Rs.9,42,290",TATA,NEXON,Nexon Smart Plus S CNG
24,Bangalore,Rs.11.47 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
25,Mumbai,Rs.10.56 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
26,Pune,Rs.10.84 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
27,Hyderabad,Rs.11.23 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
28,Chennai,Rs.11.12 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
29,Ahmedabad,Rs.10.46 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
30,Lucknow,Rs.10.64 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
31,Jaipur,Rs.10.87 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
32,Patna,Rs.10.92 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
33,Chandigarh,Rs.10.83 Lakh*,TATA,NEXON,Nexon Smart Plus S CNG
34,Ex-Showroom Price,"Rs.17,91,600",MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
35,Bangalore,Rs.21.93 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
36,Mumbai,Rs.20.93 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
37,Pune,Rs.20.91 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
38,Hyderabad,Rs.22.05 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
39,Chennai,Rs.21.91 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
40,Ahmedabad,Rs.19.75 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
41,Lucknow,Rs.20.66 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
42,Jaipur,Rs.20.90 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
43,Patna,Rs.21.19 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
44,Chandigarh,Rs.20.01 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Zeta Plus Hybrid CVT
45,Ex-Showroom Price,"Rs.11,24,669",KIA,SONET,Sonet HTX Diesel
46,Bangalore,Rs.13.81 Lakh*,KIA,SONET,Sonet HTX Diesel
47,Mumbai,Rs.13.54 Lakh*,KIA,SONET,Sonet HTX Diesel
48,Pune,Rs.13.50 Lakh*,KIA,SONET,Sonet HTX Diesel
49,Hyderabad,Rs.13.87 Lakh*,KIA,SONET,Sonet HTX Diesel
50,Chennai,Rs.13.93 Lakh*,KIA,SONET,Sonet HTX Diesel
51,Ahmedabad,Rs.12.71 Lakh*,KIA,SONET,Sonet HTX Diesel
52,Lucknow,Rs.13.01 Lakh*,KIA,SONET,Sonet HTX Diesel
53,Jaipur,Rs.13.31 Lakh*,KIA,SONET,Sonet HTX Diesel
54,Patna,Rs.13.17 Lakh*,KIA,SONET,Sonet HTX Diesel
55,Chandigarh,Rs.13.01 Lakh*,KIA,SONET,Sonet HTX Diesel
56,Ex-Showroom Price,"Rs.9,69,000",MAHINDRA,BOLERO,Bolero B8
57,Bangalore,Rs.11.91 Lakh*,MAHINDRA,BOLERO,Bolero B8
58,Mumbai,Rs.11.43 Lakh*,MAHINDRA,BOLERO,Bolero B8
59,Pune,Rs.11.43 Lakh*,MAHINDRA,BOLERO,Bolero B8
60,Hyderabad,Rs.11.53 Lakh*,MAHINDRA,BOLERO,Bolero B8
61,Chennai,Rs.11.43 Lakh*,MAHINDRA,BOLERO,Bolero B8
62,Ahmedabad,Rs.10.76 Lakh*,MAHINDRA,BOLERO,Bolero B8
63,Lucknow,Rs.10.94 Lakh*,MAHINDRA,BOLERO,Bolero B8
64,Jaipur,Rs.11.79 Lakh*,MAHINDRA,BOLERO,Bolero B8
65,Patna,Rs.11.23 Lakh*,MAHINDRA,BOLERO,Bolero B8
66,Chandigarh,Rs.11.13 Lakh*,MAHINDRA,BOLERO,Bolero B8
67,Ex-Showroom Price,"Rs.17,00,560",HYUNDAI,CRETA,Creta SX (O) DT
68,Bangalore,Rs.20.82 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
69,Mumbai,Rs.20.07 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
70,Pune,Rs.16.32 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
71,Hyderabad,Rs.21.11 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
72,Chennai,Rs.20.99 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
73,Ahmedabad,Rs.18.95 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
74,Lucknow,Rs.19.61 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
75,Jaipur,Rs.20.09 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
76,Patna,Rs.20.12 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
77,Chandigarh,Rs.18.91 Lakh*,HYUNDAI,CRETA,Creta SX (O) DT
78,Ex-Showroom Price,"Rs.11,25,190",TATA,NEXON,Nexon Creative Plus PS DT
79,Bangalore,Rs.14.13 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
80,Mumbai,Rs.13.26 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
81,Pune,Rs.13.46 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
82,Hyderabad,Rs.13.92 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
83,Chennai,Rs.13.93 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
84,Ahmedabad,Rs.12.58 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
85,Lucknow,Rs.13.02 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
86,Jaipur,Rs.13.06 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
87,Patna,Rs.13.13 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
88,Chandigarh,Rs.13.02 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT
89,Ex-Showroom Price,"Rs.17,22,500",HYUNDAI,CRETA,Creta SX Tech Diesel
90,Bangalore,Rs.21.09 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
91,Mumbai,Rs.20.57 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
92,Pune,Rs.20.57 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
93,Hyderabad,Rs.21.09 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
94,Chennai,Rs.21.26 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
95,Ahmedabad,Rs.19.19 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
96,Lucknow,Rs.19.86 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
97,Jaipur,Rs.20.49 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
98,Patna,Rs.20.38 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
99,Chandigarh,Rs.19.16 Lakh*,HYUNDAI,CRETA,Creta SX Tech Diesel
100,Ex-Showroom Price,"Rs.11,45,298",mahindra,xuv300,XUV300 W8 AMT Diesel BSVI
101,Ex-Showroom Price,"Rs.8,41,501",mahindra,xuv300,XUV300 W4 BSVI
102,Ex-Showroom Price,"Rs.15,49,000",KIA,SELTOS,Seltos HTK Opt iVT
103,Bangalore,Rs.19.20 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
104,Mumbai,Rs.18.15 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
105,Pune,Rs.18.20 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
106,Hyderabad,Rs.18.98 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
107,Chennai,Rs.19.13 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
108,Ahmedabad,Rs.17.27 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
109,Lucknow,Rs.17.88 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
110,Jaipur,Rs.18.09 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
111,Patna,Rs.18.34 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
112,Chandigarh,Rs.18.19 Lakh*,KIA,SELTOS,Seltos HTK Opt iVT
113,Ex-Showroom Price,"Rs.15,92,944",MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
114,Bangalore,Rs.19.51 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
115,Mumbai,Rs.18.63 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
116,Pune,Rs.18.57 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
117,Hyderabad,Rs.19.62 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
118,Chennai,Rs.19.42 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
119,Ahmedabad,Rs.17.59 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
120,Lucknow,Rs.18.38 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
121,Jaipur,Rs.18.60 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
122,Patna,Rs.18.86 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
123,Chandigarh,Rs.17.81 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt DT
124,Ex-Showroom Price,"Rs.13,65,214",KIA,SONET,
125,Bangalore,Rs.16.67 Lakh*,KIA,SONET,
126,Mumbai,Rs.16.04 Lakh*,KIA,SONET,
127,Pune,Rs.16 Lakh*,KIA,SONET,
128,Hyderabad,Rs.16.74 Lakh*,KIA,SONET,
129,Chennai,Rs.16.80 Lakh*,KIA,SONET,
130,Ahmedabad,Rs.15.32 Lakh*,KIA,SONET,
131,Lucknow,Rs.15.70 Lakh*,KIA,SONET,
132,Jaipur,Rs.15.58 Lakh*,KIA,SONET,
133,Patna,Rs.15.87 Lakh*,KIA,SONET,
134,Chandigarh,Rs.15.70 Lakh*,KIA,SONET,
135,Ex-Showroom Price,"Rs.8,78,290",TATA,NEXON,Nexon Smart Plus AMT
