company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W4 BSIV,Engine Type,1.2 Petrol Engine
mahindra,xuv300,XUV300 W4 BSIV,Displacement,1197 cc
mahindra,xuv300,XUV300 W4 BSIV,Max Power,110bhp@5000rpm
mahindra,xuv300,XUV300 W4 BSIV,Max Torque,200Nm@2000-3500rpm
mahindra,xuv300,XUV300 W4 BSIV,No. of Cylinders,3
mahindra,xuv300,XUV300 W4 BSIV,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W4 BSIV,Valve Configuration,DOHC
mahindra,xuv300,XUV300 W4 BSIV,Fuel Supply System,MPFI
mahindra,xuv300,XUV300 W4 BSIV,Turbo Charger,YES
mahindra,xuv300,XUV300 W4 BSIV,Transmission Type,Manual
mahindra,xuv300,XUV300 W4 BSIV,Gearbox,6 Speed
mahindra,xuv300,XUV300 W4 BSIV,Drive Type,FWD
mahindra,xuv300,XUV300 W4 BSIV,Fuel Type,Petrol
mahindra,xuv300,XUV300 W4 BSIV,Petrol Mileage ARAI,17 kmpl
mahindra,xuv300,XUV300 W4 BSIV,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W4 BSIV,Emission Norm Compliance,BS IV
mahindra,xuv300,XUV300 W4 BSIV,Top Speed,175 kmph
mahindra,xuv300,XUV300 W4 BSIV,Front Suspension,MacPherson Strut with anti-roll bar
mahindra,xuv300,XUV300 W4 BSIV,Rear Suspension,Twist beam suspension with Coil Spring
mahindra,xuv300,XUV300 W4 BSIV,Steering Type,Power
mahindra,xuv300,XUV300 W4 BSIV,Steering Column,Collapsible
mahindra,xuv300,XUV300 W4 BSIV,Turning Radius,5.3 m
mahindra,xuv300,XUV300 W4 BSIV,Front Brake Type,Disc
mahindra,xuv300,XUV300 W4 BSIV,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W4 BSIV,Length,3995 mm
mahindra,xuv300,XUV300 W4 BSIV,Width,1821 mm
mahindra,xuv300,XUV300 W4 BSIV,Height,1627 mm
mahindra,xuv300,XUV300 W4 BSIV,Seating Capacity,5
mahindra,xuv300,XUV300 W4 BSIV,Ground Clearance Unladen,180 mm
mahindra,xuv300,XUV300 W4 BSIV,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W4 BSIV,Kerb Weight,1245 kg
mahindra,xuv300,XUV300 W4 BSIV,No. of Doors,5
mahindra,xuv300,XUV300 W4 BSIV,Power Steering,YES
mahindra,xuv300,XUV300 W4 BSIV,Air Conditioner,YES
mahindra,xuv300,XUV300 W4 BSIV,Heater,YES
mahindra,xuv300,XUV300 W4 BSIV,Adjustable Steering,YES
mahindra,xuv300,XUV300 W4 BSIV,Height Adjustable Driver Seat,NO
mahindra,xuv300,XUV300 W4 BSIV,Ventilated Seats,NO
mahindra,xuv300,XUV300 W4 BSIV,Electric Adjustable Seats,NO
mahindra,xuv300,XUV300 W4 BSIV,Automatic Climate Control,NO
mahindra,xuv300,XUV300 W4 BSIV,Air Quality Control,NO
mahindra,xuv300,XUV300 W4 BSIV,Remote Trunk Opener,YES
mahindra,xuv300,XUV300 W4 BSIV,Remote Fuel Lid Opener,NO
mahindra,xuv300,XUV300 W4 BSIV,Low Fuel Warning Light,YES
mahindra,xuv300,XUV300 W4 BSIV,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W4 BSIV,Trunk Light,NO
mahindra,xuv300,XUV300 W4 BSIV,Vanity Mirror,NO
mahindra,xuv300,XUV300 W4 BSIV,Rear Reading Lamp,YES
mahindra,xuv300,XUV300 W4 BSIV,Rear Seat Headrest,YES
mahindra,xuv300,XUV300 W4 BSIV,Rear Seat Centre Arm Rest,NO
mahindra,xuv300,XUV300 W4 BSIV,Height Adjustable Front Seat Belts,YES
mahindra,xuv300,XUV300 W4 BSIV,Rear AC Vents,NO
mahindra,xuv300,XUV300 W4 BSIV,Lumbar Support,NO
mahindra,xuv300,XUV300 W4 BSIV,Cruise Control,NO
mahindra,xuv300,XUV300 W4 BSIV,Parking Sensors,Rear
mahindra,xuv300,XUV300 W4 BSIV,Navigation System,NO
mahindra,xuv300,XUV300 W4 BSIV,Foldable Rear Seat,60:40 Split
mahindra,xuv300,XUV300 W4 BSIV,Smart Access Card Entry,NO
mahindra,xuv300,XUV300 W4 BSIV,KeyLess Entry,NO
mahindra,xuv300,XUV300 W4 BSIV,Engine Start/Stop Button,NO
mahindra,xuv300,XUV300 W4 BSIV,Cooled Glovebox,NO
mahindra,xuv300,XUV300 W4 BSIV,Voice Commands,NO
mahindra,xuv300,XUV300 W4 BSIV,Paddle Shifters,NO
mahindra,xuv300,XUV300 W4 BSIV,USB Charger,Front
mahindra,xuv300,XUV300 W4 BSIV,Central Console Armrest,With Storage
mahindra,xuv300,XUV300 W4 BSIV,Tailgate Ajar Warning,NO
mahindra,xuv300,XUV300 W4 BSIV,Gear Shift Indicator,NO
mahindra,xuv300,XUV300 W4 BSIV,Rear Curtain,NO
mahindra,xuv300,XUV300 W4 BSIV,Luggage Hook & Net,NO
mahindra,xuv300,XUV300 W4 BSIV,Battery Saver,NO
mahindra,xuv300,XUV300 W4 BSIV,Lane Change Indicator,YES
mahindra,xuv300,XUV300 W4 BSIV,Drive Modes,0
mahindra,xuv300,XUV300 W4 BSIV,Automatic Headlamps,NO
mahindra,xuv300,XUV300 W4 BSIV,Follow Me Home Headlamps,NO
mahindra,xuv300,XUV300 W4 BSIV,Additional Features,Extended Power Window Operation
mahindra,xuv300,XUV300 W4 BSIV,Tachometer,YES
mahindra,xuv300,XUV300 W4 BSIV,Electronic Multi-Tripmeter,YES
mahindra,xuv300,XUV300 W4 BSIV,Leather Seats,NO
mahindra,xuv300,XUV300 W4 BSIV,Fabric Upholstery,YES
mahindra,xuv300,XUV300 W4 BSIV,Leather Wrapped Steering Wheel,NO
mahindra,xuv300,XUV300 W4 BSIV,Glove Box,YES
mahindra,xuv300,XUV300 W4 BSIV,Digital Clock,YES
mahindra,xuv300,XUV300 W4 BSIV,Outside Temperature Display,NO
mahindra,xuv300,XUV300 W4 BSIV,Cigarette Lighter,NO
mahindra,xuv300,XUV300 W4 BSIV,Digital Odometer,YES
mahindra,xuv300,XUV300 W4 BSIV,Driving Experience Control Eco,NO
mahindra,xuv300,XUV300 W4 BSIV,Folding Table in The Rear,NO
mahindra,xuv300,XUV300 W4 BSIV,Dual Tone Dashboard,YES
mahindra,xuv300,XUV300 W4 BSIV,Additional Features,"Inside Door Handles Black
Front and Rear Skid Plates Black
black fabric"
mahindra,xuv300,XUV300 W4 BSIV,Adjustable Headlamps,YES
mahindra,xuv300,XUV300 W4 BSIV,Fog Lights - Front,NO
mahindra,xuv300,XUV300 W4 BSIV,Fog Lights - Rear,NO
mahindra,xuv300,XUV300 W4 BSIV,Rain Sensing Wiper,NO
mahindra,xuv300,XUV300 W4 BSIV,Rear Window Wiper,NO
mahindra,xuv300,XUV300 W4 BSIV,Rear Window Washer,NO
mahindra,xuv300,XUV300 W4 BSIV,Rear Window Defogger,NO
mahindra,xuv300,XUV300 W4 BSIV,Wheel Covers,NO
mahindra,xuv300,XUV300 W4 BSIV,Alloy Wheels,NO
mahindra,xuv300,XUV300 W4 BSIV,Power Antenna,NO
mahindra,xuv300,XUV300 W4 BSIV,Tinted Glass,NO
mahindra,xuv300,XUV300 W4 BSIV,Rear Spoiler,NO
mahindra,xuv300,XUV300 W4 BSIV,Roof Carrier,NO
mahindra,xuv300,XUV300 W4 BSIV,Side Stepper,NO
mahindra,xuv300,XUV300 W4 BSIV,Outside Rear View Mirror Turn Indicators,NO
mahindra,xuv300,XUV300 W4 BSIV,Integrated Antenna,YES
mahindra,xuv300,XUV300 W4 BSIV,Chrome Grille,NO
mahindra,xuv300,XUV300 W4 BSIV,Chrome Garnish,NO
mahindra,xuv300,XUV300 W4 BSIV,Smoke Headlamps,NO
mahindra,xuv300,XUV300 W4 BSIV,Halogen Headlamps,NO
mahindra,xuv300,XUV300 W4 BSIV,Roof Rails,NO
mahindra,xuv300,XUV300 W4 BSIV,Automatic Headlamps,NO
mahindra,xuv300,XUV300 W4 BSIV,Trunk Opener,Remote
mahindra,xuv300,XUV300 W4 BSIV,Sun Roof,NO
mahindra,xuv300,XUV300 W4 BSIV,Tyre Size,205/65 R16
mahindra,xuv300,XUV300 W4 BSIV,Tyre Type,"Tubeless,Radial"
mahindra,xuv300,XUV300 W4 BSIV,Wheel Size,16 Inch
mahindra,xuv300,XUV300 W4 BSIV,Additional Features,"Side Body Cladding
Wheel Arch Cladding
High Mount LED Stop Lamp
Upper Grille Silver Top Strip
Lower Grille MIC Black
Body Coloured Door Handles and ORVMs
A and C pillar Glossy Garnish
Sill and Wheel Arch Cladding"
mahindra,xuv300,XUV300 W4 BSIV,Anti-lock Braking System (ABS),YES
mahindra,xuv300,XUV300 W4 BSIV,Brake Assist,YES
mahindra,xuv300,XUV300 W4 BSIV,Central Locking,YES
mahindra,xuv300,XUV300 W4 BSIV,Power Door Locks,NO
mahindra,xuv300,XUV300 W4 BSIV,Child Safety Locks,YES
mahindra,xuv300,XUV300 W4 BSIV,Anti-Theft Alarm,NO
mahindra,xuv300,XUV300 W4 BSIV,No. of Airbags,2
mahindra,xuv300,XUV300 W4 BSIV,Driver Airbag,YES
mahindra,xuv300,XUV300 W4 BSIV,Passenger Airbag,YES
mahindra,xuv300,XUV300 W4 BSIV,Side Airbag,NO
mahindra,xuv300,XUV300 W4 BSIV,Side Airbag-Rear,NO
mahindra,xuv300,XUV300 W4 BSIV,Day & Night Rear View Mirror,NO
mahindra,xuv300,XUV300 W4 BSIV,Passenger Side Rear View Mirror,YES
mahindra,xuv300,XUV300 W4 BSIV,Xenon Headlamps,NO
mahindra,xuv300,XUV300 W4 BSIV,Rear Seat Belts,YES
mahindra,xuv300,XUV300 W4 BSIV,Seat Belt Warning,YES
mahindra,xuv300,XUV300 W4 BSIV,Door Ajar Warning,NO
mahindra,xuv300,XUV300 W4 BSIV,Side Impact Beams,YES
mahindra,xuv300,XUV300 W4 BSIV,Front Impact Beams,YES
mahindra,xuv300,XUV300 W4 BSIV,Traction Control,YES
mahindra,xuv300,XUV300 W4 BSIV,Adjustable Seats,YES
mahindra,xuv300,XUV300 W4 BSIV,Tyre Pressure Monitoring System (TPMS),NO
mahindra,xuv300,XUV300 W4 BSIV,Vehicle Stability Control System,NO
mahindra,xuv300,XUV300 W4 BSIV,Engine Immobilizer,YES
mahindra,xuv300,XUV300 W4 BSIV,Crash Sensor,YES
mahindra,xuv300,XUV300 W4 BSIV,Centrally Mounted Fuel Tank,YES
mahindra,xuv300,XUV300 W4 BSIV,Engine Check Warning,YES
mahindra,xuv300,XUV300 W4 BSIV,Clutch Lock,NO
mahindra,xuv300,XUV300 W4 BSIV,EBD,YES
mahindra,xuv300,XUV300 W4 BSIV,Electronic Stability Control (ESC),YES
mahindra,xuv300,XUV300 W4 BSIV,Rear Camera,NO
mahindra,xuv300,XUV300 W4 BSIV,Anti-Theft Device,YES
mahindra,xuv300,XUV300 W4 BSIV,Speed Sensing Auto Door Lock,YES
mahindra,xuv300,XUV300 W4 BSIV,Knee Airbags,NO
mahindra,xuv300,XUV300 W4 BSIV,ISOFIX Child Seat Mounts,YES
mahindra,xuv300,XUV300 W4 BSIV,Heads-Up Display (HUD),NO
mahindra,xuv300,XUV300 W4 BSIV,Pretensioners & Force Limiter Seatbelts,YES
mahindra,xuv300,XUV300 W4 BSIV,Hill Descent Control,NO
mahindra,xuv300,XUV300 W4 BSIV,Hill Assist,NO
mahindra,xuv300,XUV300 W4 BSIV,Impact Sensing Auto Door Unlock,YES
mahindra,xuv300,XUV300 W4 BSIV,360 View Camera,NO
mahindra,xuv300,XUV300 W4 BSIV,Radio,NO
mahindra,xuv300,XUV300 W4 BSIV,Audio System Remote Control,NO
mahindra,xuv300,XUV300 W4 BSIV,Integrated 2DIN Audio,NO
mahindra,xuv300,XUV300 W4 BSIV,USB & Auxiliary input,NO
mahindra,xuv300,XUV300 W4 BSIV,Bluetooth Connectivity,NO
mahindra,xuv300,XUV300 W4 BSIV,Touchscreen,YES
mahindra,xuv300,XUV300 W4 BSIV,Internal Storage,NO
mahindra,xuv300,XUV300 W4 BSIV,Rear Entertainment System,NO
