company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W4 Diesel BSIV,Engine Type,1.5 Diesel Engine
mahindra,xuv300,XUV300 W4 Diesel BSIV,Displacement,1497 cc
mahindra,xuv300,XUV300 W4 Diesel BSIV,Max Power,115bhp@3750rpm
mahindra,xuv300,XUV300 W4 Diesel BSIV,Max Torque,300Nm@1500-2500rpm
mahindra,xuv300,XUV300 W4 Diesel BSIV,No. of Cylinders,4
mahindra,xuv300,XUV300 W4 Diesel BSIV,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W4 Diesel BSIV,Valve Configuration,DOHC
mahindra,xuv300,XUV300 W4 Diesel BSIV,Fuel Supply System,CRDi
mahindra,xuv300,XUV300 W4 Diesel BSIV,Turbo Charger,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Transmission Type,Manual
mahindra,xuv300,XUV300 W4 Diesel BSIV,Gearbox,6 Speed
mahindra,xuv300,XUV300 W4 Diesel BSIV,Drive Type,FWD
mahindra,xuv300,XUV300 W4 Diesel BSIV,Fuel Type,Diesel
mahindra,xuv300,XUV300 W4 Diesel BSIV,Diesel Mileage ARAI,20 kmpl
mahindra,xuv300,XUV300 W4 Diesel BSIV,Diesel Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W4 Diesel BSIV,Emission Norm Compliance,BS IV
mahindra,xuv300,XUV300 W4 Diesel BSIV,Top Speed,175 kmph
mahindra,xuv300,XUV300 W4 Diesel BSIV,Front Suspension,MacPherson Strut with anti-roll bar
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear Suspension,Twist beam suspension with Coil Spring
mahindra,xuv300,XUV300 W4 Diesel BSIV,Steering Type,Power
mahindra,xuv300,XUV300 W4 Diesel BSIV,Steering Column,Collapsible
mahindra,xuv300,XUV300 W4 Diesel BSIV,Turning Radius,5.3 m
mahindra,xuv300,XUV300 W4 Diesel BSIV,Front Brake Type,Disc
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W4 Diesel BSIV,Length,3995 mm
mahindra,xuv300,XUV300 W4 Diesel BSIV,Width,1821 mm
mahindra,xuv300,XUV300 W4 Diesel BSIV,Height,1627 mm
mahindra,xuv300,XUV300 W4 Diesel BSIV,Seating Capacity,5
mahindra,xuv300,XUV300 W4 Diesel BSIV,Ground Clearance Unladen,180 mm
mahindra,xuv300,XUV300 W4 Diesel BSIV,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W4 Diesel BSIV,Kerb Weight,1275 kg
mahindra,xuv300,XUV300 W4 Diesel BSIV,No. of Doors,5
mahindra,xuv300,XUV300 W4 Diesel BSIV,Power Steering,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Power Boot,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Air Conditioner,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Heater,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Adjustable Steering,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Height Adjustable Driver Seat,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Ventilated Seats,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Electric Adjustable Seats,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Automatic Climate Control,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Air Quality Control,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Remote Climate Control (A/C),NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Remote Trunk Opener,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Remote Fuel Lid Opener,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Low Fuel Warning Light,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Trunk Light,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Vanity Mirror,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear Reading Lamp,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear Seat Headrest,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Adjustable Headrest,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear Seat Centre Arm Rest,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Height Adjustable Front Seat Belts,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear AC Vents,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Lumbar Support,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Active noise cancellation,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Cruise Control,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Parking Sensors,Rear
mahindra,xuv300,XUV300 W4 Diesel BSIV,Navigation System,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Find My Car location,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Real-Time Vehicle Tracking,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Foldable Rear Seat,60:40 Split
mahindra,xuv300,XUV300 W4 Diesel BSIV,Smart Access Card Entry,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Smart Key Band,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,KeyLess Entry,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Engine Start/Stop Button,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Cooled Glovebox,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Voice Commands,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Paddle Shifters,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,USB Charger,Front
mahindra,xuv300,XUV300 W4 Diesel BSIV,Central Console Armrest,With Storage
mahindra,xuv300,XUV300 W4 Diesel BSIV,Tailgate Ajar Warning,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Hands-Free Tailgate,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Gear Shift Indicator,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear Curtain,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Luggage Hook & Net,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Battery Saver,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Lane Change Indicator,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Drive Modes,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Automatic Headlamps,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Follow Me Home Headlamps,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Tachometer,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Electronic Multi-Tripmeter,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Leather Seats,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Fabric Upholstery,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Leather Wrapped Steering Wheel,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Glove Box,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Digital Clock,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Outside Temperature Display,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Cigarette Lighter,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Digital Odometer,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Driving Experience Control Eco,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Folding Table in The Rear,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Dual Tone Dashboard,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Additional Features,"Inside Door Handles Black
Front and Rear Skid Plates Black
black fabric"
mahindra,xuv300,XUV300 W4 Diesel BSIV,Adjustable Headlamps,YES
mahindra,xuv300,XUV300 W4 Diesel BSIV,Fog Lights - Front,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Fog Lights - Rear,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rain Sensing Wiper,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear Window Wiper,NO
mahindra,xuv300,XUV300 W4 Diesel BSIV,Rear Window Washer,NO
