company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W4 Turbo,Engine Type,TGDi
mahindra,xuv300,XUV300 W4 Turbo,Displacement,1197 cc
mahindra,xuv300,XUV300 W4 Turbo,Max Power,128.73bhp@5000rpm
mahindra,xuv300,XUV300 W4 Turbo,Max Torque,230Nm@1500-3750rpm
mahindra,xuv300,XUV300 W4 Turbo,No. of Cylinders,3
mahindra,xuv300,XUV300 W4 Turbo,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W4 Turbo,Fuel Supply System,GDi
mahindra,xuv300,XUV300 W4 Turbo,Turbo Charger,YES
mahindra,xuv300,XUV300 W4 Turbo,Transmission Type,Manual
mahindra,xuv300,XUV300 W4 Turbo,Gearbox,6-Speed
mahindra,xuv300,XUV300 W4 Turbo,Drive Type,FWD
mahindra,xuv300,XUV300 W4 Turbo,Fuel Type,Petrol
mahindra,xuv300,XUV300 W4 Turbo,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W4 Turbo,Emission Norm Compliance,BS VI 2.0
mahindra,xuv300,XUV300 W4 Turbo,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W4 Turbo,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W4 Turbo,Steering Column,Tilt
mahindra,xuv300,XUV300 W4 Turbo,Turning Radius,5.3
mahindra,xuv300,XUV300 W4 Turbo,Front Brake Type,Disc
mahindra,xuv300,XUV300 W4 Turbo,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W4 Turbo,Length,3995 mm
mahindra,xuv300,XUV300 W4 Turbo,Width,1821 mm
mahindra,xuv300,XUV300 W4 Turbo,Height,1627 mm
mahindra,xuv300,XUV300 W4 Turbo,Seating Capacity,5
mahindra,xuv300,XUV300 W4 Turbo,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W4 Turbo,No. of Doors,5
mahindra,xuv300,XUV300 W4 Turbo,Power Steering,YES
mahindra,xuv300,XUV300 W4 Turbo,Air Conditioner,YES
mahindra,xuv300,XUV300 W4 Turbo,Heater,YES
mahindra,xuv300,XUV300 W4 Turbo,Adjustable Steering,YES
mahindra,xuv300,XUV300 W4 Turbo,Height Adjustable Driver Seat,NO
mahindra,xuv300,XUV300 W4 Turbo,Automatic Climate Control,NO
mahindra,xuv300,XUV300 W4 Turbo,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W4 Turbo,Vanity Mirror,YES
mahindra,xuv300,XUV300 W4 Turbo,Rear Reading Lamp,YES
mahindra,xuv300,XUV300 W4 Turbo,Adjustable Headrest,NO
mahindra,xuv300,XUV300 W4 Turbo,Rear Seat Centre Arm Rest,NO
mahindra,xuv300,XUV300 W4 Turbo,Height Adjustable Front Seat Belts,YES
mahindra,xuv300,XUV300 W4 Turbo,Cruise Control,NO
mahindra,xuv300,XUV300 W4 Turbo,Parking Sensors,Rear
mahindra,xuv300,XUV300 W4 Turbo,Foldable Rear Seat,Bench Folding
mahindra,xuv300,XUV300 W4 Turbo,KeyLess Entry,NO
mahindra,xuv300,XUV300 W4 Turbo,Engine Start/Stop Button,NO
mahindra,xuv300,XUV300 W4 Turbo,Voice Commands,NO
mahindra,xuv300,XUV300 W4 Turbo,USB Charger,NO
mahindra,xuv300,XUV300 W4 Turbo,Central Console Armrest,NO
mahindra,xuv300,XUV300 W4 Turbo,Lane Change Indicator,YES
mahindra,xuv300,XUV300 W4 Turbo,Glove Box light,NO
mahindra,xuv300,XUV300 W4 Turbo,Automatic Headlamps,NO
mahindra,xuv300,XUV300 W4 Turbo,Follow Me Home Headlamps,NO
mahindra,xuv300,XUV300 W4 Turbo,Additional Features,"Electric Sunroof with Anti-pinch, Electrically-operated HVAC, Smart Steering System, Tyre-position Display"
mahindra,xuv300,XUV300 W4 Turbo,Tachometer,YES
mahindra,xuv300,XUV300 W4 Turbo,Leather Wrapped Steering Wheel,NO
mahindra,xuv300,XUV300 W4 Turbo,Leather wrap gear-shift selector,NO
mahindra,xuv300,XUV300 W4 Turbo,Glove Box,YES
mahindra,xuv300,XUV300 W4 Turbo,Dual Tone Dashboard,YES
mahindra,xuv300,XUV300 W4 Turbo,Additional Features,"Sunglass Holder, Micro Hybrid Technology, Extended Power Window Operation"
mahindra,xuv300,XUV300 W4 Turbo,Digital Cluster Size,NA
mahindra,xuv300,XUV300 W4 Turbo,Upholstery,Fabric
mahindra,xuv300,XUV300 W4 Turbo,Rain Sensing Wiper,NO
mahindra,xuv300,XUV300 W4 Turbo,Rear Window Wiper,NO
mahindra,xuv300,XUV300 W4 Turbo,Rear Window Washer,NO
mahindra,xuv300,XUV300 W4 Turbo,Rear Window Defogger,NO
mahindra,xuv300,XUV300 W4 Turbo,Wheel Covers,NO
mahindra,xuv300,XUV300 W4 Turbo,Alloy Wheels,NO
mahindra,xuv300,XUV300 W4 Turbo,Rear Spoiler,NO
mahindra,xuv300,XUV300 W4 Turbo,Outside Rear View Mirror Turn Indicators,NO
mahindra,xuv300,XUV300 W4 Turbo,Integrated Antenna,NO
mahindra,xuv300,XUV300 W4 Turbo,Chrome Grille,NO
mahindra,xuv300,XUV300 W4 Turbo,Projector Headlamps,NO
mahindra,xuv300,XUV300 W4 Turbo,Halogen Headlamps,YES
mahindra,xuv300,XUV300 W4 Turbo,Roof Rails,YES
mahindra,xuv300,XUV300 W4 Turbo,Automatic Headlamps,NO
mahindra,xuv300,XUV300 W4 Turbo,Fog Lights,NO
mahindra,xuv300,XUV300 W4 Turbo,Sunroof,Single Pane
mahindra,xuv300,XUV300 W4 Turbo,Boot Opening,Electronic
mahindra,xuv300,XUV300 W4 Turbo,Tyre Size,205/65 R16
