company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W6 AMT,Engine Type,TCMPFi
mahindra,xuv300,XUV300 W6 AMT,Displacement,1197 cc
mahindra,xuv300,XUV300 W6 AMT,Max Power,108.62bhp@5000rpm
mahindra,xuv300,XUV300 W6 AMT,Max Torque,200Nm@1500-3500rpm
mahindra,xuv300,XUV300 W6 AMT,No. of Cylinders,3
mahindra,xuv300,XUV300 W6 AMT,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W6 AMT,Fuel Supply System,MPFi
mahindra,xuv300,XUV300 W6 AMT,Turbo Charger,YES
mahindra,xuv300,XUV300 W6 AMT,Transmission Type,Automatic
mahindra,xuv300,XUV300 W6 AMT,Gearbox,6-Speed
mahindra,xuv300,XUV300 W6 AMT,Drive Type,FWD
mahindra,xuv300,XUV300 W6 AMT,Fuel Type,Petrol
mahindra,xuv300,XUV300 W6 AMT,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W6 AMT,Emission Norm Compliance,BS VI 2.0
mahindra,xuv300,XUV300 W6 AMT,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W6 AMT,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W6 AMT,Steering Column,Tilt
mahindra,xuv300,XUV300 W6 AMT,Turning Radius,5.3
mahindra,xuv300,XUV300 W6 AMT,Front Brake Type,Disc
mahindra,xuv300,XUV300 W6 AMT,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W6 AMT,Length,3995 mm
mahindra,xuv300,XUV300 W6 AMT,Width,1821 mm
mahindra,xuv300,XUV300 W6 AMT,Height,1627 mm
mahindra,xuv300,XUV300 W6 AMT,Seating Capacity,5
mahindra,xuv300,XUV300 W6 AMT,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W6 AMT,No. of Doors,5
mahindra,xuv300,XUV300 W6 AMT,Power Steering,YES
mahindra,xuv300,XUV300 W6 AMT,Air Conditioner,YES
mahindra,xuv300,XUV300 W6 AMT,Heater,YES
mahindra,xuv300,XUV300 W6 AMT,Adjustable Steering,YES
mahindra,xuv300,XUV300 W6 AMT,Height Adjustable Driver Seat,NO
mahindra,xuv300,XUV300 W6 AMT,Automatic Climate Control,NO
mahindra,xuv300,XUV300 W6 AMT,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W6 AMT,Vanity Mirror,YES
mahindra,xuv300,XUV300 W6 AMT,Rear Reading Lamp,YES
mahindra,xuv300,XUV300 W6 AMT,Adjustable Headrest,YES
mahindra,xuv300,XUV300 W6 AMT,Rear Seat Centre Arm Rest,NO
mahindra,xuv300,XUV300 W6 AMT,Height Adjustable Front Seat Belts,YES
mahindra,xuv300,XUV300 W6 AMT,Cruise Control,NO
mahindra,xuv300,XUV300 W6 AMT,Parking Sensors,Rear
mahindra,xuv300,XUV300 W6 AMT,Foldable Rear Seat,60:40 Split
mahindra,xuv300,XUV300 W6 AMT,KeyLess Entry,YES
mahindra,xuv300,XUV300 W6 AMT,Engine Start/Stop Button,NO
mahindra,xuv300,XUV300 W6 AMT,Voice Commands,NO
mahindra,xuv300,XUV300 W6 AMT,USB Charger,Front
mahindra,xuv300,XUV300 W6 AMT,Central Console Armrest,NO
mahindra,xuv300,XUV300 W6 AMT,Lane Change Indicator,YES
mahindra,xuv300,XUV300 W6 AMT,Glove Box light,NO
mahindra,xuv300,XUV300 W6 AMT,Automatic Headlamps,NO
mahindra,xuv300,XUV300 W6 AMT,Follow Me Home Headlamps,YES
mahindra,xuv300,XUV300 W6 AMT,Additional Features,"Electric Sunroof with Anti-pinch, Electrically-operated HVAC, Smart Steering System, Tyre-position Display"
mahindra,xuv300,XUV300 W6 AMT,Tachometer,YES
mahindra,xuv300,XUV300 W6 AMT,Leather Wrapped Steering Wheel,NO
mahindra,xuv300,XUV300 W6 AMT,Leather wrap gear-shift selector,NO
mahindra,xuv300,XUV300 W6 AMT,Glove Box,YES
mahindra,xuv300,XUV300 W6 AMT,Dual Tone Dashboard,YES
mahindra,xuv300,XUV300 W6 AMT,Additional Features,"Sunglass Holder, Micro Hybrid Technology, Extended Power Window Operation, Supervision Cluster"
mahindra,xuv300,XUV300 W6 AMT,Digital Cluster,Semi
mahindra,xuv300,XUV300 W6 AMT,Digital Cluster Size,3.5 Inch
mahindra,xuv300,XUV300 W6 AMT,Upholstery,Fabric
mahindra,xuv300,XUV300 W6 AMT,Rain Sensing Wiper,NO
mahindra,xuv300,XUV300 W6 AMT,Rear Window Wiper,NO
mahindra,xuv300,XUV300 W6 AMT,Rear Window Washer,NO
mahindra,xuv300,XUV300 W6 AMT,Rear Window Defogger,NO
mahindra,xuv300,XUV300 W6 AMT,Wheel Covers,YES
mahindra,xuv300,XUV300 W6 AMT,Alloy Wheels,NO
mahindra,xuv300,XUV300 W6 AMT,Rear Spoiler,NO
mahindra,xuv300,XUV300 W6 AMT,Outside Rear View Mirror Turn Indicators,NO
mahindra,xuv300,XUV300 W6 AMT,Integrated Antenna,YES
mahindra,xuv300,XUV300 W6 AMT,Chrome Grille,NO
mahindra,xuv300,XUV300 W6 AMT,Projector Headlamps,NO
mahindra,xuv300,XUV300 W6 AMT,Halogen Headlamps,YES
mahindra,xuv300,XUV300 W6 AMT,Roof Rails,YES
mahindra,xuv300,XUV300 W6 AMT,Automatic Headlamps,NO
