company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W6 Diesel,Engine Type,CRDi
mahindra,xuv300,XUV300 W6 Diesel,Displacement,1497 cc
mahindra,xuv300,XUV300 W6 Diesel,Max Power,115.05bhp@3750rpm
mahindra,xuv300,XUV300 W6 Diesel,Max Torque,300Nm@1500-2500rpm
mahindra,xuv300,XUV300 W6 Diesel,No. of Cylinders,4
mahindra,xuv300,XUV300 W6 Diesel,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W6 Diesel,Fuel Supply System,Di
mahindra,xuv300,XUV300 W6 Diesel,Turbo Charger,YES
mahindra,xuv300,XUV300 W6 Diesel,Transmission Type,Manual
mahindra,xuv300,XUV300 W6 Diesel,Gearbox,6-Speed
mahindra,xuv300,XUV300 W6 Diesel,Drive Type,FWD
mahindra,xuv300,XUV300 W6 Diesel,Fuel Type,Diesel
mahindra,xuv300,XUV300 W6 Diesel,Diesel Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W6 Diesel,Emission Norm Compliance,BS VI 2.0
mahindra,xuv300,XUV300 W6 Diesel,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W6 Diesel,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W6 Diesel,Steering Column,Tilt
mahindra,xuv300,XUV300 W6 Diesel,Turning Radius,5.3
mahindra,xuv300,XUV300 W6 Diesel,Front Brake Type,Disc
mahindra,xuv300,XUV300 W6 Diesel,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W6 Diesel,Length,3995 mm
mahindra,xuv300,XUV300 W6 Diesel,Width,1821 mm
mahindra,xuv300,XUV300 W6 Diesel,Height,1627 mm
mahindra,xuv300,XUV300 W6 Diesel,Seating Capacity,5
mahindra,xuv300,XUV300 W6 Diesel,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W6 Diesel,No. of Doors,5
mahindra,xuv300,XUV300 W6 Diesel,Power Steering,YES
mahindra,xuv300,XUV300 W6 Diesel,Air Conditioner,YES
mahindra,xuv300,XUV300 W6 Diesel,Heater,YES
mahindra,xuv300,XUV300 W6 Diesel,Adjustable Steering,YES
mahindra,xuv300,XUV300 W6 Diesel,Height Adjustable Driver Seat,NO
mahindra,xuv300,XUV300 W6 Diesel,Automatic Climate Control,NO
mahindra,xuv300,XUV300 W6 Diesel,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W6 Diesel,Vanity Mirror,YES
mahindra,xuv300,XUV300 W6 Diesel,Rear Reading Lamp,YES
mahindra,xuv300,XUV300 W6 Diesel,Adjustable Headrest,YES
mahindra,xuv300,XUV300 W6 Diesel,Rear Seat Centre Arm Rest,NO
mahindra,xuv300,XUV300 W6 Diesel,Height Adjustable Front Seat Belts,YES
