company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Engine Type,1.2L Petrol
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Displacement,1197 cc
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Max Power,108.62bhp@5000rpm
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Max Torque,200Nm@2000-3500rpm
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,No. of Cylinders,3
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Turbo Charger,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Transmission Type,Manual
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Gearbox,6 Speed
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Fuel Type,Petrol
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Petrol Mileage ARAI,16.82 kmpl
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Emission Norm Compliance,BS VI
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Steering Type,Power
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Turning Radius,5.3
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Front Brake Type,Disc
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Length,3995 mm
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Width,1821 mm
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Height,1627 mm
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Seating Capacity,5
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Kerb Weight,1330 kg
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,No. of Doors,5
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Power Steering,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Power Boot,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Air Conditioner,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Heater,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Height Adjustable Driver Seat,NO
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Automatic Climate Control,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Low Fuel Warning Light,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Vanity Mirror,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Rear Seat Headrest,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Adjustable Headrest,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Rear Seat Centre Arm Rest,NO
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Height Adjustable Front Seat Belts,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Cruise Control,NO
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Parking Sensors,Rear
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Foldable Rear Seat,Bench Folding
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,KeyLess Entry,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Engine Start/Stop Button,NO
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Voice Commands,NO
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,USB Charger,Front
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Central Console Armrest,NO
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Hands-Free Tailgate,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Lane Change Indicator,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Follow Me Home Headlamps,YES
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Additional Features,"Electric Sunroof with Anti-pinch,illuminated Sunvisors with Vanity Mirrors (Co-Driver Side),Centre Roof Lamp,Console Roof Lamp,Sunglass Holder,Electrically-operated HVAC,Extended Power Window Operation"
mahindra,xuv300,XUV300 W6 Sunroof NT BSVI,Tachometer,YES
