company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Engine Type,1.2L Turbo Petrol
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Displacement,1197 cc
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Max Power,128.73bhp@5000rpm
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Max Torque,230Nm@1500-3750rpm
mahindra,xuv300,XUV300 W6 Turbosport BSVI,No. of Cylinders,3
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Turbo Charger,YES
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Transmission Type,Manual
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Gearbox,6 Speed
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Fuel Type,Petrol
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Petrol Mileage ARAI,16.82 kmpl
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Emission Norm Compliance,BS VI
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Steering Type,Power
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Turning Radius,5.3
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Front Brake Type,Disc
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Length,3995 mm
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Width,1821 mm
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Height,1627 mm
mahindra,xuv300,XUV300 W6 Turbosport BSVI,Seating Capacity,5
