company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W8 BSVI,Engine Type,1.2L Petrol
mahindra,xuv300,XUV300 W8 BSVI,Displacement,1197 cc
mahindra,xuv300,XUV300 W8 BSVI,Max Power,108.62bhp@5000rpm
mahindra,xuv300,XUV300 W8 BSVI,Max Torque,200Nm@2000-3500rpm
mahindra,xuv300,XUV300 W8 BSVI,No. of Cylinders,3
mahindra,xuv300,XUV300 W8 BSVI,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W8 BSVI,Turbo Charger,YES
mahindra,xuv300,XUV300 W8 BSVI,Transmission Type,Manual
mahindra,xuv300,XUV300 W8 BSVI,Gearbox,6 Speed
mahindra,xuv300,XUV300 W8 BSVI,Fuel Type,Petrol
mahindra,xuv300,XUV300 W8 BSVI,Petrol Mileage ARAI,16.82 kmpl
mahindra,xuv300,XUV300 W8 BSVI,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W8 BSVI,Emission Norm Compliance,BS VI
mahindra,xuv300,XUV300 W8 BSVI,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W8 BSVI,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W8 BSVI,Steering Type,Power
mahindra,xuv300,XUV300 W8 BSVI,Turning Radius,5.3
mahindra,xuv300,XUV300 W8 BSVI,Front Brake Type,Disc
mahindra,xuv300,XUV300 W8 BSVI,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W8 BSVI,Length,3995 mm
mahindra,xuv300,XUV300 W8 BSVI,Width,1821 mm
mahindra,xuv300,XUV300 W8 BSVI,Height,1627 mm
mahindra,xuv300,XUV300 W8 BSVI,Seating Capacity,5
mahindra,xuv300,XUV300 W8 BSVI,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W8 BSVI,Kerb Weight,1450 kg
mahindra,xuv300,XUV300 W8 BSVI,No. of Doors,5
mahindra,xuv300,XUV300 W8 BSVI,Power Steering,YES
mahindra,xuv300,XUV300 W8 BSVI,Power Boot,YES
mahindra,xuv300,XUV300 W8 BSVI,Air Conditioner,YES
mahindra,xuv300,XUV300 W8 BSVI,Heater,YES
mahindra,xuv300,XUV300 W8 BSVI,Height Adjustable Driver Seat,YES
mahindra,xuv300,XUV300 W8 BSVI,Automatic Climate Control,YES
mahindra,xuv300,XUV300 W8 BSVI,Low Fuel Warning Light,YES
mahindra,xuv300,XUV300 W8 BSVI,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W8 BSVI,Vanity Mirror,YES
mahindra,xuv300,XUV300 W8 BSVI,Rear Seat Headrest,YES
mahindra,xuv300,XUV300 W8 BSVI,Adjustable Headrest,YES
mahindra,xuv300,XUV300 W8 BSVI,Rear Seat Centre Arm Rest,NO
mahindra,xuv300,XUV300 W8 BSVI,Height Adjustable Front Seat Belts,YES
mahindra,xuv300,XUV300 W8 BSVI,Cruise Control,YES
mahindra,xuv300,XUV300 W8 BSVI,Parking Sensors,Rear
mahindra,xuv300,XUV300 W8 BSVI,Foldable Rear Seat,60:40 Split
mahindra,xuv300,XUV300 W8 BSVI,KeyLess Entry,YES
mahindra,xuv300,XUV300 W8 BSVI,Engine Start/Stop Button,YES
mahindra,xuv300,XUV300 W8 BSVI,Voice Commands,YES
mahindra,xuv300,XUV300 W8 BSVI,USB Charger,Front
mahindra,xuv300,XUV300 W8 BSVI,Central Console Armrest,With Storage
mahindra,xuv300,XUV300 W8 BSVI,Hands-Free Tailgate,YES
mahindra,xuv300,XUV300 W8 BSVI,Lane Change Indicator,YES
mahindra,xuv300,XUV300 W8 BSVI,Follow Me Home Headlamps,YES
mahindra,xuv300,XUV300 W8 BSVI,Additional Features,"Adjustable Boot Floor,illuminated Sunvisors with Vanity Mirrors (Co-Driver Side),Centre Roof Lamp,Console Roof Lamp,Sunglass Holder,Dual-Zone Fully Automatic Temperature Control,Extended Power Window Operation"
mahindra,xuv300,XUV300 W8 BSVI,Tachometer,YES
mahindra,xuv300,XUV300 W8 BSVI,Electronic Multi-Tripmeter,YES
mahindra,xuv300,XUV300 W8 BSVI,Leather Seats,NO
mahindra,xuv300,XUV300 W8 BSVI,Fabric Upholstery,YES
mahindra,xuv300,XUV300 W8 BSVI,Leather Wrapped Steering Wheel,YES
mahindra,xuv300,XUV300 W8 BSVI,Leather wrap gear-shift selector,YES
mahindra,xuv300,XUV300 W8 BSVI,Glove Box,YES
mahindra,xuv300,XUV300 W8 BSVI,Digital Clock,YES
mahindra,xuv300,XUV300 W8 BSVI,Dual Tone Dashboard,YES
mahindra,xuv300,XUV300 W8 BSVI,Additional Features,"Silver Inside Door Handles,Black Plush Fabric Seat Upholstery,Supervision Cluster with 8.89 cm TFT Screen,Instrument Cluster with Multi-colour Illumination"
mahindra,xuv300,XUV300 W8 BSVI,Adjustable Headlamps,YES
mahindra,xuv300,XUV300 W8 BSVI,Fog Lights - Front,NO
mahindra,xuv300,XUV300 W8 BSVI,Rain Sensing Wiper,YES
mahindra,xuv300,XUV300 W8 BSVI,Rear Window Wiper,YES
mahindra,xuv300,XUV300 W8 BSVI,Rear Window Washer,YES
mahindra,xuv300,XUV300 W8 BSVI,Rear Window Defogger,YES
mahindra,xuv300,XUV300 W8 BSVI,Wheel Covers,NO
mahindra,xuv300,XUV300 W8 BSVI,Alloy Wheels,YES
mahindra,xuv300,XUV300 W8 BSVI,Rear Spoiler,YES
mahindra,xuv300,XUV300 W8 BSVI,Outside Rear View Mirror Turn Indicators,YES
mahindra,xuv300,XUV300 W8 BSVI,Integrated Antenna,YES
mahindra,xuv300,XUV300 W8 BSVI,Chrome Grille,YES
mahindra,xuv300,XUV300 W8 BSVI,Dual Tone Body Colour,NO
mahindra,xuv300,XUV300 W8 BSVI,Projector Headlamps,YES
mahindra,xuv300,XUV300 W8 BSVI,Roof Rails,YES
mahindra,xuv300,XUV300 W8 BSVI,Sun Roof,NO
mahindra,xuv300,XUV300 W8 BSVI,Alloy Wheel Size,16 Inch
mahindra,xuv300,XUV300 W8 BSVI,Tyre Size,205/65 R16
mahindra,xuv300,XUV300 W8 BSVI,Tyre Type,"Tubeless, Radial"
mahindra,xuv300,XUV300 W8 BSVI,LED DRLs,YES
mahindra,xuv300,XUV300 W8 BSVI,LED Taillights,YES
mahindra,xuv300,XUV300 W8 BSVI,Additional Features,"Chrome Upper Grille,Silver Lower Grille,Black Roof Rails,Piano Black Door Trims,Body Coloured Door Handles & ORVMs,Sill & Wheel Arch Cladding,Door Cladding,Silver Front & Rear Skid Plates,Front Scuff Plate,Intelligent Light-sensing Headlamps"
mahindra,xuv300,XUV300 W8 BSVI,Anti-lock Braking System (ABS),YES
mahindra,xuv300,XUV300 W8 BSVI,Central Locking,YES
mahindra,xuv300,XUV300 W8 BSVI,Power Door Locks,YES
mahindra,xuv300,XUV300 W8 BSVI,Child Safety Locks,YES
mahindra,xuv300,XUV300 W8 BSVI,Anti-Theft Alarm,YES
mahindra,xuv300,XUV300 W8 BSVI,No. of Airbags,2
mahindra,xuv300,XUV300 W8 BSVI,Driver Airbag,YES
mahindra,xuv300,XUV300 W8 BSVI,Passenger Airbag,YES
mahindra,xuv300,XUV300 W8 BSVI,Side Airbag,NO
mahindra,xuv300,XUV300 W8 BSVI,Day & Night Rear View Mirror,NO
mahindra,xuv300,XUV300 W8 BSVI,Passenger Side Rear View Mirror,YES
mahindra,xuv300,XUV300 W8 BSVI,Rear Seat Belts,YES
mahindra,xuv300,XUV300 W8 BSVI,Seat Belt Warning,YES
mahindra,xuv300,XUV300 W8 BSVI,Adjustable Seats,YES
mahindra,xuv300,XUV300 W8 BSVI,Tyre Pressure Monitoring System (TPMS),YES
mahindra,xuv300,XUV300 W8 BSVI,Engine Immobilizer,YES
mahindra,xuv300,XUV300 W8 BSVI,Crash Sensor,YES
mahindra,xuv300,XUV300 W8 BSVI,Engine Check Warning,YES
mahindra,xuv300,XUV300 W8 BSVI,EBD,YES
mahindra,xuv300,XUV300 W8 BSVI,Electronic Stability Control (ESC),NO
mahindra,xuv300,XUV300 W8 BSVI,Rear Camera,YES
mahindra,xuv300,XUV300 W8 BSVI,Anti-Pinch Power Windows,Driver's Window
mahindra,xuv300,XUV300 W8 BSVI,Speed Sensing Auto Door Lock,YES
mahindra,xuv300,XUV300 W8 BSVI,ISOFIX Child Seat Mounts,YES
mahindra,xuv300,XUV300 W8 BSVI,Pretensioners & Force Limiter Seatbelts,YES
mahindra,xuv300,XUV300 W8 BSVI,Hill Assist,NO
mahindra,xuv300,XUV300 W8 BSVI,Impact Sensing Auto Door Unlock,YES
mahindra,xuv300,XUV300 W8 BSVI,Radio,YES
mahindra,xuv300,XUV300 W8 BSVI,Integrated 2DIN Audio,YES
mahindra,xuv300,XUV300 W8 BSVI,USB & Auxiliary input,YES
mahindra,xuv300,XUV300 W8 BSVI,Bluetooth Connectivity,YES
mahindra,xuv300,XUV300 W8 BSVI,Touchscreen,YES
mahindra,xuv300,XUV300 W8 BSVI,Touchscreen Size,7
mahindra,xuv300,XUV300 W8 BSVI,Android Auto,YES
mahindra,xuv300,XUV300 W8 BSVI,Apple CarPlay,YES
mahindra,xuv300,XUV300 W8 BSVI,No. of Speakers,4
mahindra,xuv300,XUV300 W8 BSVI,Additional Features,"2 Tweeters,17.78 cm Touch Screen Infotainment,Smart Watch Connectivity,SMS Read Out"
