company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Engine Type,1.2 Petrol Engine
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Displacement,1197 cc
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Max Power,110bhp@5000rpm
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Max Torque,200Nm@2000-3500rpm
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,No. of Cylinders,4
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Valve Configuration,DOHC
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Fuel Supply System,MPFI
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Turbo Charger,YES
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Transmission Type,Manual
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Gearbox,6 Speed
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Drive Type,FWD
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Fuel Type,Petrol
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Petrol Mileage ARAI,17 kmpl
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Emission Norm Compliance,BS IV
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Top Speed,175 kmph
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Front Suspension,MacPherson Strut with anti-roll bar`
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Rear Suspension,Twist beam suspension with Coil Spring
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Steering Type,Power
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Steering Column,Collapsible
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Turning Radius,5.3 m
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Front Brake Type,Disc
mahindra,xuv300,XUV300 W8 Option Dual Tone BSIV,Rear Brake Type,Disc
