company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W8 Turbo DT,Engine Type,TGDi
mahindra,xuv300,XUV300 W8 Turbo DT,Displacement,1197 cc
mahindra,xuv300,XUV300 W8 Turbo DT,Max Power,128.73bhp@5000rpm
mahindra,xuv300,XUV300 W8 Turbo DT,Max Torque,230Nm@1500-3750rpm
mahindra,xuv300,XUV300 W8 Turbo DT,No. of Cylinders,3
mahindra,xuv300,XUV300 W8 Turbo DT,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W8 Turbo DT,Fuel Supply System,GDi
mahindra,xuv300,XUV300 W8 Turbo DT,Turbo Charger,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Transmission Type,Manual
mahindra,xuv300,XUV300 W8 Turbo DT,Gearbox,6-Speed
mahindra,xuv300,XUV300 W8 Turbo DT,Drive Type,FWD
mahindra,xuv300,XUV300 W8 Turbo DT,Fuel Type,Petrol
mahindra,xuv300,XUV300 W8 Turbo DT,Petrol Mileage ARAI,17 kmpl
mahindra,xuv300,XUV300 W8 Turbo DT,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W8 Turbo DT,Emission Norm Compliance,BS VI 2.0
mahindra,xuv300,XUV300 W8 Turbo DT,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W8 Turbo DT,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W8 Turbo DT,Steering Column,Tilt
mahindra,xuv300,XUV300 W8 Turbo DT,Turning Radius,5.3
mahindra,xuv300,XUV300 W8 Turbo DT,Front Brake Type,Disc
mahindra,xuv300,XUV300 W8 Turbo DT,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W8 Turbo DT,Alloy Wheel Size Front,16 Inch
mahindra,xuv300,XUV300 W8 Turbo DT,Alloy Wheel Size Rear,16 Inch
mahindra,xuv300,XUV300 W8 Turbo DT,Length,3995 mm
mahindra,xuv300,XUV300 W8 Turbo DT,Width,1821 mm
mahindra,xuv300,XUV300 W8 Turbo DT,Height,1627 mm
mahindra,xuv300,XUV300 W8 Turbo DT,Seating Capacity,5
mahindra,xuv300,XUV300 W8 Turbo DT,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W8 Turbo DT,No. of Doors,5
mahindra,xuv300,XUV300 W8 Turbo DT,Power Steering,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Air Conditioner,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Heater,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Adjustable Steering,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Height Adjustable Driver Seat,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Automatic Climate Control,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Vanity Mirror,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Rear Reading Lamp,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Adjustable Headrest,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Rear Seat Centre Arm Rest,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Height Adjustable Front Seat Belts,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Cruise Control,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Parking Sensors,Rear
mahindra,xuv300,XUV300 W8 Turbo DT,Foldable Rear Seat,60:40 Split
mahindra,xuv300,XUV300 W8 Turbo DT,KeyLess Entry,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Engine Start/Stop Button,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Voice Commands,YES
mahindra,xuv300,XUV300 W8 Turbo DT,USB Charger,Front & Rear
mahindra,xuv300,XUV300 W8 Turbo DT,Central Console Armrest,With Storage
mahindra,xuv300,XUV300 W8 Turbo DT,Lane Change Indicator,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Glove Box light,NO
mahindra,xuv300,XUV300 W8 Turbo DT,Automatic Headlamps,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Follow Me Home Headlamps,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Additional Features,"Electric Sunroof with Anti-pinch, Electrically-operated HVAC, Smart Steering System, Tyre-position Display, Padded Front Armrest, Passive Keyless Entry"
mahindra,xuv300,XUV300 W8 Turbo DT,Tachometer,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Leather Wrapped Steering Wheel,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Leather wrap gear-shift selector,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Glove Box,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Dual Tone Dashboard,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Additional Features,"Sunglass Holder, Micro Hybrid Technology, Extended Power Window Operation, Supervision Cluster"
mahindra,xuv300,XUV300 W8 Turbo DT,Digital Cluster,Semi
mahindra,xuv300,XUV300 W8 Turbo DT,Digital Cluster Size,3.5
mahindra,xuv300,XUV300 W8 Turbo DT,Upholstery,Fabric
mahindra,xuv300,XUV300 W8 Turbo DT,Rain Sensing Wiper,YES
mahindra,xuv300,XUV300 W8 Turbo DT,Rear Window Wiper,YES
