company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Engine Type,1.2L Turbo Petrol
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Displacement,1197 cc
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Max Power,128.73bhp@5000rpm
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Max Torque,230Nm@1500-3750rpm
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,No. of Cylinders,3
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Turbo Charger,YES
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Transmission Type,Manual
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Gearbox,6 Speed
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Fuel Type,Petrol
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Petrol Mileage ARAI,18.24 kmpl
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Emission Norm Compliance,BS VI
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Steering Type,Power
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Turning Radius,5.3
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Front Brake Type,Disc
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Length,3995 mm
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Width,1821 mm
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Height,1627 mm
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Seating Capacity,5
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Gross Weight,1480 kg
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,No. of Doors,5
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Power Steering,YES
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Power Boot,YES
mahindra,xuv300,XUV300 W8 Turbosport Dual Tone BSVI,Air Conditioner,YES
