company,model,variant,feature_name,feature_details
mahindra,xuv300,XUV300 W8,Engine Type,TCMPFi
mahindra,xuv300,XUV300 W8,Displacement,1197 cc
mahindra,xuv300,XUV300 W8,Max Power,108.62bhp@5000rpm
mahindra,xuv300,XUV300 W8,Max Torque,200Nm@1500-3500rpm
mahindra,xuv300,XUV300 W8,No. of Cylinders,3
mahindra,xuv300,XUV300 W8,Valves Per Cylinder,4
mahindra,xuv300,XUV300 W8,Fuel Supply System,MPFi
mahindra,xuv300,XUV300 W8,Turbo Charger,YES
mahindra,xuv300,XUV300 W8,Transmission Type,Manual
mahindra,xuv300,XUV300 W8,Gearbox,6-Speed
mahindra,xuv300,XUV300 W8,Drive Type,FWD
mahindra,xuv300,XUV300 W8,Fuel Type,Petrol
mahindra,xuv300,XUV300 W8,Petrol Mileage ARAI,16.82 kmpl
mahindra,xuv300,XUV300 W8,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv300,XUV300 W8,Emission Norm Compliance,BS VI 2.0
mahindra,xuv300,XUV300 W8,Front Suspension,MacPherson Strut with Anti-roll Bar
mahindra,xuv300,XUV300 W8,Rear Suspension,Twist Beam Suspension with Coil Spring
mahindra,xuv300,XUV300 W8,Steering Column,Tilt
mahindra,xuv300,XUV300 W8,Turning Radius,5.3
mahindra,xuv300,XUV300 W8,Front Brake Type,Disc
mahindra,xuv300,XUV300 W8,Rear Brake Type,Disc
mahindra,xuv300,XUV300 W8,Alloy Wheel Size Front,16 Inch
mahindra,xuv300,XUV300 W8,Alloy Wheel Size Rear,16 Inch
mahindra,xuv300,XUV300 W8,Length,3995 mm
mahindra,xuv300,XUV300 W8,Width,1821 mm
mahindra,xuv300,XUV300 W8,Height,1627 mm
mahindra,xuv300,XUV300 W8,Seating Capacity,5
mahindra,xuv300,XUV300 W8,Wheel Base,2600 mm
mahindra,xuv300,XUV300 W8,No. of Doors,5
mahindra,xuv300,XUV300 W8,Power Steering,YES
mahindra,xuv300,XUV300 W8,Air Conditioner,YES
mahindra,xuv300,XUV300 W8,Heater,YES
mahindra,xuv300,XUV300 W8,Adjustable Steering,YES
mahindra,xuv300,XUV300 W8,Height Adjustable Driver Seat,YES
mahindra,xuv300,XUV300 W8,Automatic Climate Control,YES
mahindra,xuv300,XUV300 W8,Accessory Power Outlet,YES
mahindra,xuv300,XUV300 W8,Vanity Mirror,YES
mahindra,xuv300,XUV300 W8,Rear Reading Lamp,YES
mahindra,xuv300,XUV300 W8,Adjustable Headrest,YES
mahindra,xuv300,XUV300 W8,Rear Seat Centre Arm Rest,YES
mahindra,xuv300,XUV300 W8,Height Adjustable Front Seat Belts,YES
mahindra,xuv300,XUV300 W8,Cruise Control,YES
mahindra,xuv300,XUV300 W8,Parking Sensors,Rear
mahindra,xuv300,XUV300 W8,Foldable Rear Seat,60:40 Split
mahindra,xuv300,XUV300 W8,KeyLess Entry,YES
mahindra,xuv300,XUV300 W8,Engine Start/Stop Button,YES
mahindra,xuv300,XUV300 W8,Voice Commands,YES
mahindra,xuv300,XUV300 W8,USB Charger,Front & Rear
mahindra,xuv300,XUV300 W8,Central Console Armrest,With Storage
mahindra,xuv300,XUV300 W8,Lane Change Indicator,YES
mahindra,xuv300,XUV300 W8,Glove Box light,NO
mahindra,xuv300,XUV300 W8,Automatic Headlamps,YES
mahindra,xuv300,XUV300 W8,Follow Me Home Headlamps,YES
mahindra,xuv300,XUV300 W8,Additional Features,"Electric Sunroof with Anti-pinch, Electrically-operated HVAC, Smart Steering System, Tyre-position Display, Padded Front Armrest, Passive Keyless Entry"
mahindra,xuv300,XUV300 W8,Tachometer,YES
mahindra,xuv300,XUV300 W8,Leather Wrapped Steering Wheel,YES
mahindra,xuv300,XUV300 W8,Leather wrap gear-shift selector,YES
mahindra,xuv300,XUV300 W8,Glove Box,YES
mahindra,xuv300,XUV300 W8,Dual Tone Dashboard,YES
mahindra,xuv300,XUV300 W8,Additional Features,"Sunglass Holder, Micro Hybrid Technology, Extended Power Window Operation, Supervision Cluster"
mahindra,xuv300,XUV300 W8,Digital Cluster,Semi
mahindra,xuv300,XUV300 W8,Digital Cluster Size,3.5
mahindra,xuv300,XUV300 W8,Upholstery,Fabric
mahindra,xuv300,XUV300 W8,Rain Sensing Wiper,YES
mahindra,xuv300,XUV300 W8,Rear Window Wiper,YES
mahindra,xuv300,XUV300 W8,Rear Window Washer,YES
