company,model,variant,feature_name,feature_details
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Engine Type,mStallion
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Displacement,1999 cc
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Max Power,197bhp@5000rpm
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Max Torque,380Nm@1750-3000rpm
mahindra,xuv700,XUV700 AX5 S 7 Str AT,No. of Cylinders,4
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Valves Per Cylinder,4
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Turbo Charger,YES
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Transmission Type,Automatic
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Gearbox,6-Speed
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Drive Type,FWD
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Fuel Type,Petrol
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Petrol Mileage ARAI,13 kmpl
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Petrol Fuel Tank Capacity,60 Litres
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Emission Norm Compliance,BS VI 2.0
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Front Suspension,MacPherson Strut suspension
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Rear Suspension,"Multi-link, Solid Axle"
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Steering Column,Tilt
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Front Brake Type,Ventilated Disc
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Rear Brake Type,Solid Disc
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Length,4695 mm
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Width,1890 mm
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Height,1755 mm
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Boot Space,240 Litres
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Seating Capacity,7
mahindra,xuv700,XUV700 AX5 S 7 Str AT,Wheel Base,2750 mm
mahindra,xuv700,XUV700 AX5 S 7 Str AT,No. of Doors,5
