company,model,variant,feature_name,feature_details
mahindra,xuv700,XUV700 AX7 6 Str,Engine Type,mStallion
mahindra,xuv700,XUV700 AX7 6 Str,Displacement,1999 cc
mahindra,xuv700,XUV700 AX7 6 Str,Max Power,197bhp@5000rpm
mahindra,xuv700,XUV700 AX7 6 Str,Max Torque,380Nm@1750-3000rpm
mahindra,xuv700,XUV700 AX7 6 Str,No. of Cylinders,4
mahindra,xuv700,XUV700 AX7 6 Str,Valves Per Cylinder,4
mahindra,xuv700,XUV700 AX7 6 Str,Turbo Charger,YES
mahindra,xuv700,XUV700 AX7 6 Str,Transmission Type,Manual
mahindra,xuv700,XUV700 AX7 6 Str,Gearbox,6-Speed
mahindra,xuv700,XUV700 AX7 6 Str,Drive Type,FWD
mahindra,xuv700,XUV700 AX7 6 Str,Fuel Type,Petrol
mahindra,xuv700,XUV700 AX7 6 Str,Petrol Mileage ARAI,15 kmpl
mahindra,xuv700,XUV700 AX7 6 Str,Petrol Fuel Tank Capacity,60 Litres
mahindra,xuv700,XUV700 AX7 6 Str,Emission Norm Compliance,BS VI 2.0
mahindra,xuv700,XUV700 AX7 6 Str,Front Suspension,MacPherson Strut suspension
mahindra,xuv700,XUV700 AX7 6 Str,Rear Suspension,"Multi-link, Solid Axle"
mahindra,xuv700,XUV700 AX7 6 Str,Steering Column,Tilt
mahindra,xuv700,XUV700 AX7 6 Str,Front Brake Type,Ventilated Disc
mahindra,xuv700,XUV700 AX7 6 Str,Rear Brake Type,Solid Disc
mahindra,xuv700,XUV700 AX7 6 Str,Alloy Wheel Size Front,18 Inch
mahindra,xuv700,XUV700 AX7 6 Str,Alloy Wheel Size Rear,18 Inch
mahindra,xuv700,XUV700 AX7 6 Str,Length,4695 mm
mahindra,xuv700,XUV700 AX7 6 Str,Width,1890 mm
mahindra,xuv700,XUV700 AX7 6 Str,Height,1755 mm
mahindra,xuv700,XUV700 AX7 6 Str,Boot Space,240 Litres
mahindra,xuv700,XUV700 AX7 6 Str,Seating Capacity,6
mahindra,xuv700,XUV700 AX7 6 Str,Wheel Base,2750 mm
mahindra,xuv700,XUV700 AX7 6 Str,No. of Doors,5
mahindra,xuv700,XUV700 AX7 6 Str,Reported Boot Space,240 Litres
mahindra,xuv700,XUV700 AX7 6 Str,Power Steering,YES
mahindra,xuv700,XUV700 AX7 6 Str,Air Conditioner,YES
mahindra,xuv700,XUV700 AX7 6 Str,Heater,YES
