company,model,variant,feature_name,feature_details
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Engine Type,mStallion
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Displacement,1999 cc
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Max Power,197bhp@5000rpm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Max Torque,380Nm@1750-3000rpm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,No. of Cylinders,4
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Valves Per Cylinder,4
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Turbo Charger,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Transmission Type,Automatic
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Gearbox,6-Speed
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Drive Type,FWD
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Fuel Type,Petrol
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Petrol Mileage ARAI,13 kmpl
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Emission Norm Compliance,BS VI 2.0
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Front Suspension,MacPherson Strut suspension
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Rear Suspension,"Multi-link, Solid Axle"
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Steering Column,Tilt
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Front Brake Type,Ventilated Disc
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Rear Brake Type,Solid Disc
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Alloy Wheel Size Front,18 Inch
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Alloy Wheel Size Rear,18 Inch
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Length,4695 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Width,1890 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Height,1755 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Boot Space,240 Litres
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Seating Capacity,6
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Wheel Base,2750 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,No. of Doors,5
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Reported Boot Space,240 Litres
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Power Steering,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Air Conditioner,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Heater,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Height Adjustable Driver Seat,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Ventilated Seats,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Electric Adjustable Seats,Front
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Automatic Climate Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Air Quality Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Accessory Power Outlet,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Rear Reading Lamp,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Adjustable Headrest,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Rear Seat Centre Arm Rest,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Height Adjustable Front Seat Belts,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Rear AC Vents,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Cruise Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Parking Sensors,Rear
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Foldable Rear Seat,2nd Row Captain Seats Tumble Fold
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Engine Start/Stop Button,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,USB Charger,Front & Rear
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Central Console Armrest,With Storage
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Tailgate Ajar Warning,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Hands-Free Tailgate,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Gear Shift Indicator,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Luggage Hook & Net,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Battery Saver,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Idle Start-Stop System,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Automatic Headlamps,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Follow Me Home Headlamps,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Tachometer,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Leather Wrapped Steering Wheel,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Leather wrap gear-shift selector,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Glove Box,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str AT,Cigarette Lighter,NO
