company,model,variant,feature_name,feature_details
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Engine Type,mHAWK
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Displacement,2198 cc
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Max Power,182bhp@3500rpm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Max Torque,420Nm@1600-2800rpm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,No. of Cylinders,4
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Valves Per Cylinder,4
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Turbo Charger,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Transmission Type,Manual
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Gearbox,6-Speed
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Drive Type,FWD
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Fuel Type,Diesel
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Diesel Mileage ARAI,17 kmpl
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Emission Norm Compliance,BS VI 2.0
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Front Suspension,MacPherson Strut suspension
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Rear Suspension,"Multi-link, Solid Axle"
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Steering Column,Tilt
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Front Brake Type,Ventilated Disc
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Rear Brake Type,Solid Disc
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Alloy Wheel Size Front,18 Inch
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Alloy Wheel Size Rear,18 Inch
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Length,4695 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Width,1890 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Height,1755 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Boot Space,240 Litres
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Seating Capacity,6
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Wheel Base,2750 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,No. of Doors,5
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Reported Boot Space,240 Litres
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Power Steering,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Air Conditioner,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Heater,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Height Adjustable Driver Seat,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Ventilated Seats,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Electric Adjustable Seats,Front
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Automatic Climate Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Air Quality Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Accessory Power Outlet,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Rear Reading Lamp,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Adjustable Headrest,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Rear Seat Centre Arm Rest,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Height Adjustable Front Seat Belts,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Rear AC Vents,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Cruise Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Parking Sensors,Rear
mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel,Foldable Rear Seat,2nd Row Captain Seats Tumble Fold
