company,model,variant,feature_name,feature_details
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Engine Type,mStallion
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Displacement,1999 cc
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Max Power,197bhp@5000rpm
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Max Torque,380Nm@1750-3000rpm
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,No. of Cylinders,4
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Valves Per Cylinder,4
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Turbo Charger,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Transmission Type,Manual
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Gearbox,6-Speed
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Drive Type,FWD
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Fuel Type,Petrol
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Petrol Mileage ARAI,15 kmpl
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Emission Norm Compliance,BS VI 2.0
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Front Suspension,MacPherson Strut suspension
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear Suspension,"Multi-link, Solid Axle"
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Steering Column,Tilt
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Front Brake Type,Ventilated Disc
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear Brake Type,Solid Disc
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Alloy Wheel Size Front,18 Inch
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Alloy Wheel Size Rear,18 Inch
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Length,4695 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Width,1890 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Height,1755 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Boot Space,240 Litres
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Seating Capacity,7
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Wheel Base,2750 mm
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,No. of Doors,5
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Reported Boot Space,240 Litres
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Power Steering,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Air Conditioner,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Heater,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Height Adjustable Driver Seat,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Ventilated Seats,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Electric Adjustable Seats,Front
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Automatic Climate Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Air Quality Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Accessory Power Outlet,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear Reading Lamp,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Adjustable Headrest,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear Seat Centre Arm Rest,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Height Adjustable Front Seat Belts,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear AC Vents,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Cruise Control,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Parking Sensors,Rear
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Foldable Rear Seat,60:40 Split
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Engine Start/Stop Button,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,USB Charger,Front & Rear
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Central Console Armrest,With Storage
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Tailgate Ajar Warning,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Hands-Free Tailgate,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Gear Shift Indicator,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Luggage Hook & Net,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Battery Saver,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Idle Start-Stop System,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Automatic Headlamps,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Follow Me Home Headlamps,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Tachometer,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Leather Wrapped Steering Wheel,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Leather wrap gear-shift selector,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Glove Box,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Cigarette Lighter,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Folding Table in The Rear,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Digital Cluster,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Digital Cluster Size,10.25 inch
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Upholstery,Leatherette
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Adjustable Headlamps,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rain Sensing Wiper,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear Window Wiper,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear Window Washer,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear Window Defogger,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Wheel Covers,NO
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Alloy Wheels,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Rear Spoiler,YES
mahindra,xuv700,XUV700 AX7 Ebony Edition 7Str,Integrated Antenna,YES
