company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO AX5 AT,Engine Type,mStallion (TCMPFi) engine
mahindra,xuv-3xo,XUV 3XO AX5 AT,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO AX5 AT,Max Power,109.96bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO AX5 AT,Max Torque,200Nm@1500-3500rpm
mahindra,xuv-3xo,XUV 3XO AX5 AT,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO AX5 AT,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO AX5 AT,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Transmission Type,Automatic
mahindra,xuv-3xo,XUV 3XO AX5 AT,Gearbox,6-Speed AT
mahindra,xuv-3xo,XUV 3XO AX5 AT,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO AX5 AT,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO AX5 AT,Petrol Mileage ARAI,17.96 kmpl
mahindra,xuv-3xo,XUV 3XO AX5 AT,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO AX5 AT,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO AX5 AT,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO AX5 AT,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO AX5 AT,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO AX5 AT,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX5 AT,Alloy Wheel Size Front,16 Inch
mahindra,xuv-3xo,XUV 3XO AX5 AT,Alloy Wheel Size Rear,16 Inch
mahindra,xuv-3xo,XUV 3XO AX5 AT,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO AX5 AT,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO AX5 AT,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO AX5 AT,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO AX5 AT,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO AX5 AT,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO AX5 AT,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO AX5 AT,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Heater,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Automatic Climate Control,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Cruise Control,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Parking Sensors,Rear
mahindra,xuv-3xo,XUV 3XO AX5 AT,Real-Time Vehicle Tracking,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO AX5 AT,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Engine Start/Stop Button,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Cooled Glovebox,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5 AT,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO AX5 AT,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Glove Box light,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Automatic Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5 AT,Cup Holders,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5 AT,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Leather Wrapped Steering Wheel,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Leather wrap gear-shift selector,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Cigarette Lighter,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Folding Table in The Rear,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Digital Cluster,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Digital Cluster Size,10.25 Inch
mahindra,xuv-3xo,XUV 3XO AX5 AT,Upholstery,Fabric
mahindra,xuv-3xo,XUV 3XO AX5 AT,Adjustable Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5 AT,Headlamp Washers,NO
mahindra,xuv-3xo,XUV 3XO AX5 AT,Rear Window Wiper,YES
