company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Engine Type,Turbo with CRDe
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Displacement,1498 cc
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Max Power,115.05bhp@3750rpm
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Max Torque,300Nm@1500-2500rpm
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,No. of Cylinders,4
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Fuel Type,Diesel
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Diesel Mileage ARAI,20.6 kmpl
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Diesel Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Alloy Wheel Size Front,16 Inch
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Alloy Wheel Size Rear,16 Inch
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Heater,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Automatic Climate Control,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Cruise Control,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Parking Sensors,Rear
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Real-Time Vehicle Tracking,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Engine Start/Stop Button,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Cooled Glovebox,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Glove Box light,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Automatic Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Cup Holders,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Leather Wrapped Steering Wheel,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Leather wrap gear-shift selector,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Cigarette Lighter,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Folding Table in The Rear,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Digital Cluster,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Digital Cluster Size,10.25 Inch
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Upholstery,Fabric
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Adjustable Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Headlamp Washers,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Window Wiper,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Window Washer,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Window Defogger,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Wheel Covers,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Alloy Wheels,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Rear Spoiler,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Side Stepper,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Outside Rear View Mirror Turn Indicators,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Integrated Antenna,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Projector Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Halogen Headlamps,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Cornering Foglamps,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Roof Rails,YES
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Fog Lights,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Convertible Top,NO
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Sunroof,Single Pane
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Boot Opening,Electronic
mahindra,xuv-3xo,XUV 3XO AX5 Diesel,Heated Outside Rear View Mirror,NO
