company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Engine Type,mStallion (TGDi) engine
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Max Power,128.73bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Max Torque,230Nm@1500-3750rpm
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Petrol Mileage ARAI,20.1 kmpl
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Alloy Wheel Size Front,16 Inch
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Alloy Wheel Size Rear,16 Inch
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Heater,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Automatic Climate Control,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO AX5 L Turbo,Rear AC Vents,YES
