company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO AX5,Engine Type,mStallion (TCMPFi) engine
mahindra,xuv-3xo,XUV 3XO AX5,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO AX5,Max Power,109.96bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO AX5,Max Torque,200Nm@1500-3500rpm
mahindra,xuv-3xo,XUV 3XO AX5,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO AX5,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO AX5,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO AX5,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO AX5,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO AX5,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO AX5,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO AX5,Petrol Mileage ARAI,18.89 kmpl
mahindra,xuv-3xo,XUV 3XO AX5,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO AX5,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO AX5,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO AX5,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO AX5,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO AX5,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO AX5,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX5,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX5,Alloy Wheel Size Front,16 Inch
mahindra,xuv-3xo,XUV 3XO AX5,Alloy Wheel Size Rear,16 Inch
mahindra,xuv-3xo,XUV 3XO AX5,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO AX5,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO AX5,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO AX5,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO AX5,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO AX5,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO AX5,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO AX5,Reported Ground Clearance (Unladen),201 mm
mahindra,xuv-3xo,XUV 3XO AX5,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO AX5,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO AX5,Heater,YES
mahindra,xuv-3xo,XUV 3XO AX5,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO AX5,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO AX5,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO AX5,Automatic Climate Control,YES
mahindra,xuv-3xo,XUV 3XO AX5,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO AX5,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO AX5,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO AX5,Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO AX5,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO AX5,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO AX5,Cruise Control,YES
mahindra,xuv-3xo,XUV 3XO AX5,Parking Sensors,Rear
mahindra,xuv-3xo,XUV 3XO AX5,Real-Time Vehicle Tracking,YES
mahindra,xuv-3xo,XUV 3XO AX5,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO AX5,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO AX5,Engine Start/Stop Button,YES
mahindra,xuv-3xo,XUV 3XO AX5,Cooled Glovebox,NO
mahindra,xuv-3xo,XUV 3XO AX5,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO AX5,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO AX5,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO AX5,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO AX5,Glove Box light,NO
mahindra,xuv-3xo,XUV 3XO AX5,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO AX5,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX5,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX5,Automatic Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5,Cup Holders,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX5,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO AX5,Leather Wrapped Steering Wheel,YES
mahindra,xuv-3xo,XUV 3XO AX5,Leather wrap gear-shift selector,YES
mahindra,xuv-3xo,XUV 3XO AX5,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO AX5,Cigarette Lighter,NO
mahindra,xuv-3xo,XUV 3XO AX5,Folding Table in The Rear,NO
mahindra,xuv-3xo,XUV 3XO AX5,Digital Cluster,YES
mahindra,xuv-3xo,XUV 3XO AX5,Digital Cluster Size,10.25 Inch
mahindra,xuv-3xo,XUV 3XO AX5,Upholstery,Fabric
mahindra,xuv-3xo,XUV 3XO AX5,Adjustable Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5,Headlamp Washers,NO
mahindra,xuv-3xo,XUV 3XO AX5,Rear Window Wiper,YES
mahindra,xuv-3xo,XUV 3XO AX5,Rear Window Washer,YES
mahindra,xuv-3xo,XUV 3XO AX5,Rear Window Defogger,YES
mahindra,xuv-3xo,XUV 3XO AX5,Wheel Covers,NO
mahindra,xuv-3xo,XUV 3XO AX5,Alloy Wheels,YES
mahindra,xuv-3xo,XUV 3XO AX5,Rear Spoiler,YES
mahindra,xuv-3xo,XUV 3XO AX5,Side Stepper,NO
mahindra,xuv-3xo,XUV 3XO AX5,Outside Rear View Mirror Turn Indicators,YES
mahindra,xuv-3xo,XUV 3XO AX5,Integrated Antenna,YES
mahindra,xuv-3xo,XUV 3XO AX5,Projector Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5,Halogen Headlamps,NO
mahindra,xuv-3xo,XUV 3XO AX5,Cornering Foglamps,NO
mahindra,xuv-3xo,XUV 3XO AX5,Roof Rails,YES
mahindra,xuv-3xo,XUV 3XO AX5,Fog Lights,NO
mahindra,xuv-3xo,XUV 3XO AX5,Convertible Top,NO
mahindra,xuv-3xo,XUV 3XO AX5,Sunroof,Single Pane
mahindra,xuv-3xo,XUV 3XO AX5,Boot Opening,Electronic
mahindra,xuv-3xo,XUV 3XO AX5,Heated Outside Rear View Mirror,NO
mahindra,xuv-3xo,XUV 3XO AX5,Outside Rear View Mirror (ORVM),Powered & Folding
mahindra,xuv-3xo,XUV 3XO AX5,Tyre Size,205/65 R16
mahindra,xuv-3xo,XUV 3XO AX5,Tyre Type,"Tubeless, Radial"
mahindra,xuv-3xo,XUV 3XO AX5,LED DRLs,YES
mahindra,xuv-3xo,XUV 3XO AX5,LED Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX5,LED Taillights,YES
mahindra,xuv-3xo,XUV 3XO AX5,LED Fog Lamps,NO
mahindra,xuv-3xo,XUV 3XO AX5,Additional Features,Electronic Trumpet Horn
mahindra,xuv-3xo,XUV 3XO AX5,Anti-lock Braking System (ABS),YES
mahindra,xuv-3xo,XUV 3XO AX5,Central Locking,YES
mahindra,xuv-3xo,XUV 3XO AX5,Child Safety Locks,YES
mahindra,xuv-3xo,XUV 3XO AX5,No. of Airbags,6
mahindra,xuv-3xo,XUV 3XO AX5,Driver Airbag,YES
mahindra,xuv-3xo,XUV 3XO AX5,Passenger Airbag,YES
mahindra,xuv-3xo,XUV 3XO AX5,Side Airbag,YES
mahindra,xuv-3xo,XUV 3XO AX5,Side Airbag-Rear,NO
mahindra,xuv-3xo,XUV 3XO AX5,Day & Night Rear View Mirror,YES
mahindra,xuv-3xo,XUV 3XO AX5,Xenon Headlamps,NO
mahindra,xuv-3xo,XUV 3XO AX5,Curtain Airbag,YES
mahindra,xuv-3xo,XUV 3XO AX5,Electronic Brakeforce Distribution (EBD),YES
mahindra,xuv-3xo,XUV 3XO AX5,Seat Belt Warning,YES
mahindra,xuv-3xo,XUV 3XO AX5,Door Ajar Warning,YES
mahindra,xuv-3xo,XUV 3XO AX5,Tyre Pressure Monitoring System (TPMS),YES
mahindra,xuv-3xo,XUV 3XO AX5,Engine Immobilizer,YES
mahindra,xuv-3xo,XUV 3XO AX5,Electronic Stability Control (ESC),YES
mahindra,xuv-3xo,XUV 3XO AX5,Rear Camera,With Guidedlines
mahindra,xuv-3xo,XUV 3XO AX5,Speed Alert,YES
mahindra,xuv-3xo,XUV 3XO AX5,Speed Sensing Auto Door Lock,YES
mahindra,xuv-3xo,XUV 3XO AX5,Knee Airbags,NO
mahindra,xuv-3xo,XUV 3XO AX5,ISOFIX Child Seat Mounts,YES
mahindra,xuv-3xo,XUV 3XO AX5,Heads-Up Display (HUD),NO
mahindra,xuv-3xo,XUV 3XO AX5,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
mahindra,xuv-3xo,XUV 3XO AX5,360 View Camera,NO
mahindra,xuv-3xo,XUV 3XO AX5,Global NCAP Safety Rating,5 Star
mahindra,xuv-3xo,XUV 3XO AX5,Global NCAP Child Safety Rating,5 Star
mahindra,xuv-3xo,XUV 3XO AX5,Bharat NCAP Safety Rating,5 Star
mahindra,xuv-3xo,XUV 3XO AX5,Bharat NCAP Child Safety Rating,5 Star
mahindra,xuv-3xo,XUV 3XO AX5,Radio,YES
mahindra,xuv-3xo,XUV 3XO AX5,Integrated 2DIN Audio,YES
mahindra,xuv-3xo,XUV 3XO AX5,Wireless Phone Charging,YES
mahindra,xuv-3xo,XUV 3XO AX5,Bluetooth Connectivity,YES
mahindra,xuv-3xo,XUV 3XO AX5,Touchscreen,YES
mahindra,xuv-3xo,XUV 3XO AX5,Touchscreen Size,10.25 inch
mahindra,xuv-3xo,XUV 3XO AX5,Connectivity,"Android Auto, Apple CarPlay"
mahindra,xuv-3xo,XUV 3XO AX5,Android Auto,YES
mahindra,xuv-3xo,XUV 3XO AX5,Apple CarPlay,YES
mahindra,xuv-3xo,XUV 3XO AX5,No. of Speakers,4
mahindra,xuv-3xo,XUV 3XO AX5,Usb Ports,YES
mahindra,xuv-3xo,XUV 3XO AX5,Tweeters,2
mahindra,xuv-3xo,XUV 3XO AX5,Additional Features,Wireless Android Auto AndApple CarPlay
mahindra,xuv-3xo,XUV 3XO AX5,Speakers,Front & Rear
