company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Engine Type,Turbo with CRDe
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Displacement,1498 cc
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Max Power,115.05bhp@3750rpm
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Max Torque,300Nm@1500-2500rpm
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,No. of Cylinders,4
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Transmission Type,Automatic
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Gearbox,6-Speed AMT
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Fuel Type,Diesel
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Diesel Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Diesel Highway Mileage,21.2 kmpl
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Alloy Wheel Size Front,17 Inch
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Alloy Wheel Size Rear,17 Inch
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Heater,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Automatic Climate Control,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Cruise Control,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Parking Sensors,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Real-Time Vehicle Tracking,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Engine Start/Stop Button,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Cooled Glovebox,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Glove Box light,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Automatic Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Cup Holders,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Leather Wrapped Steering Wheel,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Leather wrap gear-shift selector,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Cigarette Lighter,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Folding Table in The Rear,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Digital Cluster,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Digital Cluster Size,10.25 Inch
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Upholstery,Leatherette
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Adjustable Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Headlamp Washers,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Window Wiper,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Window Washer,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Window Defogger,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Wheel Covers,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Alloy Wheels,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Rear Spoiler,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Side Stepper,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Outside Rear View Mirror Turn Indicators,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Integrated Antenna,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Projector Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Halogen Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Cornering Foglamps,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Roof Rails,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Fog Lights,Front
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Convertible Top,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Sunroof,Panoramic
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Boot Opening,Electronic
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Heated Outside Rear View Mirror,NO
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Outside Rear View Mirror (ORVM),Powered & Folding
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Tyre Size,215/55 R17
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,Tyre Type,"Tubeless, Radial"
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,LED DRLs,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,LED Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,LED Taillights,YES
mahindra,xuv-3xo,XUV 3XO AX7 Diesel AMT,LED Fog Lamps,YES
