company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Engine Type,Turbo with CRDe
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Displacement,1498 cc
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Max Power,115.05bhp@3750rpm
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Max Torque,300Nm@1500-2500rpm
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,No. of Cylinders,4
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Fuel Type,Diesel
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Diesel Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Diesel Highway Mileage,20.6 kmpl
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Alloy Wheel Size Front,17 Inch
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Alloy Wheel Size Rear,17 Inch
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Heater,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Automatic Climate Control,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Cruise Control,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Parking Sensors,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Real-Time Vehicle Tracking,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Engine Start/Stop Button,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Cooled Glovebox,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Glove Box light,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX7 L Diesel,Rear Windscreen Sunblind,NO
