company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Engine Type,mStallion (TGDi) engine
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Max Power,128.73bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Max Torque,230Nm@1500-3750rpm
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Petrol Mileage ARAI,20.1 kmpl
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Alloy Wheel Size Front,17 Inch
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Alloy Wheel Size Rear,17 Inch
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Heater,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Automatic Climate Control,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Cruise Control,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Parking Sensors,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Real-Time Vehicle Tracking,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Engine Start/Stop Button,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Cooled Glovebox,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Glove Box light,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Automatic Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Cup Holders,Front & Rear
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Leather Wrapped Steering Wheel,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Leather wrap gear-shift selector,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Cigarette Lighter,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Folding Table in The Rear,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Digital Cluster,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Digital Cluster Size,10.25 Inch
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Upholstery,Leatherette
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Adjustable Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Headlamp Washers,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Window Wiper,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Window Washer,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Window Defogger,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Wheel Covers,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Alloy Wheels,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Rear Spoiler,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Side Stepper,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Outside Rear View Mirror Turn Indicators,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Integrated Antenna,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Projector Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Halogen Headlamps,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Cornering Foglamps,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Roof Rails,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Fog Lights,Front
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Convertible Top,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Sunroof,Panoramic
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Boot Opening,Electronic
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Heated Outside Rear View Mirror,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Outside Rear View Mirror (ORVM),Powered & Folding
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Tyre Size,215/55 R17
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Tyre Type,"Tubeless, Radial"
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,LED DRLs,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,LED Headlamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,LED Taillights,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,LED Fog Lamps,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Additional Features,Electronic Trumpet Horn
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Anti-lock Braking System (ABS),YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Central Locking,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Child Safety Locks,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,No. of Airbags,6
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Driver Airbag,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Passenger Airbag,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Side Airbag,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Side Airbag-Rear,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Day & Night Rear View Mirror,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Xenon Headlamps,NO
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Curtain Airbag,YES
mahindra,xuv-3xo,XUV 3XO AX7 Turbo,Electronic Brakeforce Distribution (EBD),YES
