company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Engine Type,mStallion (TCMPFi) engine
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Max Power,109.96bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Max Torque,200Nm@1500-3500rpm
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Transmission Type,Automatic
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Petrol Mileage ARAI,17.96 kmpl
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Heater,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Height Adjustable Driver Seat,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Automatic Climate Control,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Seat Centre Arm Rest,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Cruise Control,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Parking Sensors,Rear
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Real-Time Vehicle Tracking,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Engine Start/Stop Button,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Cooled Glovebox,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Luggage Hook & Net,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Glove Box light,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Automatic Headlamps,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Leather Wrapped Steering Wheel,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Leather wrap gear-shift selector,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Cigarette Lighter,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Folding Table in The Rear,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Digital Cluster,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Digital Cluster Size,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Upholstery,Fabric
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Adjustable Headlamps,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Headlamp Washers,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Window Wiper,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Window Washer,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Window Defogger,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Wheel Covers,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Alloy Wheels,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Rear Spoiler,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Side Stepper,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Outside Rear View Mirror Turn Indicators,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Integrated Antenna,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Projector Headlamps,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Halogen Headlamps,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Cornering Foglamps,NO
mahindra,xuv-3xo,XUV 3XO MX2 Pro AT,Roof Rails,NO
