company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Engine Type,mStallion (TCMPFi) engine
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Max Power,109.96bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Max Torque,200Nm@1500-3500rpm
mahindra,xuv-3xo,XUV 3XO MX2 Pro,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Petrol Mileage ARAI,18.89 kmpl
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO MX2 Pro,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO MX2 Pro,Power Steering,YES
