company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Engine Type,Turbo with CRDe
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Displacement,1498 cc
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Max Power,115.05bhp@3750rpm
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Max Torque,300Nm@1500-2500rpm
mahindra,xuv-3xo,XUV 3XO MX2 diesel,No. of Cylinders,4
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Fuel Type,Diesel
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Diesel Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Diesel Highway Mileage,20.6 kmpl
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO MX2 diesel,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Heater,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Height Adjustable Driver Seat,NO
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Automatic Climate Control,NO
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Rear Seat Centre Arm Rest,NO
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO MX2 diesel,Cruise Control,NO
