company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO MX3 AT,Engine Type,mStallion (TCMPFi) engine
mahindra,xuv-3xo,XUV 3XO MX3 AT,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO MX3 AT,Max Power,109.96bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO MX3 AT,Max Torque,200Nm@1500-3500rpm
mahindra,xuv-3xo,XUV 3XO MX3 AT,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO MX3 AT,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO MX3 AT,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO MX3 AT,Transmission Type,Automatic
mahindra,xuv-3xo,XUV 3XO MX3 AT,Gearbox,6-Speed AT
mahindra,xuv-3xo,XUV 3XO MX3 AT,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO MX3 AT,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO MX3 AT,Petrol Mileage ARAI,17.96 kmpl
mahindra,xuv-3xo,XUV 3XO MX3 AT,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO MX3 AT,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO MX3 AT,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO MX3 AT,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO MX3 AT,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO MX3 AT,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO MX3 AT,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX3 AT,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX3 AT,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO MX3 AT,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO MX3 AT,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO MX3 AT,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO MX3 AT,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO MX3 AT,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO MX3 AT,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO MX3 AT,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO MX3 AT,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO MX3 AT,Heater,YES
