company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Engine Type,Turbo with CRDe
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Displacement,1498 cc
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Max Power,115.05bhp@3750rpm
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Max Torque,300Nm@1500-2500rpm
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,No. of Cylinders,4
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Fuel Type,Diesel
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Diesel Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Diesel Highway Mileage,20.6 kmpl
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Heater,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Height Adjustable Driver Seat,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Automatic Climate Control,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Seat Centre Arm Rest,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Cruise Control,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Parking Sensors,Rear
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Real-Time Vehicle Tracking,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Engine Start/Stop Button,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Cooled Glovebox,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Luggage Hook & Net,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Glove Box light,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Automatic Headlamps,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Leather Wrapped Steering Wheel,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Leather wrap gear-shift selector,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Cigarette Lighter,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Folding Table in The Rear,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Digital Cluster,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Digital Cluster Size,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Upholstery,Fabric
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Adjustable Headlamps,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Headlamp Washers,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Window Wiper,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Window Washer,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Window Defogger,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Wheel Covers,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Alloy Wheels,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Rear Spoiler,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Side Stepper,NO
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Outside Rear View Mirror Turn Indicators,YES
mahindra,xuv-3xo,XUV 3XO MX3 Pro Diesel,Integrated Antenna,YES
