company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO MX3,Engine Type,mStallion (TCMPFi) engine
mahindra,xuv-3xo,XUV 3XO MX3,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO MX3,Max Power,109.96bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO MX3,Max Torque,200Nm@1500-3500rpm
mahindra,xuv-3xo,XUV 3XO MX3,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO MX3,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO MX3,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO MX3,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO MX3,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO MX3,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO MX3,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO MX3,Petrol Mileage ARAI,18.89 kmpl
mahindra,xuv-3xo,XUV 3XO MX3,Petrol Fuel Tank Capacity,42 Litres
mahindra,xuv-3xo,XUV 3XO MX3,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO MX3,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO MX3,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO MX3,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO MX3,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO MX3,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX3,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO MX3,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO MX3,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO MX3,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO MX3,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO MX3,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO MX3,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO MX3,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO MX3,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO MX3,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO MX3,Heater,YES
mahindra,xuv-3xo,XUV 3XO MX3,Height Adjustable Driver Seat,NO
mahindra,xuv-3xo,XUV 3XO MX3,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO MX3,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO MX3,Automatic Climate Control,NO
mahindra,xuv-3xo,XUV 3XO MX3,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO MX3,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO MX3,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO MX3,Rear Seat Centre Arm Rest,NO
mahindra,xuv-3xo,XUV 3XO MX3,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO MX3,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO MX3,Cruise Control,YES
mahindra,xuv-3xo,XUV 3XO MX3,Parking Sensors,Rear
mahindra,xuv-3xo,XUV 3XO MX3,Real-Time Vehicle Tracking,NO
mahindra,xuv-3xo,XUV 3XO MX3,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO MX3,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO MX3,Engine Start/Stop Button,NO
mahindra,xuv-3xo,XUV 3XO MX3,Cooled Glovebox,NO
mahindra,xuv-3xo,XUV 3XO MX3,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO MX3,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO MX3,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO MX3,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO MX3,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO MX3,Luggage Hook & Net,YES
mahindra,xuv-3xo,XUV 3XO MX3,Glove Box light,NO
mahindra,xuv-3xo,XUV 3XO MX3,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO MX3,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO MX3,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO MX3,Automatic Headlamps,NO
mahindra,xuv-3xo,XUV 3XO MX3,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO MX3,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO MX3,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO MX3,Leather Wrapped Steering Wheel,NO
mahindra,xuv-3xo,XUV 3XO MX3,Leather wrap gear-shift selector,NO
mahindra,xuv-3xo,XUV 3XO MX3,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO MX3,Cigarette Lighter,NO
