company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Engine Type,mStallion (TGDi) engine
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Max Power,128.73bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Max Torque,230Nm@1500-3750rpm
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Petrol Mileage ARAI,20.1 kmpl
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Alloy Wheel Size Front,16 Inch
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Alloy Wheel Size Rear,16 Inch
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Heater,YES
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Automatic Climate Control,YES
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO REVX A Turbo,Rear Reading Lamp,YES
