company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO REVX M (O),Engine Type,mStallion (TCMPFi) engine
mahindra,xuv-3xo,XUV 3XO REVX M (O),Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO REVX M (O),Max Power,109.96bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO REVX M (O),Max Torque,200Nm@1500-3500rpm
mahindra,xuv-3xo,XUV 3XO REVX M (O),No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO REVX M (O),Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO REVX M (O),Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO REVX M (O),Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO REVX M (O),Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO REVX M (O),Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO REVX M (O),Petrol Mileage ARAI,18.89 kmpl
mahindra,xuv-3xo,XUV 3XO REVX M (O),Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO REVX M (O),Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO REVX M (O),Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO REVX M (O),Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO REVX M (O),Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO REVX M (O),Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO REVX M (O),Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO REVX M (O),Length,3990 mm
mahindra,xuv-3xo,XUV 3XO REVX M (O),Width,1821 mm
mahindra,xuv-3xo,XUV 3XO REVX M (O),Height,1647 mm
mahindra,xuv-3xo,XUV 3XO REVX M (O),Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO REVX M (O),Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO REVX M (O),Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO REVX M (O),No. of Doors,5
mahindra,xuv-3xo,XUV 3XO REVX M (O),Power Steering,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Heater,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Automatic Climate Control,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Cruise Control,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Parking Sensors,Rear
mahindra,xuv-3xo,XUV 3XO REVX M (O),Real-Time Vehicle Tracking,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO REVX M (O),KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Engine Start/Stop Button,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Cooled Glovebox,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO REVX M (O),Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO REVX M (O),Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Glove Box light,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO REVX M (O),Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO REVX M (O),Automatic Headlamps,NO
