company,model,variant,feature_name,feature_details
mahindra,xuv-3xo,XUV 3XO REVX M,Engine Type,mStallion (TCMPFi) engine
mahindra,xuv-3xo,XUV 3XO REVX M,Displacement,1197 cc
mahindra,xuv-3xo,XUV 3XO REVX M,Max Power,109.96bhp@5000rpm
mahindra,xuv-3xo,XUV 3XO REVX M,Max Torque,200Nm@1500-3500rpm
mahindra,xuv-3xo,XUV 3XO REVX M,No. of Cylinders,3
mahindra,xuv-3xo,XUV 3XO REVX M,Valves Per Cylinder,4
mahindra,xuv-3xo,XUV 3XO REVX M,Turbo Charger,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Transmission Type,Manual
mahindra,xuv-3xo,XUV 3XO REVX M,Gearbox,6-Speed
mahindra,xuv-3xo,XUV 3XO REVX M,Drive Type,FWD
mahindra,xuv-3xo,XUV 3XO REVX M,Fuel Type,Petrol
mahindra,xuv-3xo,XUV 3XO REVX M,Petrol Mileage ARAI,18.89 kmpl
mahindra,xuv-3xo,XUV 3XO REVX M,Emission Norm Compliance,BS VI 2.0
mahindra,xuv-3xo,XUV 3XO REVX M,Front Suspension,MacPherson Strut suspension
mahindra,xuv-3xo,XUV 3XO REVX M,Rear Suspension,Rear twist beam
mahindra,xuv-3xo,XUV 3XO REVX M,Steering Type,Electric
mahindra,xuv-3xo,XUV 3XO REVX M,Turning Radius,5.3 m
mahindra,xuv-3xo,XUV 3XO REVX M,Front Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO REVX M,Rear Brake Type,Disc
mahindra,xuv-3xo,XUV 3XO REVX M,Length,3990 mm
mahindra,xuv-3xo,XUV 3XO REVX M,Width,1821 mm
mahindra,xuv-3xo,XUV 3XO REVX M,Height,1647 mm
mahindra,xuv-3xo,XUV 3XO REVX M,Boot Space,364 Litres
mahindra,xuv-3xo,XUV 3XO REVX M,Seating Capacity,5
mahindra,xuv-3xo,XUV 3XO REVX M,Wheel Base,2600 mm
mahindra,xuv-3xo,XUV 3XO REVX M,No. of Doors,5
mahindra,xuv-3xo,XUV 3XO REVX M,Power Steering,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Air Conditioner,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Heater,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Height Adjustable Driver Seat,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Ventilated Seats,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Electric Adjustable Seats,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Automatic Climate Control,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Accessory Power Outlet,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Rear Reading Lamp,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Adjustable Headrest,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Rear Seat Centre Arm Rest,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Height Adjustable Front Seat Belts,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Rear AC Vents,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Cruise Control,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Parking Sensors,Rear
mahindra,xuv-3xo,XUV 3XO REVX M,Real-Time Vehicle Tracking,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Foldable Rear Seat,60:40 Split
mahindra,xuv-3xo,XUV 3XO REVX M,KeyLess Entry,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Engine Start/Stop Button,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Cooled Glovebox,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Paddle Shifters,NO
mahindra,xuv-3xo,XUV 3XO REVX M,USB Charger,Front & Rear
mahindra,xuv-3xo,XUV 3XO REVX M,Central Console Armrest,With Storage
mahindra,xuv-3xo,XUV 3XO REVX M,Hands-Free Tailgate,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Rear Curtain,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Glove Box light,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Idle Start-Stop System,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Rear Window Sunblind,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Rear Windscreen Sunblind,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Automatic Headlamps,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Follow Me Home Headlamps,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Power Windows,Front & Rear
mahindra,xuv-3xo,XUV 3XO REVX M,Cup Holders,Front & Rear
mahindra,xuv-3xo,XUV 3XO REVX M,Tachometer,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Leather Wrapped Steering Wheel,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Leather wrap gear-shift selector,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Glove Box,YES
mahindra,xuv-3xo,XUV 3XO REVX M,Cigarette Lighter,NO
mahindra,xuv-3xo,XUV 3XO REVX M,Folding Table in The Rear,NO
