company,model,variant,feature_name,feature_details
maruti,brezza,Brezza Lxi CNG,Engine Type,K15C
maruti,brezza,Brezza Lxi CNG,Displacement,1462 cc
maruti,brezza,Brezza Lxi CNG,Max Power,86.63bhp@5500rpm
maruti,brezza,Brezza Lxi CNG,Max Torque,121.5Nm@4200rpm
maruti,brezza,Brezza Lxi CNG,No. of Cylinders,4
maruti,brezza,Brezza Lxi CNG,Valves Per Cylinder,4
maruti,brezza,Brezza Lxi CNG,Valve Configuration,DOHC
maruti,brezza,Brezza Lxi CNG,Transmission Type,Manual
maruti,brezza,Brezza Lxi CNG,Gearbox,5-Speed
maruti,brezza,Brezza Lxi CNG,Drive Type,FWD
maruti,brezza,Brezza Lxi CNG,Fuel Type,CNG
maruti,brezza,Brezza Lxi CNG,CNG Fuel Tank Capacity,55 Litres
maruti,brezza,Brezza Lxi CNG,CNG Highway Mileage,25.51 km/kg
maruti,brezza,Brezza Lxi CNG,Secondary Fuel Type,Petrol
maruti,brezza,Brezza Lxi CNG,Emission Norm Compliance,BS VI 2.0
maruti,brezza,Brezza Lxi CNG,Top Speed,159 kmph
maruti,brezza,Brezza Lxi CNG,Front Suspension,MacPherson Strut suspension
maruti,brezza,Brezza Lxi CNG,Rear Suspension,Rear twist beam
maruti,brezza,Brezza Lxi CNG,Steering Type,Electric
maruti,brezza,Brezza Lxi CNG,Steering Column,Tilt
maruti,brezza,Brezza Lxi CNG,Front Brake Type,Ventilated Disc
maruti,brezza,Brezza Lxi CNG,Rear Brake Type,Drum
maruti,brezza,Brezza Lxi CNG,Length,3995 mm
maruti,brezza,Brezza Lxi CNG,Width,1790 mm
maruti,brezza,Brezza Lxi CNG,Height,1685 mm
maruti,brezza,Brezza Lxi CNG,Seating Capacity,5
maruti,brezza,Brezza Lxi CNG,Ground Clearance Unladen,198 mm
maruti,brezza,Brezza Lxi CNG,Wheel Base,2500 mm
maruti,brezza,Brezza Lxi CNG,No. of Doors,5
maruti,brezza,Brezza Lxi CNG,Reported Boot Space,328 Litres
maruti,brezza,Brezza Lxi CNG,Power Steering,YES
maruti,brezza,Brezza Lxi CNG,Air Conditioner,YES
maruti,brezza,Brezza Lxi CNG,Heater,YES
maruti,brezza,Brezza Lxi CNG,Height Adjustable Driver Seat,NO
maruti,brezza,Brezza Lxi CNG,Automatic Climate Control,NO
maruti,brezza,Brezza Lxi CNG,Accessory Power Outlet,YES
maruti,brezza,Brezza Lxi CNG,Trunk Light,NO
maruti,brezza,Brezza Lxi CNG,Vanity Mirror,NO
maruti,brezza,Brezza Lxi CNG,Rear Reading Lamp,YES
maruti,brezza,Brezza Lxi CNG,Adjustable Headrest,NO
maruti,brezza,Brezza Lxi CNG,Rear Seat Centre Arm Rest,NO
maruti,brezza,Brezza Lxi CNG,Height Adjustable Front Seat Belts,YES
maruti,brezza,Brezza Lxi CNG,Rear AC Vents,YES
maruti,brezza,Brezza Lxi CNG,Cruise Control,NO
maruti,brezza,Brezza Lxi CNG,Parking Sensors,Rear
maruti,brezza,Brezza Lxi CNG,Foldable Rear Seat,Bench Folding
maruti,brezza,Brezza Lxi CNG,KeyLess Entry,YES
maruti,brezza,Brezza Lxi CNG,Engine Start/Stop Button,NO
maruti,brezza,Brezza Lxi CNG,Cooled Glovebox,NO
maruti,brezza,Brezza Lxi CNG,USB Charger,NO
maruti,brezza,Brezza Lxi CNG,Central Console Armrest,NO
maruti,brezza,Brezza Lxi CNG,Gear Shift Indicator,YES
maruti,brezza,Brezza Lxi CNG,Luggage Hook & Net,YES
maruti,brezza,Brezza Lxi CNG,Glove Box light,NO
maruti,brezza,Brezza Lxi CNG,Idle Start-Stop System,NO
maruti,brezza,Brezza Lxi CNG,Automatic Headlamps,NO
maruti,brezza,Brezza Lxi CNG,Follow Me Home Headlamps,NO
maruti,brezza,Brezza Lxi CNG,Power Windows,Front & Rear
maruti,brezza,Brezza Lxi CNG,Cup Holders,Front Only
maruti,brezza,Brezza Lxi CNG,Tachometer,YES
maruti,brezza,Brezza Lxi CNG,Leather Wrapped Steering Wheel,NO
maruti,brezza,Brezza Lxi CNG,Glove Box,YES
maruti,brezza,Brezza Lxi CNG,Digital Odometer,YES
maruti,brezza,Brezza Lxi CNG,Digital Cluster,Semi
maruti,brezza,Brezza Lxi CNG,Upholstery,Fabric
maruti,brezza,Brezza Lxi CNG,Rear Window Wiper,NO
maruti,brezza,Brezza Lxi CNG,Rear Window Washer,NO
maruti,brezza,Brezza Lxi CNG,Rear Window Defogger,NO
maruti,brezza,Brezza Lxi CNG,Wheel Covers,YES
maruti,brezza,Brezza Lxi CNG,Alloy Wheels,NO
maruti,brezza,Brezza Lxi CNG,Rear Spoiler,YES
maruti,brezza,Brezza Lxi CNG,Integrated Antenna,YES
maruti,brezza,Brezza Lxi CNG,Chrome Grille,YES
maruti,brezza,Brezza Lxi CNG,Projector Headlamps,YES
maruti,brezza,Brezza Lxi CNG,Halogen Headlamps,YES
maruti,brezza,Brezza Lxi CNG,Roof Rails,NO
maruti,brezza,Brezza Lxi CNG,Fog Lights,NO
maruti,brezza,Brezza Lxi CNG,Antenna,Shark Fin
maruti,brezza,Brezza Lxi CNG,Sunroof,NO
maruti,brezza,Brezza Lxi CNG,Boot Opening,Manual
maruti,brezza,Brezza Lxi CNG,Outside Rear View Mirror (ORVM),Powered
maruti,brezza,Brezza Lxi CNG,Tyre Size,215/60 R16
maruti,brezza,Brezza Lxi CNG,Tyre Type,"Tubeless, Radial"
maruti,brezza,Brezza Lxi CNG,Wheel Size,16 Inch
maruti,brezza,Brezza Lxi CNG,LED DRLs,NO
maruti,brezza,Brezza Lxi CNG,LED Headlamps,NO
maruti,brezza,Brezza Lxi CNG,LED Taillights,YES
maruti,brezza,Brezza Lxi CNG,LED Fog Lamps,NO
maruti,brezza,Brezza Lxi CNG,Anti-lock Braking System (ABS),YES
maruti,brezza,Brezza Lxi CNG,Central Locking,YES
maruti,brezza,Brezza Lxi CNG,Anti-Theft Alarm,YES
maruti,brezza,Brezza Lxi CNG,No. of Airbags,6
maruti,brezza,Brezza Lxi CNG,Driver Airbag,YES
maruti,brezza,Brezza Lxi CNG,Passenger Airbag,YES
maruti,brezza,Brezza Lxi CNG,Side Airbag,YES
maruti,brezza,Brezza Lxi CNG,Side Airbag-Rear,NO
maruti,brezza,Brezza Lxi CNG,Day & Night Rear View Mirror,YES
maruti,brezza,Brezza Lxi CNG,Curtain Airbag,YES
maruti,brezza,Brezza Lxi CNG,Electronic Brakeforce Distribution (EBD),YES
maruti,brezza,Brezza Lxi CNG,Seat Belt Warning,YES
maruti,brezza,Brezza Lxi CNG,Door Ajar Warning,YES
maruti,brezza,Brezza Lxi CNG,Engine Immobilizer,YES
maruti,brezza,Brezza Lxi CNG,Electronic Stability Control (ESC),YES
maruti,brezza,Brezza Lxi CNG,Rear Camera,NO
maruti,brezza,Brezza Lxi CNG,Anti-Theft Device,YES
maruti,brezza,Brezza Lxi CNG,Speed Alert,YES
maruti,brezza,Brezza Lxi CNG,Speed Sensing Auto Door Lock,YES
maruti,brezza,Brezza Lxi CNG,ISOFIX Child Seat Mounts,YES
maruti,brezza,Brezza Lxi CNG,Heads-Up Display (HUD),NO
maruti,brezza,Brezza Lxi CNG,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
maruti,brezza,Brezza Lxi CNG,Hill Assist,YES
maruti,brezza,Brezza Lxi CNG,Impact Sensing Auto Door Unlock,YES
maruti,brezza,Brezza Lxi CNG,360 View Camera,NO
maruti,brezza,Brezza Lxi CNG,Global NCAP Safety Rating,4 Star
maruti,brezza,Brezza Lxi CNG,Radio,NO
maruti,brezza,Brezza Lxi CNG,Integrated 2DIN Audio,NO
maruti,brezza,Brezza Lxi CNG,Wireless Phone Charging,NO
maruti,brezza,Brezza Lxi CNG,Bluetooth Connectivity,NO
maruti,brezza,Brezza Lxi CNG,Touchscreen,NO
maruti,brezza,Brezza Lxi CNG,Android Auto,NO
maruti,brezza,Brezza Lxi CNG,Apple CarPlay,NO
maruti,brezza,Brezza Lxi CNG,Usb Ports,NO
maruti,brezza,Brezza Lxi CNG,Speakers,NO
