company,model,variant,feature_name,feature_details
maruti,brezza,Brezza Lxi,Engine Type,K15C
maruti,brezza,Brezza Lxi,Displacement,1462 cc
maruti,brezza,Brezza Lxi,Max Power,101.64bhp@6000rpm
maruti,brezza,Brezza Lxi,Max Torque,136.8Nm@4400rpm
maruti,brezza,Brezza Lxi,No. of Cylinders,4
maruti,brezza,Brezza Lxi,Valves Per Cylinder,4
maruti,brezza,Brezza Lxi,Valve Configuration,DOHC
maruti,brezza,Brezza Lxi,Transmission Type,Manual
maruti,brezza,Brezza Lxi,Gearbox,5-Speed
maruti,brezza,Brezza Lxi,Drive Type,FWD
maruti,brezza,Brezza Lxi,Fuel Type,Petrol
maruti,brezza,Brezza Lxi,Petrol Mileage ARAI,17.38 kmpl
maruti,brezza,Brezza Lxi,Petrol Fuel Tank Capacity,48 Litres
maruti,brezza,Brezza Lxi,Petrol Highway Mileage,21.97 kmpl
maruti,brezza,Brezza Lxi,Emission Norm Compliance,BS VI 2.0
maruti,brezza,Brezza Lxi,Top Speed,159 kmph
maruti,brezza,Brezza Lxi,Front Suspension,MacPherson Strut suspension
maruti,brezza,Brezza Lxi,Rear Suspension,Rear twist beam
maruti,brezza,Brezza Lxi,Steering Type,Electric
maruti,brezza,Brezza Lxi,Steering Column,Tilt
maruti,brezza,Brezza Lxi,Front Brake Type,Ventilated Disc
maruti,brezza,Brezza Lxi,Rear Brake Type,Drum
maruti,brezza,Brezza Lxi,Braking (100-0kmph),40.58 s
maruti,brezza,Brezza Lxi,0-100Kmph (Tested),11.55 s
maruti,brezza,Brezza Lxi,City driveability (20-80kmph),8.55 s
maruti,brezza,Brezza Lxi,Braking (80-0 kmph),25.82 s
maruti,brezza,Brezza Lxi,Length,3995 mm
maruti,brezza,Brezza Lxi,Width,1790 mm
maruti,brezza,Brezza Lxi,Height,1685 mm
maruti,brezza,Brezza Lxi,Boot Space,328 Litres
maruti,brezza,Brezza Lxi,Seating Capacity,5
maruti,brezza,Brezza Lxi,Ground Clearance Unladen,198 mm
maruti,brezza,Brezza Lxi,Wheel Base,2500 mm
maruti,brezza,Brezza Lxi,No. of Doors,5
maruti,brezza,Brezza Lxi,Power Steering,YES
maruti,brezza,Brezza Lxi,Air Conditioner,YES
maruti,brezza,Brezza Lxi,Heater,YES
maruti,brezza,Brezza Lxi,Height Adjustable Driver Seat,NO
maruti,brezza,Brezza Lxi,Automatic Climate Control,NO
maruti,brezza,Brezza Lxi,Accessory Power Outlet,YES
maruti,brezza,Brezza Lxi,Trunk Light,NO
maruti,brezza,Brezza Lxi,Vanity Mirror,NO
maruti,brezza,Brezza Lxi,Rear Reading Lamp,YES
maruti,brezza,Brezza Lxi,Adjustable Headrest,NO
maruti,brezza,Brezza Lxi,Rear Seat Centre Arm Rest,NO
maruti,brezza,Brezza Lxi,Height Adjustable Front Seat Belts,YES
maruti,brezza,Brezza Lxi,Rear AC Vents,YES
maruti,brezza,Brezza Lxi,Cruise Control,NO
maruti,brezza,Brezza Lxi,Parking Sensors,Rear
maruti,brezza,Brezza Lxi,Foldable Rear Seat,Bench Folding
maruti,brezza,Brezza Lxi,KeyLess Entry,YES
maruti,brezza,Brezza Lxi,Engine Start/Stop Button,NO
maruti,brezza,Brezza Lxi,Cooled Glovebox,NO
maruti,brezza,Brezza Lxi,USB Charger,NO
maruti,brezza,Brezza Lxi,Central Console Armrest,NO
maruti,brezza,Brezza Lxi,Gear Shift Indicator,YES
maruti,brezza,Brezza Lxi,Luggage Hook & Net,YES
maruti,brezza,Brezza Lxi,Glove Box light,NO
maruti,brezza,Brezza Lxi,Idle Start-Stop System,NO
maruti,brezza,Brezza Lxi,Automatic Headlamps,NO
maruti,brezza,Brezza Lxi,Follow Me Home Headlamps,NO
maruti,brezza,Brezza Lxi,Power Windows,Front & Rear
maruti,brezza,Brezza Lxi,Cup Holders,Front Only
maruti,brezza,Brezza Lxi,Tachometer,YES
maruti,brezza,Brezza Lxi,Leather Wrapped Steering Wheel,NO
maruti,brezza,Brezza Lxi,Glove Box,YES
maruti,brezza,Brezza Lxi,Digital Odometer,YES
maruti,brezza,Brezza Lxi,Digital Cluster,Semi
maruti,brezza,Brezza Lxi,Upholstery,Fabric
maruti,brezza,Brezza Lxi,Rear Window Wiper,NO
maruti,brezza,Brezza Lxi,Rear Window Washer,NO
maruti,brezza,Brezza Lxi,Rear Window Defogger,NO
maruti,brezza,Brezza Lxi,Wheel Covers,YES
maruti,brezza,Brezza Lxi,Alloy Wheels,NO
maruti,brezza,Brezza Lxi,Rear Spoiler,YES
maruti,brezza,Brezza Lxi,Integrated Antenna,YES
maruti,brezza,Brezza Lxi,Chrome Grille,YES
maruti,brezza,Brezza Lxi,Projector Headlamps,YES
maruti,brezza,Brezza Lxi,Halogen Headlamps,YES
maruti,brezza,Brezza Lxi,Roof Rails,NO
maruti,brezza,Brezza Lxi,Fog Lights,NO
maruti,brezza,Brezza Lxi,Antenna,Shark Fin
