company,model,variant,feature_name,feature_details
maruti,brezza,Brezza Zxi AT DT,Engine Type,K15C
maruti,brezza,Brezza Zxi AT DT,Displacement,1462 cc
maruti,brezza,Brezza Zxi AT DT,Max Power,101.64bhp@6000rpm
maruti,brezza,Brezza Zxi AT DT,Max Torque,136.8Nm@4400rpm
maruti,brezza,Brezza Zxi AT DT,No. of Cylinders,4
maruti,brezza,Brezza Zxi AT DT,Valves Per Cylinder,4
maruti,brezza,Brezza Zxi AT DT,Valve Configuration,DOHC
maruti,brezza,Brezza Zxi AT DT,Transmission Type,Automatic
maruti,brezza,Brezza Zxi AT DT,Gearbox,6-Speed
maruti,brezza,Brezza Zxi AT DT,Drive Type,FWD
maruti,brezza,Brezza Zxi AT DT,Fuel Type,Petrol
maruti,brezza,Brezza Zxi AT DT,Petrol Mileage ARAI,19.8 kmpl
maruti,brezza,Brezza Zxi AT DT,Petrol Fuel Tank Capacity,48 Litres
maruti,brezza,Brezza Zxi AT DT,Petrol Highway Mileage,20.5 kmpl
maruti,brezza,Brezza Zxi AT DT,Emission Norm Compliance,BS VI 2.0
maruti,brezza,Brezza Zxi AT DT,Top Speed,159 kmph
maruti,brezza,Brezza Zxi AT DT,Front Suspension,MacPherson Strut suspension
maruti,brezza,Brezza Zxi AT DT,Rear Suspension,Rear twist beam
maruti,brezza,Brezza Zxi AT DT,Steering Type,Electric
maruti,brezza,Brezza Zxi AT DT,Steering Column,Tilt & Telescopic
maruti,brezza,Brezza Zxi AT DT,Front Brake Type,Ventilated Disc
maruti,brezza,Brezza Zxi AT DT,Rear Brake Type,Drum
maruti,brezza,Brezza Zxi AT DT,Braking (100-0kmph),43.87 s
maruti,brezza,Brezza Zxi AT DT,0-100Kmph (Tested),15.24 s
maruti,brezza,Brezza Zxi AT DT,Alloy Wheel Size Front,16 Inch
maruti,brezza,Brezza Zxi AT DT,Alloy Wheel Size Rear,16 Inch
maruti,brezza,Brezza Zxi AT DT,City driveability (20-80kmph),8.58 s
maruti,brezza,Brezza Zxi AT DT,Braking (80-0 kmph),29.77 s
maruti,brezza,Brezza Zxi AT DT,Length,3995 mm
maruti,brezza,Brezza Zxi AT DT,Width,1790 mm
maruti,brezza,Brezza Zxi AT DT,Height,1685 mm
maruti,brezza,Brezza Zxi AT DT,Boot Space,328 Litres
maruti,brezza,Brezza Zxi AT DT,Seating Capacity,5
maruti,brezza,Brezza Zxi AT DT,Ground Clearance Unladen,198 mm
maruti,brezza,Brezza Zxi AT DT,Wheel Base,2500 mm
maruti,brezza,Brezza Zxi AT DT,No. of Doors,5
maruti,brezza,Brezza Zxi AT DT,Power Steering,YES
maruti,brezza,Brezza Zxi AT DT,Air Conditioner,YES
maruti,brezza,Brezza Zxi AT DT,Heater,YES
maruti,brezza,Brezza Zxi AT DT,Height Adjustable Driver Seat,YES
maruti,brezza,Brezza Zxi AT DT,Automatic Climate Control,YES
maruti,brezza,Brezza Zxi AT DT,Accessory Power Outlet,YES
maruti,brezza,Brezza Zxi AT DT,Trunk Light,YES
maruti,brezza,Brezza Zxi AT DT,Vanity Mirror,YES
maruti,brezza,Brezza Zxi AT DT,Rear Reading Lamp,YES
maruti,brezza,Brezza Zxi AT DT,Adjustable Headrest,YES
maruti,brezza,Brezza Zxi AT DT,Rear Seat Centre Arm Rest,YES
maruti,brezza,Brezza Zxi AT DT,Height Adjustable Front Seat Belts,YES
maruti,brezza,Brezza Zxi AT DT,Rear AC Vents,YES
maruti,brezza,Brezza Zxi AT DT,Cruise Control,YES
maruti,brezza,Brezza Zxi AT DT,Parking Sensors,Rear
maruti,brezza,Brezza Zxi AT DT,Foldable Rear Seat,60:40 Split
maruti,brezza,Brezza Zxi AT DT,KeyLess Entry,YES
maruti,brezza,Brezza Zxi AT DT,Engine Start/Stop Button,YES
maruti,brezza,Brezza Zxi AT DT,Cooled Glovebox,NO
maruti,brezza,Brezza Zxi AT DT,USB Charger,Front
maruti,brezza,Brezza Zxi AT DT,Central Console Armrest,NO
maruti,brezza,Brezza Zxi AT DT,Gear Shift Indicator,NO
maruti,brezza,Brezza Zxi AT DT,Luggage Hook & Net,YES
maruti,brezza,Brezza Zxi AT DT,Glove Box light,NO
maruti,brezza,Brezza Zxi AT DT,Idle Start-Stop System,YES
maruti,brezza,Brezza Zxi AT DT,Automatic Headlamps,NO
maruti,brezza,Brezza Zxi AT DT,Follow Me Home Headlamps,NO
maruti,brezza,Brezza Zxi AT DT,Additional Features,Sunglass Holder
maruti,brezza,Brezza Zxi AT DT,Power Windows,Front & Rear
maruti,brezza,Brezza Zxi AT DT,Cup Holders,Front & Rear
maruti,brezza,Brezza Zxi AT DT,Tachometer,YES
maruti,brezza,Brezza Zxi AT DT,Leather Wrapped Steering Wheel,NO
maruti,brezza,Brezza Zxi AT DT,Glove Box,YES
maruti,brezza,Brezza Zxi AT DT,Digital Odometer,YES
maruti,brezza,Brezza Zxi AT DT,Additional Features,Rear Parcel Tray
maruti,brezza,Brezza Zxi AT DT,Digital Cluster,Semi
maruti,brezza,Brezza Zxi AT DT,Upholstery,Fabric
maruti,brezza,Brezza Zxi AT DT,Rear Window Wiper,YES
maruti,brezza,Brezza Zxi AT DT,Rear Window Washer,YES
maruti,brezza,Brezza Zxi AT DT,Rear Window Defogger,YES
maruti,brezza,Brezza Zxi AT DT,Wheel Covers,NO
maruti,brezza,Brezza Zxi AT DT,Alloy Wheels,YES
maruti,brezza,Brezza Zxi AT DT,Rear Spoiler,YES
maruti,brezza,Brezza Zxi AT DT,Integrated Antenna,YES
maruti,brezza,Brezza Zxi AT DT,Chrome Grille,YES
maruti,brezza,Brezza Zxi AT DT,Projector Headlamps,YES
maruti,brezza,Brezza Zxi AT DT,Halogen Headlamps,NO
maruti,brezza,Brezza Zxi AT DT,Roof Rails,YES
maruti,brezza,Brezza Zxi AT DT,Fog Lights,NO
maruti,brezza,Brezza Zxi AT DT,Antenna,Shark Fin
maruti,brezza,Brezza Zxi AT DT,Sunroof,Single Pane
maruti,brezza,Brezza Zxi AT DT,Boot Opening,Manual
