company,model,variant,feature_name,feature_details
maruti,brezza,Brezza Zxi AT,Engine Type,K15C
maruti,brezza,Brezza Zxi AT,Displacement,1462 cc
maruti,brezza,Brezza Zxi AT,Max Power,101.64bhp@6000rpm
maruti,brezza,Brezza Zxi AT,Max Torque,136.8Nm@4400rpm
maruti,brezza,Brezza Zxi AT,No. of Cylinders,4
maruti,brezza,Brezza Zxi AT,Valves Per Cylinder,4
maruti,brezza,Brezza Zxi AT,Valve Configuration,DOHC
maruti,brezza,Brezza Zxi AT,Transmission Type,Automatic
maruti,brezza,Brezza Zxi AT,Gearbox,6-Speed
maruti,brezza,Brezza Zxi AT,Drive Type,FWD
maruti,brezza,Brezza Zxi AT,Fuel Type,Petrol
maruti,brezza,Brezza Zxi AT,Petrol Mileage ARAI,19.8 kmpl
maruti,brezza,Brezza Zxi AT,Petrol Fuel Tank Capacity,48 Litres
maruti,brezza,Brezza Zxi AT,Petrol Highway Mileage,20.5 kmpl
maruti,brezza,Brezza Zxi AT,Emission Norm Compliance,BS VI 2.0
maruti,brezza,Brezza Zxi AT,Top Speed,159 kmph
maruti,brezza,Brezza Zxi AT,Front Suspension,MacPherson Strut suspension
maruti,brezza,Brezza Zxi AT,Rear Suspension,Rear twist beam
maruti,brezza,Brezza Zxi AT,Steering Type,Electric
maruti,brezza,Brezza Zxi AT,Steering Column,Tilt & Telescopic
maruti,brezza,Brezza Zxi AT,Front Brake Type,Ventilated Disc
maruti,brezza,Brezza Zxi AT,Rear Brake Type,Drum
maruti,brezza,Brezza Zxi AT,Braking (100-0kmph),43.87 s
maruti,brezza,Brezza Zxi AT,0-100Kmph (Tested),15.24 s
maruti,brezza,Brezza Zxi AT,Alloy Wheel Size Front,16 Inch
maruti,brezza,Brezza Zxi AT,Alloy Wheel Size Rear,16 Inch
maruti,brezza,Brezza Zxi AT,City driveability (20-80kmph),8.58 s
maruti,brezza,Brezza Zxi AT,Braking (80-0 kmph),29.77 s
maruti,brezza,Brezza Zxi AT,Length,3995 mm
maruti,brezza,Brezza Zxi AT,Width,1790 mm
maruti,brezza,Brezza Zxi AT,Height,1685 mm
maruti,brezza,Brezza Zxi AT,Boot Space,328 Litres
maruti,brezza,Brezza Zxi AT,Seating Capacity,5
maruti,brezza,Brezza Zxi AT,Ground Clearance Unladen,198 mm
maruti,brezza,Brezza Zxi AT,Wheel Base,2500 mm
maruti,brezza,Brezza Zxi AT,No. of Doors,5
maruti,brezza,Brezza Zxi AT,Power Steering,YES
maruti,brezza,Brezza Zxi AT,Air Conditioner,YES
maruti,brezza,Brezza Zxi AT,Heater,YES
maruti,brezza,Brezza Zxi AT,Height Adjustable Driver Seat,YES
maruti,brezza,Brezza Zxi AT,Automatic Climate Control,YES
maruti,brezza,Brezza Zxi AT,Accessory Power Outlet,YES
