company,model,variant,feature_name,feature_details
maruti,brezza,Brezza Zxi CNG DT,Engine Type,K15C
maruti,brezza,Brezza Zxi CNG DT,Displacement,1462 cc
maruti,brezza,Brezza Zxi CNG DT,Max Power,86.63bhp@5500rpm
maruti,brezza,Brezza Zxi CNG DT,Max Torque,121.5Nm@4200rpm
maruti,brezza,Brezza Zxi CNG DT,No. of Cylinders,4
maruti,brezza,Brezza Zxi CNG DT,Valves Per Cylinder,4
maruti,brezza,Brezza Zxi CNG DT,Valve Configuration,DOHC
maruti,brezza,Brezza Zxi CNG DT,Transmission Type,Manual
maruti,brezza,Brezza Zxi CNG DT,Gearbox,5-Speed
maruti,brezza,Brezza Zxi CNG DT,Drive Type,FWD
maruti,brezza,Brezza Zxi CNG DT,Fuel Type,CNG
maruti,brezza,Brezza Zxi CNG DT,CNG Fuel Tank Capacity,55 Litres
maruti,brezza,Brezza Zxi CNG DT,CNG Highway Mileage,25.51 km/kg
maruti,brezza,Brezza Zxi CNG DT,Secondary Fuel Type,Petrol
maruti,brezza,Brezza Zxi CNG DT,Emission Norm Compliance,BS VI 2.0
maruti,brezza,Brezza Zxi CNG DT,Top Speed,165 kmph
maruti,brezza,Brezza Zxi CNG DT,Front Suspension,MacPherson Strut suspension
maruti,brezza,Brezza Zxi CNG DT,Rear Suspension,Rear twist beam
maruti,brezza,Brezza Zxi CNG DT,Steering Type,Electric
maruti,brezza,Brezza Zxi CNG DT,Steering Column,Tilt & Telescopic
maruti,brezza,Brezza Zxi CNG DT,Front Brake Type,Ventilated Disc
maruti,brezza,Brezza Zxi CNG DT,Rear Brake Type,Drum
maruti,brezza,Brezza Zxi CNG DT,Alloy Wheel Size Front,16 Inch
maruti,brezza,Brezza Zxi CNG DT,Alloy Wheel Size Rear,16 Inch
maruti,brezza,Brezza Zxi CNG DT,Length,3995 mm
maruti,brezza,Brezza Zxi CNG DT,Width,1790 mm
maruti,brezza,Brezza Zxi CNG DT,Height,1685 mm
maruti,brezza,Brezza Zxi CNG DT,Seating Capacity,5
maruti,brezza,Brezza Zxi CNG DT,Ground Clearance Unladen,198 mm
maruti,brezza,Brezza Zxi CNG DT,Wheel Base,2500 mm
maruti,brezza,Brezza Zxi CNG DT,No. of Doors,5
maruti,brezza,Brezza Zxi CNG DT,Reported Boot Space,328 Litres
maruti,brezza,Brezza Zxi CNG DT,Power Steering,YES
maruti,brezza,Brezza Zxi CNG DT,Air Conditioner,YES
maruti,brezza,Brezza Zxi CNG DT,Heater,YES
maruti,brezza,Brezza Zxi CNG DT,Height Adjustable Driver Seat,YES
maruti,brezza,Brezza Zxi CNG DT,Automatic Climate Control,YES
maruti,brezza,Brezza Zxi CNG DT,Accessory Power Outlet,YES
maruti,brezza,Brezza Zxi CNG DT,Trunk Light,YES
maruti,brezza,Brezza Zxi CNG DT,Vanity Mirror,YES
maruti,brezza,Brezza Zxi CNG DT,Rear Reading Lamp,YES
maruti,brezza,Brezza Zxi CNG DT,Adjustable Headrest,YES
maruti,brezza,Brezza Zxi CNG DT,Rear Seat Centre Arm Rest,YES
maruti,brezza,Brezza Zxi CNG DT,Height Adjustable Front Seat Belts,YES
maruti,brezza,Brezza Zxi CNG DT,Rear AC Vents,YES
maruti,brezza,Brezza Zxi CNG DT,Cruise Control,YES
