company,model,variant,feature_name,feature_details
maruti,brezza,Brezza Zxi CNG,Engine Type,K15C
maruti,brezza,Brezza Zxi CNG,Displacement,1462 cc
maruti,brezza,Brezza Zxi CNG,Max Power,86.63bhp@5500rpm
maruti,brezza,Brezza Zxi CNG,Max Torque,121.5Nm@4200rpm
maruti,brezza,Brezza Zxi CNG,No. of Cylinders,4
maruti,brezza,Brezza Zxi CNG,Valves Per Cylinder,4
maruti,brezza,Brezza Zxi CNG,Valve Configuration,DOHC
maruti,brezza,Brezza Zxi CNG,Transmission Type,Manual
maruti,brezza,Brezza Zxi CNG,Gearbox,5-Speed
maruti,brezza,Brezza Zxi CNG,Drive Type,FWD
maruti,brezza,Brezza Zxi CNG,Fuel Type,CNG
maruti,brezza,Brezza Zxi CNG,CNG Fuel Tank Capacity,55 Litres
maruti,brezza,Brezza Zxi CNG,CNG Highway Mileage,25.51 km/kg
maruti,brezza,Brezza Zxi CNG,Secondary Fuel Type,Petrol
maruti,brezza,Brezza Zxi CNG,Emission Norm Compliance,BS VI 2.0
maruti,brezza,Brezza Zxi CNG,Top Speed,159 kmph
maruti,brezza,Brezza Zxi CNG,Front Suspension,MacPherson Strut suspension
maruti,brezza,Brezza Zxi CNG,Rear Suspension,Rear twist beam
maruti,brezza,Brezza Zxi CNG,Steering Type,Electric
maruti,brezza,Brezza Zxi CNG,Steering Column,Tilt & Telescopic
maruti,brezza,Brezza Zxi CNG,Front Brake Type,Ventilated Disc
maruti,brezza,Brezza Zxi CNG,Rear Brake Type,Drum
maruti,brezza,Brezza Zxi CNG,Alloy Wheel Size Front,16 Inch
maruti,brezza,Brezza Zxi CNG,Alloy Wheel Size Rear,16 Inch
maruti,brezza,Brezza Zxi CNG,Length,3995 mm
maruti,brezza,Brezza Zxi CNG,Width,1790 mm
maruti,brezza,Brezza Zxi CNG,Height,1685 mm
maruti,brezza,Brezza Zxi CNG,Seating Capacity,5
maruti,brezza,Brezza Zxi CNG,Ground Clearance Unladen,198 mm
maruti,brezza,Brezza Zxi CNG,Wheel Base,2500 mm
maruti,brezza,Brezza Zxi CNG,No. of Doors,5
maruti,brezza,Brezza Zxi CNG,Reported Boot Space,328 Litres
maruti,brezza,Brezza Zxi CNG,Power Steering,YES
maruti,brezza,Brezza Zxi CNG,Air Conditioner,YES
maruti,brezza,Brezza Zxi CNG,Heater,YES
maruti,brezza,Brezza Zxi CNG,Height Adjustable Driver Seat,YES
maruti,brezza,Brezza Zxi CNG,Automatic Climate Control,YES
maruti,brezza,Brezza Zxi CNG,Accessory Power Outlet,YES
maruti,brezza,Brezza Zxi CNG,Trunk Light,YES
maruti,brezza,Brezza Zxi CNG,Vanity Mirror,YES
maruti,brezza,Brezza Zxi CNG,Rear Reading Lamp,YES
maruti,brezza,Brezza Zxi CNG,Adjustable Headrest,YES
maruti,brezza,Brezza Zxi CNG,Rear Seat Centre Arm Rest,YES
maruti,brezza,Brezza Zxi CNG,Height Adjustable Front Seat Belts,YES
maruti,brezza,Brezza Zxi CNG,Rear AC Vents,YES
maruti,brezza,Brezza Zxi CNG,Cruise Control,YES
maruti,brezza,Brezza Zxi CNG,Parking Sensors,Rear
maruti,brezza,Brezza Zxi CNG,Foldable Rear Seat,60:40 Split
maruti,brezza,Brezza Zxi CNG,KeyLess Entry,YES
maruti,brezza,Brezza Zxi CNG,Engine Start/Stop Button,YES
maruti,brezza,Brezza Zxi CNG,Cooled Glovebox,NO
maruti,brezza,Brezza Zxi CNG,USB Charger,Front
maruti,brezza,Brezza Zxi CNG,Central Console Armrest,NO
maruti,brezza,Brezza Zxi CNG,Gear Shift Indicator,YES
maruti,brezza,Brezza Zxi CNG,Luggage Hook & Net,YES
maruti,brezza,Brezza Zxi CNG,Glove Box light,NO
maruti,brezza,Brezza Zxi CNG,Idle Start-Stop System,NO
maruti,brezza,Brezza Zxi CNG,Automatic Headlamps,NO
maruti,brezza,Brezza Zxi CNG,Follow Me Home Headlamps,NO
maruti,brezza,Brezza Zxi CNG,Additional Features,Sunglass Holder
maruti,brezza,Brezza Zxi CNG,Power Windows,Front & Rear
maruti,brezza,Brezza Zxi CNG,Cup Holders,Front & Rear
maruti,brezza,Brezza Zxi CNG,Tachometer,YES
maruti,brezza,Brezza Zxi CNG,Leather Wrapped Steering Wheel,NO
maruti,brezza,Brezza Zxi CNG,Glove Box,YES
maruti,brezza,Brezza Zxi CNG,Digital Odometer,YES
maruti,brezza,Brezza Zxi CNG,Additional Features,Rear Parcel Tray
maruti,brezza,Brezza Zxi CNG,Digital Cluster,Semi
maruti,brezza,Brezza Zxi CNG,Upholstery,Fabric
maruti,brezza,Brezza Zxi CNG,Rear Window Wiper,YES
maruti,brezza,Brezza Zxi CNG,Rear Window Washer,YES
maruti,brezza,Brezza Zxi CNG,Rear Window Defogger,YES
maruti,brezza,Brezza Zxi CNG,Wheel Covers,NO
maruti,brezza,Brezza Zxi CNG,Alloy Wheels,YES
maruti,brezza,Brezza Zxi CNG,Rear Spoiler,YES
maruti,brezza,Brezza Zxi CNG,Integrated Antenna,YES
maruti,brezza,Brezza Zxi CNG,Chrome Grille,YES
maruti,brezza,Brezza Zxi CNG,Projector Headlamps,YES
maruti,brezza,Brezza Zxi CNG,Halogen Headlamps,NO
maruti,brezza,Brezza Zxi CNG,Roof Rails,YES
maruti,brezza,Brezza Zxi CNG,Fog Lights,NO
maruti,brezza,Brezza Zxi CNG,Antenna,Shark Fin
maruti,brezza,Brezza Zxi CNG,Sunroof,Single Pane
maruti,brezza,Brezza Zxi CNG,Boot Opening,Manual
maruti,brezza,Brezza Zxi CNG,Outside Rear View Mirror (ORVM),Powered
maruti,brezza,Brezza Zxi CNG,Tyre Size,215/60 R16
maruti,brezza,Brezza Zxi CNG,Tyre Type,"Tubeless, Radial"
maruti,brezza,Brezza Zxi CNG,LED DRLs,YES
maruti,brezza,Brezza Zxi CNG,LED Headlamps,YES
maruti,brezza,Brezza Zxi CNG,LED Taillights,YES
maruti,brezza,Brezza Zxi CNG,LED Fog Lamps,NO
maruti,brezza,Brezza Zxi CNG,Anti-lock Braking System (ABS),YES
maruti,brezza,Brezza Zxi CNG,Central Locking,YES
maruti,brezza,Brezza Zxi CNG,Anti-Theft Alarm,YES
maruti,brezza,Brezza Zxi CNG,No. of Airbags,6
maruti,brezza,Brezza Zxi CNG,Driver Airbag,YES
maruti,brezza,Brezza Zxi CNG,Passenger Airbag,YES
maruti,brezza,Brezza Zxi CNG,Side Airbag,YES
maruti,brezza,Brezza Zxi CNG,Side Airbag-Rear,NO
maruti,brezza,Brezza Zxi CNG,Day & Night Rear View Mirror,YES
maruti,brezza,Brezza Zxi CNG,Curtain Airbag,YES
maruti,brezza,Brezza Zxi CNG,Electronic Brakeforce Distribution (EBD),YES
maruti,brezza,Brezza Zxi CNG,Seat Belt Warning,YES
maruti,brezza,Brezza Zxi CNG,Door Ajar Warning,YES
maruti,brezza,Brezza Zxi CNG,Engine Immobilizer,YES
maruti,brezza,Brezza Zxi CNG,Electronic Stability Control (ESC),YES
maruti,brezza,Brezza Zxi CNG,Rear Camera,With Guidedlines
maruti,brezza,Brezza Zxi CNG,Anti-Theft Device,YES
maruti,brezza,Brezza Zxi CNG,Speed Alert,YES
maruti,brezza,Brezza Zxi CNG,Speed Sensing Auto Door Lock,YES
maruti,brezza,Brezza Zxi CNG,ISOFIX Child Seat Mounts,YES
maruti,brezza,Brezza Zxi CNG,Heads-Up Display (HUD),NO
maruti,brezza,Brezza Zxi CNG,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
maruti,brezza,Brezza Zxi CNG,Hill Assist,YES
maruti,brezza,Brezza Zxi CNG,Impact Sensing Auto Door Unlock,YES
maruti,brezza,Brezza Zxi CNG,360 View Camera,NO
maruti,brezza,Brezza Zxi CNG,Global NCAP Safety Rating,4 Star
maruti,brezza,Brezza Zxi CNG,Radio,YES
maruti,brezza,Brezza Zxi CNG,Integrated 2DIN Audio,YES
maruti,brezza,Brezza Zxi CNG,Wireless Phone Charging,NO
maruti,brezza,Brezza Zxi CNG,Bluetooth Connectivity,YES
maruti,brezza,Brezza Zxi CNG,Touchscreen,YES
maruti,brezza,Brezza Zxi CNG,Touchscreen Size,7 Inch
maruti,brezza,Brezza Zxi CNG,Connectivity,"Android Auto, Apple CarPlay"
maruti,brezza,Brezza Zxi CNG,Android Auto,YES
maruti,brezza,Brezza Zxi CNG,Apple CarPlay,YES
maruti,brezza,Brezza Zxi CNG,No. of Speakers,4
