company,model,variant,feature_name,feature_details
maruti,brezza,Brezza Zxi Plus,Engine Type,K15C
maruti,brezza,Brezza Zxi Plus,Displacement,1462 cc
maruti,brezza,Brezza Zxi Plus,Max Power,101.64bhp@6000rpm
maruti,brezza,Brezza Zxi Plus,Max Torque,136.8Nm@4400rpm
maruti,brezza,Brezza Zxi Plus,No. of Cylinders,4
maruti,brezza,Brezza Zxi Plus,Valves Per Cylinder,4
maruti,brezza,Brezza Zxi Plus,Valve Configuration,DOHC
maruti,brezza,Brezza Zxi Plus,Transmission Type,Manual
maruti,brezza,Brezza Zxi Plus,Gearbox,5-Speed
maruti,brezza,Brezza Zxi Plus,Drive Type,FWD
maruti,brezza,Brezza Zxi Plus,Fuel Type,Petrol
maruti,brezza,Brezza Zxi Plus,Petrol Mileage ARAI,19.89 kmpl
maruti,brezza,Brezza Zxi Plus,Petrol Fuel Tank Capacity,48 Litres
maruti,brezza,Brezza Zxi Plus,Petrol Highway Mileage,21.97 kmpl
maruti,brezza,Brezza Zxi Plus,Emission Norm Compliance,BS VI 2.0
maruti,brezza,Brezza Zxi Plus,Top Speed,159 kmph
maruti,brezza,Brezza Zxi Plus,Front Suspension,MacPherson Strut suspension
maruti,brezza,Brezza Zxi Plus,Rear Suspension,Rear twist beam
maruti,brezza,Brezza Zxi Plus,Steering Type,Electric
maruti,brezza,Brezza Zxi Plus,Steering Column,Tilt & Telescopic
maruti,brezza,Brezza Zxi Plus,Front Brake Type,Ventilated Disc
maruti,brezza,Brezza Zxi Plus,Rear Brake Type,Drum
maruti,brezza,Brezza Zxi Plus,Alloy Wheel Size Front,16 Inch
maruti,brezza,Brezza Zxi Plus,Alloy Wheel Size Rear,16 Inch
maruti,brezza,Brezza Zxi Plus,Length,3995 mm
maruti,brezza,Brezza Zxi Plus,Width,1790 mm
maruti,brezza,Brezza Zxi Plus,Height,1685 mm
maruti,brezza,Brezza Zxi Plus,Boot Space,328 Litres
maruti,brezza,Brezza Zxi Plus,Seating Capacity,5
maruti,brezza,Brezza Zxi Plus,Ground Clearance Unladen,198 mm
maruti,brezza,Brezza Zxi Plus,Wheel Base,2500 mm
maruti,brezza,Brezza Zxi Plus,No. of Doors,5
maruti,brezza,Brezza Zxi Plus,Power Steering,YES
maruti,brezza,Brezza Zxi Plus,Air Conditioner,YES
maruti,brezza,Brezza Zxi Plus,Heater,YES
maruti,brezza,Brezza Zxi Plus,Height Adjustable Driver Seat,YES
maruti,brezza,Brezza Zxi Plus,Automatic Climate Control,YES
maruti,brezza,Brezza Zxi Plus,Accessory Power Outlet,YES
maruti,brezza,Brezza Zxi Plus,Trunk Light,YES
maruti,brezza,Brezza Zxi Plus,Vanity Mirror,YES
maruti,brezza,Brezza Zxi Plus,Rear Reading Lamp,YES
maruti,brezza,Brezza Zxi Plus,Adjustable Headrest,YES
maruti,brezza,Brezza Zxi Plus,Rear Seat Centre Arm Rest,YES
maruti,brezza,Brezza Zxi Plus,Height Adjustable Front Seat Belts,YES
maruti,brezza,Brezza Zxi Plus,Rear AC Vents,YES
maruti,brezza,Brezza Zxi Plus,Cruise Control,YES
maruti,brezza,Brezza Zxi Plus,Parking Sensors,Rear
maruti,brezza,Brezza Zxi Plus,Foldable Rear Seat,60:40 Split
maruti,brezza,Brezza Zxi Plus,KeyLess Entry,YES
maruti,brezza,Brezza Zxi Plus,Engine Start/Stop Button,YES
maruti,brezza,Brezza Zxi Plus,Cooled Glovebox,YES
maruti,brezza,Brezza Zxi Plus,USB Charger,Front & Rear
maruti,brezza,Brezza Zxi Plus,Central Console Armrest,With Storage
maruti,brezza,Brezza Zxi Plus,Gear Shift Indicator,YES
maruti,brezza,Brezza Zxi Plus,Luggage Hook & Net,YES
maruti,brezza,Brezza Zxi Plus,Glove Box light,YES
maruti,brezza,Brezza Zxi Plus,Idle Start-Stop System,NO
maruti,brezza,Brezza Zxi Plus,Automatic Headlamps,YES
maruti,brezza,Brezza Zxi Plus,Follow Me Home Headlamps,YES
maruti,brezza,Brezza Zxi Plus,Additional Features,Sunglass Holder
maruti,brezza,Brezza Zxi Plus,Power Windows,Front & Rear
maruti,brezza,Brezza Zxi Plus,Cup Holders,Front & Rear
maruti,brezza,Brezza Zxi Plus,Tachometer,YES
maruti,brezza,Brezza Zxi Plus,Leather Wrapped Steering Wheel,YES
maruti,brezza,Brezza Zxi Plus,Glove Box,YES
maruti,brezza,Brezza Zxi Plus,Digital Odometer,YES
maruti,brezza,Brezza Zxi Plus,Additional Features,Rear Parcel Tray
maruti,brezza,Brezza Zxi Plus,Digital Cluster,Semi
maruti,brezza,Brezza Zxi Plus,Upholstery,Fabric
maruti,brezza,Brezza Zxi Plus,Rear Window Wiper,YES
maruti,brezza,Brezza Zxi Plus,Rear Window Washer,YES
maruti,brezza,Brezza Zxi Plus,Rear Window Defogger,YES
maruti,brezza,Brezza Zxi Plus,Wheel Covers,NO
maruti,brezza,Brezza Zxi Plus,Alloy Wheels,YES
maruti,brezza,Brezza Zxi Plus,Rear Spoiler,YES
maruti,brezza,Brezza Zxi Plus,Integrated Antenna,YES
maruti,brezza,Brezza Zxi Plus,Chrome Grille,YES
maruti,brezza,Brezza Zxi Plus,Projector Headlamps,YES
maruti,brezza,Brezza Zxi Plus,Halogen Headlamps,NO
maruti,brezza,Brezza Zxi Plus,Roof Rails,YES
maruti,brezza,Brezza Zxi Plus,Fog Lights,Front
maruti,brezza,Brezza Zxi Plus,Antenna,Shark Fin
maruti,brezza,Brezza Zxi Plus,Sunroof,Single Pane
maruti,brezza,Brezza Zxi Plus,Boot Opening,Manual
maruti,brezza,Brezza Zxi Plus,Outside Rear View Mirror (ORVM),Powered & Folding
maruti,brezza,Brezza Zxi Plus,Tyre Size,215/60 R16
maruti,brezza,Brezza Zxi Plus,Tyre Type,"Tubeless, Radial"
maruti,brezza,Brezza Zxi Plus,LED DRLs,YES
maruti,brezza,Brezza Zxi Plus,LED Headlamps,YES
maruti,brezza,Brezza Zxi Plus,LED Taillights,YES
maruti,brezza,Brezza Zxi Plus,LED Fog Lamps,YES
maruti,brezza,Brezza Zxi Plus,Anti-lock Braking System (ABS),YES
maruti,brezza,Brezza Zxi Plus,Central Locking,YES
maruti,brezza,Brezza Zxi Plus,Anti-Theft Alarm,YES
maruti,brezza,Brezza Zxi Plus,No. of Airbags,6
maruti,brezza,Brezza Zxi Plus,Driver Airbag,YES
maruti,brezza,Brezza Zxi Plus,Passenger Airbag,YES
maruti,brezza,Brezza Zxi Plus,Side Airbag,YES
maruti,brezza,Brezza Zxi Plus,Side Airbag-Rear,NO
