company,model,variant,feature_name,feature_details
maruti,brezza,Brezza Zxi,Engine Type,K15C
maruti,brezza,Brezza Zxi,Displacement,1462 cc
maruti,brezza,Brezza Zxi,Max Power,101.64bhp@6000rpm
maruti,brezza,Brezza Zxi,Max Torque,136.8Nm@4400rpm
maruti,brezza,Brezza Zxi,No. of Cylinders,4
maruti,brezza,Brezza Zxi,Valves Per Cylinder,4
maruti,brezza,Brezza Zxi,Valve Configuration,DOHC
maruti,brezza,Brezza Zxi,Transmission Type,Manual
maruti,brezza,Brezza Zxi,Gearbox,5-Speed
maruti,brezza,Brezza Zxi,Drive Type,FWD
maruti,brezza,Brezza Zxi,Fuel Type,Petrol
maruti,brezza,Brezza Zxi,Petrol Mileage ARAI,19.89 kmpl
maruti,brezza,Brezza Zxi,Petrol Fuel Tank Capacity,48 Litres
maruti,brezza,Brezza Zxi,Petrol Highway Mileage,21.97 kmpl
maruti,brezza,Brezza Zxi,Emission Norm Compliance,BS VI 2.0
maruti,brezza,Brezza Zxi,Top Speed,159 kmph
maruti,brezza,Brezza Zxi,Front Suspension,MacPherson Strut suspension
maruti,brezza,Brezza Zxi,Rear Suspension,Rear twist beam
maruti,brezza,Brezza Zxi,Steering Type,Electric
maruti,brezza,Brezza Zxi,Steering Column,Tilt & Telescopic
maruti,brezza,Brezza Zxi,Front Brake Type,Ventilated Disc
maruti,brezza,Brezza Zxi,Rear Brake Type,Drum
maruti,brezza,Brezza Zxi,Alloy Wheel Size Front,16 Inch
maruti,brezza,Brezza Zxi,Alloy Wheel Size Rear,16 Inch
maruti,brezza,Brezza Zxi,Length,3995 mm
maruti,brezza,Brezza Zxi,Width,1790 mm
maruti,brezza,Brezza Zxi,Height,1685 mm
maruti,brezza,Brezza Zxi,Boot Space,328 Litres
maruti,brezza,Brezza Zxi,Seating Capacity,5
maruti,brezza,Brezza Zxi,Ground Clearance Unladen,198 mm
maruti,brezza,Brezza Zxi,Wheel Base,2500 mm
maruti,brezza,Brezza Zxi,No. of Doors,5
maruti,brezza,Brezza Zxi,Power Steering,YES
maruti,brezza,Brezza Zxi,Air Conditioner,YES
maruti,brezza,Brezza Zxi,Heater,YES
maruti,brezza,Brezza Zxi,Height Adjustable Driver Seat,YES
maruti,brezza,Brezza Zxi,Automatic Climate Control,YES
maruti,brezza,Brezza Zxi,Accessory Power Outlet,YES
maruti,brezza,Brezza Zxi,Trunk Light,YES
maruti,brezza,Brezza Zxi,Vanity Mirror,YES
maruti,brezza,Brezza Zxi,Rear Reading Lamp,YES
maruti,brezza,Brezza Zxi,Adjustable Headrest,YES
maruti,brezza,Brezza Zxi,Rear Seat Centre Arm Rest,YES
maruti,brezza,Brezza Zxi,Height Adjustable Front Seat Belts,YES
maruti,brezza,Brezza Zxi,Rear AC Vents,YES
maruti,brezza,Brezza Zxi,Cruise Control,YES
maruti,brezza,Brezza Zxi,Parking Sensors,Rear
maruti,brezza,Brezza Zxi,Foldable Rear Seat,60:40 Split
maruti,brezza,Brezza Zxi,KeyLess Entry,YES
maruti,brezza,Brezza Zxi,Engine Start/Stop Button,YES
maruti,brezza,Brezza Zxi,Cooled Glovebox,NO
maruti,brezza,Brezza Zxi,USB Charger,Front
maruti,brezza,Brezza Zxi,Central Console Armrest,NO
maruti,brezza,Brezza Zxi,Gear Shift Indicator,YES
maruti,brezza,Brezza Zxi,Luggage Hook & Net,YES
maruti,brezza,Brezza Zxi,Glove Box light,NO
maruti,brezza,Brezza Zxi,Idle Start-Stop System,NO
maruti,brezza,Brezza Zxi,Automatic Headlamps,NO
maruti,brezza,Brezza Zxi,Follow Me Home Headlamps,NO
maruti,brezza,Brezza Zxi,Additional Features,Sunglass Holder
maruti,brezza,Brezza Zxi,Power Windows,Front & Rear
maruti,brezza,Brezza Zxi,Cup Holders,Front & Rear
maruti,brezza,Brezza Zxi,Tachometer,YES
maruti,brezza,Brezza Zxi,Leather Wrapped Steering Wheel,NO
maruti,brezza,Brezza Zxi,Glove Box,YES
maruti,brezza,Brezza Zxi,Digital Odometer,YES
maruti,brezza,Brezza Zxi,Additional Features,Rear Parcel Tray
maruti,brezza,Brezza Zxi,Digital Cluster,Semi
